alias_id	alias_text	locale	normalized	route_kind	target_id	priority	match_type	negative_tokens	status	notes
AL.BEAUTY.0001	косметика	ru-RU	косметика	browse_node	BN.BEAUTY	40	contains		active	L0 entry
AL.BEAUTY.0002	красота и здоровье	ru-RU	красота и здоровье	browse_node	BN.BEAUTY	40	contains		active	L0 entry
AL.BEAUTY.0003	beauty	ru-RU	beauty	browse_node	BN.BEAUTY	40	contains		active	L0 entry
AL.BEAUTY.0004	уход	ru-RU	уход	browse_node	BN.BEAUTY	40	contains		active	L0 entry
AL.BEAUTY.0005	уход за собой	ru-RU	уход за собой	browse_node	BN.BEAUTY	40	contains		active	L0 entry
AL.BEAUTY.0006	гигиена	ru-RU	гигиена	browse_node	BN.BEAUTY	40	contains		active	L0 entry
AL.BEAUTY.0007	косметика рядом	ru-RU	косметика рядом	browse_node	BN.BEAUTY	40	contains		active	L0 entry
AL.BEAUTY.0008	косметика б/у	ru-RU	косметика б/у	browse_node	BN.BEAUTY	40	contains		active	L0 entry
AL.BEAUTY.0009	салон?	ru-RU	салон?	browse_node	BN.BEAUTY	40	contains		active	L0 entry
AL.BEAUTY.0010	магазин косметики	ru-RU	магазин косметики	browse_node	BN.BEAUTY	40	contains		active	L0 entry
AL.BEAUTY.0011	уход за лицом	ru-RU	уход за лицом	browse_node	BN.BEAUTY.SKINCARE	70	contains		active	skincare
AL.BEAUTY.0012	крем для лица	ru-RU	крем для лица	browse_node	BN.BEAUTY.SKINCARE	70	contains		active	skincare
AL.BEAUTY.0013	сыворотка	ru-RU	сыворотка	browse_node	BN.BEAUTY.SKINCARE	70	contains		active	skincare
AL.BEAUTY.0014	сыворотка для лица	ru-RU	сыворотка для лица	browse_node	BN.BEAUTY.SKINCARE	70	contains		active	skincare
AL.BEAUTY.0015	тонер	ru-RU	тонер	browse_node	BN.BEAUTY.SKINCARE	70	contains		active	skincare
AL.BEAUTY.0016	лосьон для лица	ru-RU	лосьон для лица	browse_node	BN.BEAUTY.SKINCARE	70	contains		active	skincare
AL.BEAUTY.0017	очищение лица	ru-RU	очищение лица	browse_node	BN.BEAUTY.SKINCARE	70	contains		active	skincare
AL.BEAUTY.0018	гель для умывания	ru-RU	гель для умывания	browse_node	BN.BEAUTY.SKINCARE	70	contains		active	skincare
AL.BEAUTY.0019	пенка для умывания	ru-RU	пенка для умывания	browse_node	BN.BEAUTY.SKINCARE	70	contains		active	skincare
AL.BEAUTY.0020	мицеллярная вода	ru-RU	мицеллярная вода	browse_node	BN.BEAUTY.SKINCARE	70	contains		active	skincare
AL.BEAUTY.0021	крем spf	ru-RU	крем spf	browse_node	BN.BEAUTY.SKINCARE	70	contains		active	skincare
AL.BEAUTY.0022	spf 50	ru-RU	spf 50	browse_node	BN.BEAUTY.SKINCARE	70	contains		active	skincare
AL.BEAUTY.0023	солнцезащитный крем	ru-RU	солнцезащитный крем	browse_node	BN.BEAUTY.SKINCARE	70	contains		active	skincare
