qid	query_text	locale	expected_route_kind	expected_target	expected_l0	expected_l1	intent	notes
Q.BEAUTY.0001	дезодорант NYX купить	ru-RU	canonical	BEAUTY.BODYCARE	BEAUTY	BEAUTY.BODYCARE	product	
Q.BEAUTY.0002	скраб для тела Garnier	ru-RU	canonical	BEAUTY.BODYCARE	BEAUTY	BEAUTY.BODYCARE	product	
Q.BEAUTY.0003	воск для депиляции	ru-RU	canonical	BEAUTY.BODYCARE	BEAUTY	BEAUTY.BODYCARE	product	
Q.BEAUTY.0004	дезодорант Braun купить	ru-RU	canonical	BEAUTY.BODYCARE	BEAUTY	BEAUTY.BODYCARE	product	
Q.BEAUTY.0005	станок для бритья Dyson доставка	ru-RU	canonical	BEAUTY.BODYCARE	BEAUTY	BEAUTY.BODYCARE	product	
Q.BEAUTY.0006	мыло жидкое Chanel оригинал	ru-RU	canonical	BEAUTY.BODYCARE	BEAUTY	BEAUTY.BODYCARE	product	
Q.BEAUTY.0007	интимная гигиена гель купить	ru-RU	canonical	BEAUTY.BODYCARE	BEAUTY	BEAUTY.BODYCARE	product	
Q.BEAUTY.0008	скраб для тела Chanel б/у	ru-RU	canonical	BEAUTY.BODYCARE	BEAUTY	BEAUTY.BODYCARE	product	
Q.BEAUTY.0009	скраб для тела Philips доставка	ru-RU	canonical	BEAUTY.BODYCARE	BEAUTY	BEAUTY.BODYCARE	product	
Q.BEAUTY.0010	антиперспирант Garnier доставка	ru-RU	canonical	BEAUTY.BODYCARE	BEAUTY	BEAUTY.BODYCARE	product	
Q.BEAUTY.0011	воск для депиляции доставка	ru-RU	canonical	BEAUTY.BODYCARE	BEAUTY	BEAUTY.BODYCARE	product	
Q.BEAUTY.0012	дезодорант Nivea доставка	ru-RU	canonical	BEAUTY.BODYCARE	BEAUTY	BEAUTY.BODYCARE	product	
Q.BEAUTY.0013	антиперспирант Garnier купить	ru-RU	canonical	BEAUTY.BODYCARE	BEAUTY	BEAUTY.BODYCARE	product	
Q.BEAUTY.0014	интимная гигиена гель купить	ru-RU	canonical	BEAUTY.BODYCARE	BEAUTY	BEAUTY.BODYCARE	product	
Q.BEAUTY.0015	дезодорант Vichy	ru-RU	canonical	BEAUTY.BODYCARE	BEAUTY	BEAUTY.BODYCARE	product	
Q.BEAUTY.0016	воск для депиляции купить	ru-RU	canonical	BEAUTY.BODYCARE	BEAUTY	BEAUTY.BODYCARE	product	
Q.BEAUTY.0017	дезодорант L'Oréal б/у	ru-RU	canonical	BEAUTY.BODYCARE	BEAUTY	BEAUTY.BODYCARE	product	
Q.BEAUTY.0018	крем для рук Chanel купить	ru-RU	canonical	BEAUTY.BODYCARE	BEAUTY	BEAUTY.BODYCARE	product	
