qid	query_text	locale	expected_route_kind	expected_target	expected_l0	expected_l1	intent	notes
Q.FOOD.0001	энергетик Агуша 0.5 л рядом	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0002	вода 5л с доставкой	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0003	вода минеральная Простоквашино 500 г оптом	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0004	капсулы кофе Bonduelle купить	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0005	чай зеленый Lipton	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0006	кофе растворимый Barilla 2 кг с доставкой	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0007	капсулы кофе Ahmad	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0008	энергетик Ahmad 1 л по акции	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0009	энергетик Nescafe 2 кг оптом	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0010	кофе растворимый Red Bull 1 кг оптом	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0011	чай черный Pepsi 20 шт самовывоз	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0012	кофе в зернах Lipton 500 г самовывоз	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0013	газировка Останкино 1 кг самовывоз	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0014	вода 5л недорого	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0015	капсулы кофе Greenfield с доставкой	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0016	молочный коктейль Ahmad 1 кг	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0017	капсулы кофе Останкино	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0018	кофе в зернах Pringles 2 л недорого	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0019	газировка Роллтон 200 г	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0020	вода минеральная Nescafe 10 шт	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0021	вода минеральная Greenfield 2 л	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0022	энергетик Nescafe 200 г	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0023	кофе растворимый Nestle 2 кг	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0024	сок Останкино 1.5 л	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0025	сок Мираторг 20 шт	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0026	капсулы кофе Lays	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0027	капсулы кофе Coca-Cola	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0028	вода минеральная Lipton 500 г оптом	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0029	чай зеленый Bonduelle	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0030	чай зеленый Pringles	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0031	чай черный Pringles 10 шт купить	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0032	вода минеральная Lays 1 л	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0033	капсулы кофе Maggi	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0034	газировка Nestle 5 л с доставкой	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0035	капсулы кофе Red Bull	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0036	кофе растворимый Простоквашино 1.5 л	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0037	молочный коктейль Bonduelle 1.5 л недорого	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
Q.FOOD.0038	газировка Barilla 200 г самовывоз	ru-RU	canonical	FOOD.DRINKS	FOOD	FOOD.DRINKS	product	
