browse_node_id	parent_browse_node_id	title_ru	slug	depth	canonical_category_code	sort_order	status	meta_json
BN.HOME		Дом и ремонт	dom-i-remont	1	HOME	10	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""home""}}"
BN.HOME.HOUSE	BN.HOME	Дом	dom	2		10	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""home-2""}}"
BN.HOME.REPAIR	BN.HOME	Ремонт	remont	2		20	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""tool""}}"
BN.HOME.GARDEN_GROUP	BN.HOME	Дача и сад	dacha-i-sad	2		30	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""leaf""}}"
BN.HOME.FURNITURE	BN.HOME.HOUSE	Мебель	mebel	3	HOME.FURNITURE	10	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""sofa""}}"
BN.HOME.TEXTILES	BN.HOME.HOUSE	Текстиль и интерьер	tekstil-i-interer	3	HOME.TEXTILES	20	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""layers""}}"
BN.HOME.STORAGE	BN.HOME.HOUSE	Хранение и организация	hranenie-i-organizatsiya	3	HOME.STORAGE	30	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""archive""}}"
BN.HOME.LIGHTING	BN.HOME.HOUSE	Освещение	osveschenie	3	HOME.LIGHTING	40	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""lamp""}}"
BN.HOME.KITCHEN_DINING	BN.HOME.HOUSE	Посуда и кухня	posuda-i-kuhnya	3	HOME.KITCHEN_DINING	50	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""utensils""}}"
BN.HOME.CLEANING	BN.HOME.HOUSE	Бытовая химия и уборка	bytovaya-himiya-i-uborka	3	HOME.CLEANING	60	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""spray""}}"
BN.HOME.REPAIR_TOOLS	BN.HOME.REPAIR	Ремонт и инструменты	remont-i-instrumenty	3	HOME.REPAIR_TOOLS	10	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""hammer""}}"
BN.HOME.PLUMBING	BN.HOME.REPAIR	Сантехника	santehnika	3	HOME.PLUMBING	20	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""droplet""}}"
BN.HOME.GARDEN	BN.HOME.GARDEN_GROUP	Дача и сад	dacha-i-sad	3	HOME.GARDEN	10	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""leaf""}}"
BN.HOME.FURNITURE.LIVING	BN.HOME.FURNITURE	Мебель для гостиной	mebel-dlya-gostinoy	4	HOME.FURNITURE	10	active	"{""presetFilters"": {""room"": ""living""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.FURNITURE.BEDROOM	BN.HOME.FURNITURE	Мебель для спальни	mebel-dlya-spalni	4	HOME.FURNITURE	20	active	"{""presetFilters"": {""room"": ""bedroom""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.FURNITURE.KIDS	BN.HOME.FURNITURE	Мебель для детской	mebel-dlya-detskoy	4	HOME.FURNITURE	30	active	"{""presetFilters"": {""room"": ""kids""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.FURNITURE.OFFICE	BN.HOME.FURNITURE	Мебель для офиса	mebel-dlya-ofisa	4	HOME.FURNITURE	40	active	"{""presetFilters"": {""room"": ""office""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.TEXTILES.BEDDING	BN.HOME.TEXTILES	Постельное бельё и одеяла	postelnoe-bele-i-odeyala	4	HOME.TEXTILES	10	active	"{""presetFilters"": {""type"": ""bedding""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.TEXTILES.TOWELS	BN.HOME.TEXTILES	Полотенца и халаты	polotentsa-i-halaty	4	HOME.TEXTILES	20	active	"{""presetFilters"": {""type"": ""towels""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.TEXTILES.CURTAINS	BN.HOME.TEXTILES	Шторы и жалюзи	shtory-i-zhalyuzi	4	HOME.TEXTILES	30	active	"{""presetFilters"": {""type"": ""curtains""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.TEXTILES.DECOR	BN.HOME.TEXTILES	Декор и ковры	dekor-i-kovry	4	HOME.TEXTILES	40	active	"{""presetFilters"": {""type"": ""decor""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.STORAGE.BOXES	BN.HOME.STORAGE	Контейнеры и коробки	konteynery-i-korobki	4	HOME.STORAGE	10	active	"{""presetFilters"": {""type"": ""boxes""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.STORAGE.ORGANIZERS	BN.HOME.STORAGE	Органайзеры и системы хранения	organayzery-i-sistemy-hraneniya	4	HOME.STORAGE	20	active	"{""presetFilters"": {""type"": ""organizers""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.STORAGE.HANGERS	BN.HOME.STORAGE	Вешалки и гардероб	veshalki-i-garderob	4	HOME.STORAGE	30	active	"{""presetFilters"": {""type"": ""wardrobe""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.LIGHTING.CEILING	BN.HOME.LIGHTING	Потолочные светильники	potolochnye-svetilniki	4	HOME.LIGHTING	10	active	"{""presetFilters"": {""type"": ""ceiling""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.LIGHTING.LAMPS	BN.HOME.LIGHTING	Настольные лампы и торшеры	nastolnye-lampy-i-torshery	4	HOME.LIGHTING	20	active	"{""presetFilters"": {""type"": ""lamps""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.LIGHTING.BULBS	BN.HOME.LIGHTING	Лампочки и LED-ленты	lampochki-i-led-lenty	4	HOME.LIGHTING	30	active	"{""presetFilters"": {""type"": ""bulbs_led""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.KITCHEN_DINING.COOKWARE	BN.HOME.KITCHEN_DINING	Кастрюли, сковороды, формы	kastryuli-skovorody-formy	4	HOME.KITCHEN_DINING	10	active	"{""presetFilters"": {""type"": ""cookware""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.KITCHEN_DINING.TABLEWARE	BN.HOME.KITCHEN_DINING	Тарелки, кружки, сервировка	tarelki-kruzhki-servirovka	4	HOME.KITCHEN_DINING	20	active	"{""presetFilters"": {""type"": ""tableware""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.KITCHEN_DINING.KNIVES	BN.HOME.KITCHEN_DINING	Ножи и приборы	nozhi-i-pribory	4	HOME.KITCHEN_DINING	30	active	"{""presetFilters"": {""type"": ""knives_cutlery""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.KITCHEN_DINING.ACCESSORIES	BN.HOME.KITCHEN_DINING	Кухонные аксессуары	kuhonnye-aksessuary	4	HOME.KITCHEN_DINING	40	active	"{""presetFilters"": {""type"": ""accessories""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.CLEANING.LAUNDRY	BN.HOME.CLEANING	Стирка и уход за одеждой	stirka-i-uhod-za-odezhdoy	4	HOME.CLEANING	10	active	"{""presetFilters"": {""type"": ""laundry""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.CLEANING.DISH	BN.HOME.CLEANING	Мытьё посуды и кухни	myte-posudy-i-kuhni	4	HOME.CLEANING	20	active	"{""presetFilters"": {""type"": ""dish""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.CLEANING.SURFACES	BN.HOME.CLEANING	Уборка и чистящие средства	uborka-i-chistyaschie-sredstva	4	HOME.CLEANING	30	active	"{""presetFilters"": {""type"": ""surfaces""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.CLEANING.TOOLS	BN.HOME.CLEANING	Инвентарь для уборки	inventar-dlya-uborki	4	HOME.CLEANING	40	active	"{""presetFilters"": {""type"": ""tools""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.REPAIR_TOOLS.POWER	BN.HOME.REPAIR_TOOLS	Электроинструмент	elektroinstrument	4	HOME.REPAIR_TOOLS	10	active	"{""presetFilters"": {""type"": ""power""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.REPAIR_TOOLS.HAND	BN.HOME.REPAIR_TOOLS	Ручной инструмент	ruchnoy-instrument	4	HOME.REPAIR_TOOLS	20	active	"{""presetFilters"": {""type"": ""hand""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.REPAIR_TOOLS.CONSUMABLES	BN.HOME.REPAIR_TOOLS	Крепёж, расходники, материалы	krepezh-rashodniki-materialy	4	HOME.REPAIR_TOOLS	30	active	"{""presetFilters"": {""type"": ""consumables""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.REPAIR_TOOLS.SAFETY	BN.HOME.REPAIR_TOOLS	Средства защиты	sredstva-zaschity	4	HOME.REPAIR_TOOLS	40	active	"{""presetFilters"": {""type"": ""safety""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.PLUMBING.FAUCETS	BN.HOME.PLUMBING	Смесители и душ	smesiteli-i-dush	4	HOME.PLUMBING	10	active	"{""presetFilters"": {""type"": ""faucets_shower""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.PLUMBING.SINKS	BN.HOME.PLUMBING	Раковины, ванны, унитазы	rakoviny-vanny-unitazy	4	HOME.PLUMBING	20	active	"{""presetFilters"": {""type"": ""sanitary""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.PLUMBING.PIPES	BN.HOME.PLUMBING	Трубы и фитинги	truby-i-fitingi	4	HOME.PLUMBING	30	active	"{""presetFilters"": {""type"": ""pipes""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.PLUMBING.FILTERS	BN.HOME.PLUMBING	Фильтры для воды	filtry-dlya-vody	4	HOME.PLUMBING	40	active	"{""presetFilters"": {""type"": ""water_filters""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.GARDEN.TOOLS	BN.HOME.GARDEN	Садовый инвентарь	sadovyy-inventar	4	HOME.GARDEN	10	active	"{""presetFilters"": {""type"": ""tools""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.GARDEN.WATERING	BN.HOME.GARDEN	Полив и шланги	poliv-i-shlangi	4	HOME.GARDEN	20	active	"{""presetFilters"": {""type"": ""watering""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.GARDEN.OUTDOOR	BN.HOME.GARDEN	Уличная мебель и декор	ulichnaya-mebel-i-dekor	4	HOME.GARDEN	30	active	"{""presetFilters"": {""type"": ""outdoor""}, ""ui"": {""visibility"": ""secondary""}}"
BN.HOME.GARDEN.EQUIPMENT	BN.HOME.GARDEN	Садовая техника	sadovaya-tehnika	4	HOME.GARDEN	40	active	"{""presetFilters"": {""type"": ""equipment""}, ""ui"": {""visibility"": ""secondary""}}"
