qid	query_text	locale	expected_route_kind	expected_target	expected_l0	expected_l1	intent	notes
Q.HOME.0001	гель для стирки Losk	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0002	перчатки хозяйственные	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0003	чистящее средство для ванной	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0004	гель для стирки Frosch	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0005	перчатки хозяйственные	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0006	швабра с отжимом	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0007	губки для посуды	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0008	швабра с отжимом	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0009	гель для стирки Persil	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0010	средство для мытья посуды Fairy	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0011	средство для мытья посуды Frosch	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0012	перчатки хозяйственные	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0013	губки для посуды	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0014	гель для стирки Losk	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0015	губки для посуды	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0016	освежитель воздуха	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0017	чистящее средство для ванной	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0018	гель для стирки Persil	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0019	гель для стирки Persil	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0020	освежитель воздуха	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0021	перчатки хозяйственные	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0022	чистящее средство для ванной	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0023	освежитель воздуха	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0024	освежитель воздуха	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0025	перчатки хозяйственные	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0026	губки для посуды	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	product	
Q.HOME.0027	бытовая химия и уборка купить	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	browse	category browse
Q.HOME.0028	бытовая химия и уборка рядом	ru-RU	canonical	HOME.CLEANING	HOME	HOME.CLEANING	browse	category browse
Q.HOME.0029	тумба под тв в хорошем состоянии	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0030	стол письменный икеа	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0031	кровать доставка?	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0032	кровать доставка?	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0033	кресло офисное для спальни	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0034	стол письменный икеа	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0035	диван икеа	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0036	кровать б/у	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0037	купить кресло офисное недорого	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0038	стол письменный рядом	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0039	шкаф купе икеа	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0040	стол письменный икеа	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0041	комод для спальни	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0042	комод доставка?	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0043	купить матрас 160x200 недорого	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0044	кресло офисное б/у	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0045	тумба под тв размеры	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0046	комод размеры	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0047	комод для гостиной	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0048	стул кухонный б/у	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
Q.HOME.0049	тумба под тв б/у	ru-RU	canonical	HOME.FURNITURE	HOME	HOME.FURNITURE	product	
