browse_node_id	parent_browse_node_id	title_ru	slug	depth	canonical_category_code	sort_order	status	meta_json
BN.SPORT		Спорт и активный отдых	sport-i-aktivnyy-otdyh	1	SPORT	10	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""dumbbell""}}"
BN.SPORT.FITNESS	BN.SPORT	Фитнес и тренировки	fitnes-i-trenirovki	2	SPORT.FITNESS	10	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""dumbbell""}}"
BN.SPORT.BIKES	BN.SPORT	Велосипеды и самокаты	velosipedy-i-samokaty	2	SPORT.BIKES_SCOOTERS	20	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""bike""}}"
BN.SPORT.OUTDOOR	BN.SPORT	Туризм и кемпинг	turizm-i-kemping	2	SPORT.OUTDOOR	30	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""tent""}}"
BN.SPORT.EQUIP	BN.SPORT	Спортивный инвентарь	sportivnyy-inventar	2	SPORT.EQUIPMENT	40	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""ball""}}"
BN.SPORT.HOBBY	BN.SPORT	Хобби и творчество	hobbi-i-tvorchestvo	2	SPORT.HOBBY	50	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""palette""}}"
BN.SPORT.FITNESS.01	BN.SPORT.FITNESS	Гантели и гири	ganteli-i-giri	3	SPORT.FITNESS	10	active	"{""presetFilters"": {""type"": ""weights""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.FITNESS.02	BN.SPORT.FITNESS	Тренажёры	trenazhery	3	SPORT.FITNESS	20	active	"{""presetFilters"": {""type"": ""machines""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.FITNESS.03	BN.SPORT.FITNESS	Йога и пилатес	yoga-i-pilates	3	SPORT.FITNESS	30	active	"{""presetFilters"": {""type"": ""yoga""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.FITNESS.04	BN.SPORT.FITNESS	Резинки и эспандеры	rezinki-i-espandery	3	SPORT.FITNESS	40	active	"{""presetFilters"": {""type"": ""bands""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.FITNESS.05	BN.SPORT.FITNESS	Спортивное питание	sportivnoe-pitanie	3	SPORT.FITNESS	50	active	"{""presetFilters"": {""type"": ""sports_nutrition""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.BIKES.01	BN.SPORT.BIKES	Горные велосипеды	gornye-velosipedy	3	SPORT.BIKES_SCOOTERS	10	active	"{""presetFilters"": {""type"": ""mtb""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.BIKES.02	BN.SPORT.BIKES	Городские велосипеды	gorodskie-velosipedy	3	SPORT.BIKES_SCOOTERS	20	active	"{""presetFilters"": {""type"": ""city_bike""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.BIKES.03	BN.SPORT.BIKES	Электровелосипеды	elektrovelosipedy	3	SPORT.BIKES_SCOOTERS	30	active	"{""presetFilters"": {""type"": ""e_bike""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.BIKES.04	BN.SPORT.BIKES	Самокаты	samokaty	3	SPORT.BIKES_SCOOTERS	40	active	"{""presetFilters"": {""type"": ""scooters""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.BIKES.05	BN.SPORT.BIKES	Электросамокаты	elektrosamokaty	3	SPORT.BIKES_SCOOTERS	50	active	"{""presetFilters"": {""type"": ""e_scooter""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.BIKES.06	BN.SPORT.BIKES	Запчасти и аксессуары	zapchasti-i-aksessuary	3	SPORT.BIKES_SCOOTERS	60	active	"{""presetFilters"": {""type"": ""parts_accessories""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.OUTDOOR.01	BN.SPORT.OUTDOOR	Палатки	palatki	3	SPORT.OUTDOOR	10	active	"{""presetFilters"": {""type"": ""tents""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.OUTDOOR.02	BN.SPORT.OUTDOOR	Спальники	spalniki	3	SPORT.OUTDOOR	20	active	"{""presetFilters"": {""type"": ""sleeping_bags""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.OUTDOOR.03	BN.SPORT.OUTDOOR	Рюкзаки	ryukzaki	3	SPORT.OUTDOOR	30	active	"{""presetFilters"": {""type"": ""backpacks""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.OUTDOOR.04	BN.SPORT.OUTDOOR	Горелки и газ	gorelki-i-gaz	3	SPORT.OUTDOOR	40	active	"{""presetFilters"": {""type"": ""stoves_gas""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.OUTDOOR.05	BN.SPORT.OUTDOOR	Термосы и посуда	termosy-i-posuda	3	SPORT.OUTDOOR	50	active	"{""presetFilters"": {""type"": ""thermos_cookware""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.OUTDOOR.06	BN.SPORT.OUTDOOR	Одежда для туризма	odezhda-dlya-turizma	3	SPORT.OUTDOOR	60	active	"{""presetFilters"": {""type"": ""outdoor_clothing""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.EQUIP.01	BN.SPORT.EQUIP	Футбол	futbol	3	SPORT.EQUIPMENT	10	active	"{""presetFilters"": {""sport"": ""football""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.EQUIP.02	BN.SPORT.EQUIP	Бокс и единоборства	boks-i-edinoborstva	3	SPORT.EQUIPMENT	20	active	"{""presetFilters"": {""sport"": ""combat""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.EQUIP.03	BN.SPORT.EQUIP	Плавание	plavanie	3	SPORT.EQUIPMENT	30	active	"{""presetFilters"": {""sport"": ""swimming""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.EQUIP.04	BN.SPORT.EQUIP	Теннис	tennis	3	SPORT.EQUIPMENT	40	active	"{""presetFilters"": {""sport"": ""tennis""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.EQUIP.05	BN.SPORT.EQUIP	Горные лыжи и сноуборд	gornye-lyzhi-i-snoubord	3	SPORT.EQUIPMENT	50	active	"{""presetFilters"": {""sport"": ""ski_snow""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.EQUIP.06	BN.SPORT.EQUIP	Ролики и скейт	roliki-i-skeyt	3	SPORT.EQUIPMENT	60	active	"{""presetFilters"": {""sport"": ""skate""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.HOBBY.01	BN.SPORT.HOBBY	Рисование и хендмейд	risovanie-i-hendmeyd	3	SPORT.HOBBY	10	active	"{""presetFilters"": {""type"": ""art_crafts""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.HOBBY.02	BN.SPORT.HOBBY	Музыкальные инструменты	muzykalnye-instrumenty	3	SPORT.HOBBY	20	active	"{""presetFilters"": {""type"": ""music""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.HOBBY.03	BN.SPORT.HOBBY	Моделизм	modelizm	3	SPORT.HOBBY	30	active	"{""presetFilters"": {""type"": ""modeling""}, ""ui"": {""visibility"": ""secondary""}}"
BN.SPORT.HOBBY.04	BN.SPORT.HOBBY	Коллекционирование	kollektsionirovanie	3	SPORT.HOBBY	40	active	"{""presetFilters"": {""type"": ""collecting""}, ""ui"": {""visibility"": ""secondary""}}"
