alias_text	locale	normalized_alias	route_kind	target_code	priority	match_kind	is_blocked	source	comment
электроника	ru-RU	электроника	BROWSE_NODE	B.TECH	80	EXACT	false	SEED	общий запрос
гаджеты	ru-RU	гаджеты	BROWSE_NODE	B.TECH	70	EXACT	false	SEED	
телефоны	ru-RU	телефоны	BROWSE_NODE	B.TECH.MOBILE	70	EXACT	false	SEED	
компьютеры	ru-RU	компьютеры	BROWSE_NODE	B.TECH.WORKSPACE	70	EXACT	false	SEED	
тв и аудио	ru-RU	тв и аудио	BROWSE_NODE	B.TECH.MEDIA_GAMING	70	EXACT	false	SEED	
фото техника	ru-RU	фото техника	BROWSE_NODE	B.TECH.MEDIA_GAMING.CAMERAS_DRONES	70	EXACT	false	SEED	
игры и консоли	ru-RU	игры и консоли	BROWSE_NODE	B.TECH.MEDIA_GAMING.GAMING	70	EXACT	false	SEED	
умный дом	ru-RU	умный дом	BROWSE_NODE	B.TECH.HOME_POWER_AUTO	80	EXACT	false	SEED	
смартфон	ru-RU	смартфон	CATEGORY_LEAF	TECH.PHONES	90	EXACT	false	SEED	
смартфоны	ru-RU	смартфоны	CATEGORY_LEAF	TECH.PHONES	70	EXACT	false	SEED	
телефон смартфон	ru-RU	телефон смартфон	CATEGORY_LEAF	TECH.PHONES	70	EXACT	false	SEED	
iphone	en-US	iphone	CATEGORY_LEAF	TECH.PHONES	90	EXACT	false	SEED	
айфон	ru-RU	айфон	CATEGORY_LEAF	TECH.PHONES	90	EXACT	false	SEED	
айфоны	ru-RU	айфоны	CATEGORY_LEAF	TECH.PHONES	70	EXACT	false	SEED	
android телефон	ru-RU	android телефон	CATEGORY_LEAF	TECH.PHONES	90	EXACT	false	SEED	
телефон андроид	ru-RU	телефон андроид	CATEGORY_LEAF	TECH.PHONES	70	EXACT	false	SEED	
samsung galaxy	en-US	samsung galaxy	CATEGORY_LEAF	TECH.PHONES	70	EXACT	false	SEED	
xiaomi смартфон	ru-RU	xiaomi смартфон	CATEGORY_LEAF	TECH.PHONES	70	EXACT	false	SEED	
pixel phone	en-US	pixel phone	CATEGORY_LEAF	TECH.PHONES	70	EXACT	false	SEED	
huawei смартфон	ru-RU	huawei смартфон	CATEGORY_LEAF	TECH.PHONES	70	EXACT	false	SEED	
oneplus	en-US	oneplus	CATEGORY_LEAF	TECH.PHONES	70	EXACT	false	SEED	
покупка смартфона	ru-RU	покупка смартфона	CATEGORY_LEAF	TECH.PHONES	70	EXACT	false	SEED	
смарт фон	ru-RU	смарт фон	CATEGORY_LEAF	TECH.PHONES	70	EXACT	false	SEED	
smartphone	en-US	smartphone	CATEGORY_LEAF	TECH.PHONES	90	EXACT	false	SEED	
mobile phone	en-US	mobile phone	CATEGORY_LEAF	TECH.PHONES	70	EXACT	false	SEED	
телефон бу	ru-RU	телефон бу	CATEGORY_LEAF	TECH.PHONES	70	EXACT	false	SEED	
телефон б/у	ru-RU	телефон б у	CATEGORY_LEAF	TECH.PHONES	70	EXACT	false	SEED	
новый смартфон	ru-RU	новый смартфон	CATEGORY_LEAF	TECH.PHONES	70	EXACT	false	SEED	
аксессуары для телефона	ru-RU	аксессуары для телефона	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	65	EXACT	false	SEED	
аксессуар для телефона	ru-RU	аксессуар для телефона	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	65	EXACT	false	SEED	
чехол	ru-RU	чехол	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	85	EXACT	false	SEED	
чехол для телефона	ru-RU	чехол для телефона	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	65	EXACT	false	SEED	
чехол на айфон	ru-RU	чехол на айфон	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	65	EXACT	false	SEED	
чехол iphone	ru-RU	чехол iphone	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	65	EXACT	false	SEED	
защитное стекло	ru-RU	защитное стекло	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	85	EXACT	false	SEED	
стекло на телефон	ru-RU	стекло на телефон	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	65	EXACT	false	SEED	
пленка на экран	ru-RU	пленка на экран	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	65	EXACT	false	SEED	
зарядка	ru-RU	зарядка	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	85	EXACT	false	SEED	
быстрая зарядка	ru-RU	быстрая зарядка	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	65	EXACT	false	SEED	
зарядка type c	ru-RU	зарядка type c	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	65	EXACT	false	SEED	
кабель type c	ru-RU	кабель type c	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	65	EXACT	false	SEED	
кабель lightning	ru-RU	кабель lightning	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	65	EXACT	false	SEED	
power bank	en-US	power bank	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	85	EXACT	false	SEED	
пауэрбанк	ru-RU	пауэрбанк	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	65	EXACT	false	SEED	
держатель для телефона	ru-RU	держатель для телефона	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	65	EXACT	false	SEED	
попсокет	ru-RU	попсокет	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	65	EXACT	false	SEED	
переходник usb c	ru-RU	переходник usb c	CATEGORY_LEAF	TECH.PHONE_ACCESSORIES	65	EXACT	false	SEED	
