browse_node_code	parent_browse_node_code	node_kind	title_ru	title_en	target_category_code	is_visible	sort_order	availability_scope	icon_key	analytics_key	search_keywords_ru	notes
B.TECH		root	Электроника	Electronics		true	0	ALL	ic_tech	browse.tech	электроника;гаджеты;техника	Root L0 TECH
B.TECH.PHONES	B.TECH	group	Телефоны и аксессуары	Phones & accessories		true	10	ALL	ic_phone	browse.tech.phones	смартфон;телефон;аксессуар;чехол;зарядка	Group
B.TECH.COMPUTERS	B.TECH	group	Компьютеры	Computers		true	20	ALL	ic_laptop	browse.tech.computers	ноутбук;пк;комплектующие;планшет;ридер	Group
B.TECH.TV_AUDIO_VIDEO	B.TECH	group	ТВ, аудио и видео	TV, audio & video		true	30	ALL	ic_tv	browse.tech.tv_audio_video	телевизор;тв;аудио;наушники;саундбар;плеер	Group
B.TECH.PHOTO	B.TECH	group	Фото и видеосъемка	Photo & video		true	40	ALL	ic_camera	browse.tech.photo	камера;фотоаппарат;беззеркалка;gopro;объектив	Group
B.TECH.GAMING	B.TECH	group	Игры и консоли	Gaming		true	50	ALL	ic_game	browse.tech.gaming	ps5;xbox;switch;игра;приставка	Group
B.TECH.SMART_HOME	B.TECH	group	Умный дом	Smart home		true	60	ALL	ic_smart_home	browse.tech.smart_home	умный дом;датчик;лампа;розетка;камера;zigbee	Group
B.TECH.PHONES.SMARTPHONES	B.TECH.PHONES	leaf_link	Смартфоны	Smartphones	TECH.PHONES	true	11	ALL	ic_phone	browse.tech.leaf.phones	iphone;android;смартфон;телефон	Leaf link
B.TECH.PHONES.ACCESSORIES	B.TECH.PHONES	leaf_link	Аксессуары для телефонов	Phone accessories	TECH.PHONE_ACCESSORIES	true	12	ALL	ic_case	browse.tech.leaf.phone_accessories	чехол;стекло;зарядка;кабель;держатель;powerbank	Leaf link
B.TECH.COMPUTERS.LAPTOPS	B.TECH.COMPUTERS	leaf_link	Ноутбуки	Laptops	TECH.LAPTOPS	true	21	ALL	ic_laptop	browse.tech.leaf.laptops	ноутбук;macbook;ultrabook;игровой ноутбук	Leaf link
B.TECH.COMPUTERS.PC_COMPONENTS	B.TECH.COMPUTERS	leaf_link	ПК и комплектующие	PC & components	TECH.PC_COMPONENTS	true	22	ALL	ic_gpu	browse.tech.leaf.pc_components	видеокарта;процессор;материнка;ssd;ddr;бп;корпус	Leaf link
B.TECH.COMPUTERS.TABLETS_EBOOKS	B.TECH.COMPUTERS	leaf_link	Планшеты и электронные книги	Tablets & e-books	TECH.TABLETS_EBOOKS	true	23	ALL	ic_tablet	browse.tech.leaf.tablets_ebooks	планшет;ipad;таблет;ридер;электронная книга;kindle	Leaf link
B.TECH.TV_AUDIO_VIDEO.TV_VIDEO	B.TECH.TV_AUDIO_VIDEO	leaf_link	ТВ и видео	TV & video	TECH.TV_VIDEO	true	31	ALL	ic_tv	browse.tech.leaf.tv_video	телевизор;smart tv;oled;проектор;приставка tv	Leaf link
B.TECH.TV_AUDIO_VIDEO.AUDIO	B.TECH.TV_AUDIO_VIDEO	leaf_link	Аудио и наушники	Audio & headphones	TECH.AUDIO	true	32	ALL	ic_headphones	browse.tech.leaf.audio	наушники;колонка;саундбар;микрофон;bluetooth	Leaf link
B.TECH.PHOTO.CAMERAS	B.TECH.PHOTO	leaf_link	Фото и видеокамеры	Cameras	TECH.CAMERAS	true	41	ALL	ic_camera	browse.tech.leaf.cameras	фотоаппарат;камера;беззеркалка;зеркалка;gopro;объектив	Leaf link
B.TECH.GAMING.CONSOLES_GAMES	B.TECH.GAMING	leaf_link	Игровые приставки и игры	Consoles & games	TECH.GAMING	true	51	ALL	ic_game	browse.tech.leaf.gaming	ps5;xbox;switch;игра;dualsense	Leaf link
B.TECH.SMART_HOME.SMART_HOME	B.TECH.SMART_HOME	leaf_link	Умный дом и гаджеты	Smart home & gadgets	TECH.SMART_HOME	true	61	ALL	ic_smart_home	browse.tech.leaf.smart_home	умная лампа;розетка;датчик;zigbee;homekit;alexa	Leaf link
