code	parent_code	depth	title_ru	status
TECH		1	Электроника	active
APPL		1	Бытовая техника	active
HOME		1	Дом и ремонт	active
FASH		1	Одежда и обувь	active
BEAUTY		1	Красота и здоровье	active
KIDS		1	Детям	active
FOOD		1	Еда и продукты	active
PETS		1	Питомцы	active
SPORT		1	Спорт и хобби	active
AUTO		1	Авто и мото	active
TECH.PHONES	TECH	2	Смартфоны	active
TECH.PHONE_ACCESSORIES	TECH	2	Аксессуары для телефонов	active
TECH.COMPUTERS	TECH	2	Ноутбуки	active
TECH.PC_COMPONENTS	TECH	2	ПК и комплектующие	active
TECH.TABLETS_E_READERS	TECH	2	Планшеты и электронные книги	active
TECH.TV_HOME_THEATER	TECH	2	ТВ и видео	active
TECH.AUDIO	TECH	2	Аудио и наушники	active
TECH.GAMING	TECH	2	Игровые приставки и игры	active
TECH.CAMERAS_DRONES	TECH	2	Фото и видеокамеры	active
TECH.SMART_HOME_SECURITY	TECH	2	Умный дом и гаджеты	active
APPL.MAJOR	APPL	2	Крупная техника (холодильники, стиралки и т.п.)	active
APPL.SMALL	APPL	2	Малая техника (пылесосы, кухня и т.п.)	active
APPL.CLIMATE	APPL	2	Климат (кондиционеры, обогреватели, очистители)	active
HOME.FURNITURE	HOME	2	Мебель	active
HOME.STORAGE	HOME	2	Хранение и организация	active
HOME.LIGHTING	HOME	2	Освещение	active
HOME.TEXTILES	HOME	2	Текстиль и интерьер	active
HOME.KITCHEN_DINING	HOME	2	Посуда и кухня	active
HOME.CLEANING	HOME	2	Бытовая химия и уборка	active
HOME.REPAIR_TOOLS	HOME	2	Ремонт и инструменты	active
HOME.PLUMBING	HOME	2	Сантехника	active
HOME.GARDEN	HOME	2	Дача и сад	active
FASH.WOMEN	FASH	2	Женская одежда	active
FASH.MEN	FASH	2	Мужская одежда	active
FASH.KIDS	FASH	2	Детская одежда	active
FASH.SHOES	FASH	2	Обувь	active
FASH.ACCESSORIES	FASH	2	Аксессуары	active
FASH.BAGS	FASH	2	Сумки и рюкзаки	active
BEAUTY.SKINCARE	BEAUTY	2	Уход за лицом и кожей	active
BEAUTY.HAIRCARE	BEAUTY	2	Уход за волосами	active
BEAUTY.BODYCARE	BEAUTY	2	Уход за телом и гигиена	active
BEAUTY.MAKEUP	BEAUTY	2	Декоративная косметика	active
BEAUTY.FRAGRANCE	BEAUTY	2	Парфюмерия	active
BEAUTY.DEVICES	BEAUTY	2	Техника для красоты и здоровья	active
BEAUTY.HEALTH	BEAUTY	2	Товары для здоровья (витамины, мед-товары)	active
KIDS.STROLLERS_CARSEATS	KIDS	2	Коляски и автокресла	active
KIDS.NURSERY_FURNITURE	KIDS	2	Детская мебель и безопасность	active
KIDS.TOYS_GAMES	KIDS	2	Игрушки и игры	active
KIDS.BABY_GEAR	KIDS	2	Товары для ухода за малышами	active
FOOD.GROCERIES	FOOD	2	Продукты (бакалея, свежие и т.п.)	active
FOOD.READY_MEALS	FOOD	2	Готовая еда	active
FOOD.DRINKS	FOOD	2	Напитки	active
FOOD.SNACKS	FOOD	2	Снеки и сладкое	active
PETS.FOOD	PETS	2	Корм	active
PETS.HYGIENE	PETS	2	Гигиена и наполнители	active
PETS.ACCESSORIES	PETS	2	Аксессуары	active
PETS.HEALTH	PETS	2	Здоровье и вет-товары	active
SPORT.FITNESS	SPORT	2	Фитнес и тренировки	active
SPORT.OUTDOOR	SPORT	2	Туризм и кемпинг	active
SPORT.BIKES_SCOOTERS	SPORT	2	Велосипеды и самокаты	active
SPORT.EQUIPMENT	SPORT	2	Спортивный инвентарь	active
SPORT.HOBBY	SPORT	2	Хобби и творчество	active
AUTO.PARTS	AUTO	2	Запчасти	active
AUTO.TIRES_WHEELS	AUTO	2	Шины и диски	active
AUTO.ACCESSORIES	AUTO	2	Аксессуары	active
AUTO.TOOLS_GARAGE	AUTO	2	Гараж и инструменты	active
