canonical_code	canonical_title_ru	canonical_parent_code	canonical_depth	google_ids	google_paths	mapping_type	notes_ru
APPL	Бытовая техника		1	604	Home & Garden > Household Appliances	SINGLE	
AUTO	Авто и мото		1	888	Vehicles & Parts	SINGLE	
BEAUTY	Красота и здоровье		1	469	Health & Beauty	SINGLE	
FASH	Одежда и обувь		1	166	Apparel & Accessories	SINGLE	
FOOD	Еда и продукты		1	412	Food, Beverages & Tobacco	SINGLE	
HOME	Дом и ремонт		1	536	Home & Garden	SINGLE	
KIDS	Детям		1	537	Baby & Toddler	SINGLE	
PETS	Питомцы		1	1	Animals & Pet Supplies	SINGLE	
SPORT	Спорт и хобби		1	988	Sporting Goods	SINGLE	
TECH	Электроника		1	222	Electronics	SINGLE	
APPL.CLIMATE	Климат (кондиционеры, обогреватели, очистители)	APPL	2	1626	Home & Garden > Household Appliances > Climate Control Appliances	SINGLE	
APPL.MAJOR	Крупная техника (холодильники, стиралки и т.п.)	APPL	2	604|686|2706	Home & Garden > Household Appliances | Home & Garden > Kitchen & Dining > Kitchen Appliances > Refrigerators | Home & Garden > Household Appliances > Laundry Appliances	MULTI	
APPL.SMALL	Малая техника (пылесосы, кухня и т.п.)	APPL	2	730	Home & Garden > Kitchen & Dining > Kitchen Appliances	SINGLE	
AUTO.ACCESSORIES	Аксессуары	AUTO	2	5613	Vehicles & Parts > Vehicle Parts & Accessories	SINGLE	
AUTO.PARTS	Запчасти	AUTO	2	5613	Vehicles & Parts > Vehicle Parts & Accessories	SINGLE	
AUTO.TIRES_WHEELS	Шины и диски	AUTO	2	911|2932	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Wheel Systems > Motor Vehicle Tires | Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Wheel Systems > Motor Vehicle Rims & Wheels	MULTI	
AUTO.TOOLS_GARAGE	Гараж и инструменты	AUTO	2	1167|3974	Hardware > Tools | Hardware > Hardware Accessories > Tool Storage & Organization	MULTI	
BEAUTY.BODYCARE	Уход за телом и гигиена	BEAUTY	2	474	Health & Beauty > Personal Care > Cosmetics > Bath & Body	SINGLE	
BEAUTY.DEVICES	Техника для красоты и здоровья	BEAUTY	2	528	Health & Beauty > Personal Care > Shaving & Grooming	SINGLE	
BEAUTY.FRAGRANCE	Парфюмерия	BEAUTY	2	479	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	SINGLE	
BEAUTY.HAIRCARE	Уход за волосами	BEAUTY	2	486	Health & Beauty > Personal Care > Hair Care	SINGLE	
BEAUTY.HEALTH	Товары для здоровья (витамины, мед-товары)	BEAUTY	2	491	Health & Beauty > Health Care	SINGLE	
