alias_id	locale	query	target_type	target_id	flags	match_kind	negative_tokens	is_blocked	source	weight	notes
appl_0001	ru-RU	холодильник	NODE	bn_appl_major_refrigerators	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0002	ru-RU	холодильники	NODE	bn_appl_major_refrigerators	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0003	ru-RU	двухкамерный холодильник	NODE	bn_appl_major_refrigerators	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0004	ru-RU	холодильник no frost	NODE	bn_appl_major_refrigerators	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0005	ru-RU	side by side холодильник	NODE	bn_appl_major_refrigerators	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0006	ru-RU	встраиваемый холодильник	NODE	bn_appl_major_refrigerators	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0007	ru-RU	морозильник	NODE	bn_appl_major_freezers	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0008	ru-RU	морозильная камера	NODE	bn_appl_major_freezers	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0009	ru-RU	морозильный ларь	NODE	bn_appl_major_freezers	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0010	ru-RU	морозилка	NODE	bn_appl_major_freezers	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0011	ru-RU	морозильные камеры	NODE	bn_appl_major_freezers	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0012	ru-RU	стиральная машина	NODE	bn_appl_major_washers	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0013	ru-RU	стиральная машина автомат	NODE	bn_appl_major_washers	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0014	ru-RU	стиралка	NODE	bn_appl_major_washers	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0015	ru-RU	стир машина	NODE	bn_appl_major_washers	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0016	ru-RU	стиральные машины	NODE	bn_appl_major_washers	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0017	ru-RU	сушильная машина	NODE	bn_appl_major_dryers	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0018	ru-RU	сушильные машины	NODE	bn_appl_major_dryers	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0019	ru-RU	сушка белья машина	NODE	bn_appl_major_dryers	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0020	ru-RU	сушильный автомат	NODE	bn_appl_major_dryers	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0021	ru-RU	посудомоечная машина	NODE	bn_appl_major_dishwashers	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0022	ru-RU	посудомойка	NODE	bn_appl_major_dishwashers	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0023	ru-RU	посудомоечные машины	NODE	bn_appl_major_dishwashers	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
appl_0024	ru-RU	встраиваемая посудомойка	NODE	bn_appl_major_dishwashers	POSITIVE	TOKEN		false	SEED	76	stage2.1.appl:positive
