alias_id	alias_text	locale	normalized	route_kind	target_id	priority	match_type	negative_tokens	status	notes
AL.AUTO.0001	авто	ru-RU	авто	browse_node	BN.AUTO	40	contains		active	L0 entry
AL.AUTO.0002	автотовары	ru-RU	автотовары	browse_node	BN.AUTO	40	contains		active	L0 entry
AL.AUTO.0003	магазин автозапчастей	ru-RU	магазин автозапчастей	browse_node	BN.AUTO	40	contains		active	L0 entry
AL.AUTO.0004	автозапчасти	ru-RU	автозапчасти	browse_node	BN.AUTO	40	contains		active	L0 entry
AL.AUTO.0005	товары для автомобиля	ru-RU	товары для автомобиля	browse_node	BN.AUTO	40	contains		active	L0 entry
AL.AUTO.0006	аксессуары для авто	ru-RU	аксессуары для авто	browse_node	BN.AUTO	40	contains		active	L0 entry
AL.AUTO.0007	авто рядом	ru-RU	авто рядом	browse_node	BN.AUTO	40	contains		active	L0 entry
AL.AUTO.0008	для машины	ru-RU	для машины	browse_node	BN.AUTO	40	contains		active	L0 entry
AL.AUTO.0009	запчасти	ru-RU	запчасти	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0010	автозапчасти	ru-RU	автозапчасти	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0011	запчасти для авто	ru-RU	запчасти для авто	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0012	запчасти на машину	ru-RU	запчасти на машину	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0013	оригинальные запчасти	ru-RU	оригинальные запчасти	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0014	фильтр масляный	ru-RU	фильтр масляный	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0015	фильтр воздушный	ru-RU	фильтр воздушный	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0016	фильтр салонный	ru-RU	фильтр салонный	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0017	свечи зажигания	ru-RU	свечи зажигания	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0018	ремень грм	ru-RU	ремень грм	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0019	ролики грм	ru-RU	ролики грм	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0020	тормозные колодки	ru-RU	тормозные колодки	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0021	тормозные диски	ru-RU	тормозные диски	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0022	суппорт	ru-RU	суппорт	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0023	тормозная жидкость	ru-RU	тормозная жидкость	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0024	амортизатор	ru-RU	амортизатор	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0025	стойка	ru-RU	стойка	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0026	пружина подвески	ru-RU	пружина подвески	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0027	рычаг подвески	ru-RU	рычаг подвески	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0028	шаровая опора	ru-RU	шаровая опора	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0029	рулевая тяга	ru-RU	рулевая тяга	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0030	наконечник	ru-RU	наконечник	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0031	шрус	ru-RU	шрус	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0032	пыльник шруса	ru-RU	пыльник шруса	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0033	сцепление	ru-RU	сцепление	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0034	маховик	ru-RU	маховик	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0035	аккумулятор автомобильный	ru-RU	аккумулятор автомобильный	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0036	генератор	ru-RU	генератор	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0037	стартер	ru-RU	стартер	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0038	фара	ru-RU	фара	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0039	лампы h7	ru-RU	лампы h7	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0040	лампы h4	ru-RU	лампы h4	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0041	предохранители	ru-RU	предохранители	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0042	масло моторное	ru-RU	масло моторное	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0043	антифриз	ru-RU	антифриз	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0044	тосол	ru-RU	тосол	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0045	жидкость гур	ru-RU	жидкость гур	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0046	трансмиссионное масло	ru-RU	трансмиссионное масло	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0047	масло акпп	ru-RU	масло акпп	browse_node	BN.AUTO.PARTS	76	contains		active	auto parts
AL.AUTO.0048	vag запчасти	ru-RU	vag запчасти	browse_node	BN.AUTO.PARTS	70	contains		active	brand+parts
AL.AUTO.0049	toyota запчасти	ru-RU	toyota запчасти	browse_node	BN.AUTO.PARTS	70	contains		active	brand+parts
AL.AUTO.0050	kia запчасти	ru-RU	kia запчасти	browse_node	BN.AUTO.PARTS	70	contains		active	brand+parts
AL.AUTO.0051	hyundai запчасти	ru-RU	hyundai запчасти	browse_node	BN.AUTO.PARTS	70	contains		active	brand+parts
AL.AUTO.0052	bmw запчасти	ru-RU	bmw запчасти	browse_node	BN.AUTO.PARTS	70	contains		active	brand+parts
AL.AUTO.0053	lada запчасти	ru-RU	lada запчасти	browse_node	BN.AUTO.PARTS	70	contains		active	brand+parts
AL.AUTO.0054	ваз запчасти	ru-RU	ваз запчасти	browse_node	BN.AUTO.PARTS	70	contains		active	brand+parts
AL.AUTO.0055	шины	ru-RU	шины	browse_node	BN.AUTO.TIRES	78	contains		active	tires/wheels
AL.AUTO.0056	резина	ru-RU	резина	browse_node	BN.AUTO.TIRES	78	contains		active	tires/wheels
AL.AUTO.0057	покрышки	ru-RU	покрышки	browse_node	BN.AUTO.TIRES	78	contains		active	tires/wheels
AL.AUTO.0058	шина r16	ru-RU	шина r16	browse_node	BN.AUTO.TIRES	78	contains		active	tires/wheels
AL.AUTO.0059	шина r17	ru-RU	шина r17	browse_node	BN.AUTO.TIRES	78	contains		active	tires/wheels
AL.AUTO.0060	шина r18	ru-RU	шина r18	browse_node	BN.AUTO.TIRES	78	contains		active	tires/wheels
AL.AUTO.0061	зимняя резина	ru-RU	зимняя резина	browse_node	BN.AUTO.TIRES	78	contains		active	tires/wheels
AL.AUTO.0062	летняя резина	ru-RU	летняя резина	browse_node	BN.AUTO.TIRES	78	contains		active	tires/wheels
AL.AUTO.0063	шипованные шины	ru-RU	шипованные шины	browse_node	BN.AUTO.TIRES	78	contains		active	tires/wheels
AL.AUTO.0064	диски	ru-RU	диски	browse_node	BN.AUTO.TIRES	78	contains		active	tires/wheels
AL.AUTO.0065	литые диски	ru-RU	литые диски	browse_node	BN.AUTO.TIRES	78	contains		active	tires/wheels
AL.AUTO.0066	штампованные диски	ru-RU	штампованные диски	browse_node	BN.AUTO.TIRES	78	contains		active	tires/wheels
AL.AUTO.0067	колеса	ru-RU	колеса	browse_node	BN.AUTO.TIRES	78	contains		active	tires/wheels
AL.AUTO.0068	колёса	ru-RU	колеса	browse_node	BN.AUTO.TIRES	78	contains		active	tires/wheels
AL.AUTO.0069	колеса в сборе	ru-RU	колеса в сборе	browse_node	BN.AUTO.TIRES	78	contains		active	tires/wheels
AL.AUTO.0070	комплект колес	ru-RU	комплект колес	browse_node	BN.AUTO.TIRES	78	contains		active	tires/wheels
AL.AUTO.0071	комплект шин	ru-RU	комплект шин	browse_node	BN.AUTO.TIRES	78	contains		active	tires/wheels
AL.AUTO.0072	балансировка колес	ru-RU	балансировка колес	browse_node	BN.AUTO.TIRES	78	contains		active	tires/wheels
AL.AUTO.0073	шиномонтаж	ru-RU	шиномонтаж	browse_node	BN.AUTO.TIRES	78	contains		active	tires/wheels
AL.AUTO.0074	ремонт шин	ru-RU	ремонт шин	browse_node	BN.AUTO.TIRES	78	contains		active	tires/wheels
AL.AUTO.0075	герметик для шин	ru-RU	герметик для шин	browse_node	BN.AUTO.TIRES	78	contains		active	tires/wheels
AL.AUTO.0076	коврики в салон	ru-RU	коврики в салон	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0077	коврики резиновые	ru-RU	коврики резиновые	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0078	коврики eva	ru-RU	коврики eva	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0079	чехлы на сиденья	ru-RU	чехлы на сиденья	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0080	накидки на сиденья	ru-RU	накидки на сиденья	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0081	оплетка на руль	ru-RU	оплетка на руль	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0082	видеорегистратор	ru-RU	видеорегистратор	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0083	регистратор в авто	ru-RU	регистратор в авто	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0084	радар детектор	ru-RU	радар детектор	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0085	антирадар	ru-RU	антирадар	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0086	навигатор автомобильный	ru-RU	навигатор автомобильный	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0087	магнитола	ru-RU	магнитола	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0088	автомагнитола	ru-RU	автомагнитола	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0089	android магнитола	ru-RU	android магнитола	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0090	колонки в авто	ru-RU	колонки в авто	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0091	сабвуфер	ru-RU	сабвуфер	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0092	усилитель в авто	ru-RU	усилитель в авто	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0093	держатель для телефона в авто	ru-RU	держатель для телефона в авто	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0094	держатель телефона	ru-RU	держатель телефона	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0095	автозарядка	ru-RU	автозарядка	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0096	зарядка в прикуриватель	ru-RU	зарядка в прикуриватель	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0097	fm трансмиттер	ru-RU	fm трансмиттер	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0098	багажник на крышу	ru-RU	багажник на крышу	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0099	поперечины на крышу	ru-RU	поперечины на крышу	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0100	фаркоп	ru-RU	фаркоп	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0101	буксировочный трос	ru-RU	буксировочный трос	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0102	трос буксировочный	ru-RU	трос буксировочный	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0103	щетки стеклоочистителя	ru-RU	щетки стеклоочистителя	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0104	дворники	ru-RU	дворники	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0105	омывайка	ru-RU	омывайка	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0106	жидкость омывателя	ru-RU	жидкость омывателя	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0107	ароматизатор в машину	ru-RU	ароматизатор в машину	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0108	автохимия	ru-RU	автохимия	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0109	полироль	ru-RU	полироль	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0110	воск для авто	ru-RU	воск для авто	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0111	шампунь для авто	ru-RU	шампунь для авто	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0112	микрофибра для авто	ru-RU	микрофибра для авто	browse_node	BN.AUTO.ACCESS	72	contains		active	auto accessories
AL.AUTO.0113	автокресло	ru-RU	автокресло	browse_node	BN.AUTO.ACCESS	68	contains		active	child seats/accessories (ambiguous)
AL.AUTO.0114	детское автокресло	ru-RU	детское автокресло	browse_node	BN.AUTO.ACCESS	68	contains		active	child seats/accessories (ambiguous)
AL.AUTO.0115	автолюлька	ru-RU	автолюлька	browse_node	BN.AUTO.ACCESS	68	contains		active	child seats/accessories (ambiguous)
AL.AUTO.0116	isofix	ru-RU	isofix	browse_node	BN.AUTO.ACCESS	68	contains		active	child seats/accessories (ambiguous)
AL.AUTO.0117	бустер детский	ru-RU	бустер детский	browse_node	BN.AUTO.ACCESS	68	contains		active	child seats/accessories (ambiguous)
AL.AUTO.0118	домкрат	ru-RU	домкрат	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0119	ромбический домкрат	ru-RU	ромбический домкрат	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0120	подкатной домкрат	ru-RU	подкатной домкрат	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0121	набор ключей	ru-RU	набор ключей	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0122	набор инструментов	ru-RU	набор инструментов	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0123	трещотка	ru-RU	трещотка	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0124	головки	ru-RU	головки	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0125	набор головок	ru-RU	набор головок	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0126	компрессор автомобильный	ru-RU	компрессор автомобильный	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0127	насос автомобильный	ru-RU	насос автомобильный	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0128	пуско зарядное устройство	ru-RU	пуско зарядное устройство	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0129	пусковое устройство	ru-RU	пусковое устройство	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0130	провода прикуривания	ru-RU	провода прикуривания	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0131	obd2	ru-RU	obd2	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0132	диагностический сканер	ru-RU	диагностический сканер	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0133	сканер obd	ru-RU	сканер obd	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0134	адаптер elm327	ru-RU	адаптер elm327	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0135	толщиномер	ru-RU	толщиномер	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0136	манометр	ru-RU	манометр	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0137	органайзер в багажник	ru-RU	органайзер в багажник	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0138	стеллаж в гараж	ru-RU	стеллаж в гараж	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0139	ящик для инструментов	ru-RU	ящик для инструментов	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0140	набор для ремонта шин	ru-RU	набор для ремонта шин	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0141	жгуты для ремонта шин	ru-RU	жгуты для ремонта шин	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0142	мойка высокого давления	ru-RU	мойка высокого давления	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0143	пылесос автомобильный	ru-RU	пылесос автомобильный	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0144	пылесос для авто	ru-RU	пылесос для авто	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0145	полировальная машинка	ru-RU	полировальная машинка	browse_node	BN.AUTO.TOOLS	74	contains		active	garage/tools
AL.AUTO.0146	дрель	ru-RU	дрель	canonical	HOME.REPAIR_TOOLS	75	contains		active	home tools -> HOME.REPAIR_TOOLS
AL.AUTO.0147	шуруповерт	ru-RU	шуруповерт	canonical	HOME.REPAIR_TOOLS	75	contains		active	home tools -> HOME.REPAIR_TOOLS
AL.AUTO.0148	шуруповёрт	ru-RU	шуруповерт	canonical	HOME.REPAIR_TOOLS	75	contains		active	home tools -> HOME.REPAIR_TOOLS
AL.AUTO.0149	перфоратор	ru-RU	перфоратор	canonical	HOME.REPAIR_TOOLS	75	contains		active	home tools -> HOME.REPAIR_TOOLS
AL.AUTO.0150	лобзик	ru-RU	лобзик	canonical	HOME.REPAIR_TOOLS	75	contains		active	home tools -> HOME.REPAIR_TOOLS
AL.AUTO.0151	болгарка	ru-RU	болгарка	canonical	HOME.REPAIR_TOOLS	75	contains		active	home tools -> HOME.REPAIR_TOOLS
AL.AUTO.0152	сварочный аппарат	ru-RU	сварочный аппарат	canonical	HOME.REPAIR_TOOLS	75	contains		active	home tools -> HOME.REPAIR_TOOLS
AL.AUTO.0153	детская коляска	ru-RU	детская коляска	canonical	KIDS.STROLLERS_CARSEATS	60	contains		active	stroller -> KIDS.STROLLERS_CARSEATS
AL.AUTO.0154	коляска	ru-RU	коляска	canonical	KIDS.STROLLERS_CARSEATS	60	contains		active	stroller -> KIDS.STROLLERS_CARSEATS
AL.AUTO.0155	кроватка детская	ru-RU	кроватка детская	canonical	KIDS.NURSERY_FURNITURE	60	contains		active	nursery furniture -> KIDS.NURSERY_FURNITURE
AL.AUTO.0156	powerbank	ru-RU	powerbank	canonical	TECH.PHONES	55	contains		active	phone accessories -> TECH.PHONES
AL.AUTO.0157	пауэрбанк	ru-RU	пауэрбанк	canonical	TECH.PHONES	55	contains		active	phone accessories -> TECH.PHONES
AL.AUTO.0158	зарядка usb c	ru-RU	зарядка usb c	canonical	TECH.PHONES	55	contains		active	phone accessories -> TECH.PHONES
AL.AUTO.0159	зарядка type c	ru-RU	зарядка type c	canonical	TECH.PHONES	55	contains		active	phone accessories -> TECH.PHONES
AL.AUTO.0160	как заменить масло	ru-RU	как заменить масло	blocked	BLOCKED	0	contains		active	content intent
AL.AUTO.0161	как поменять колодки	ru-RU	как поменять колодки	blocked	BLOCKED	0	contains		active	content intent
