browse_node_id	parent_browse_node_id	title_ru	slug	depth	canonical_category_code	sort_order	status	meta_json
BN.BEAUTY		Красота и здоровье	krasota-i-zdorove	1	BEAUTY	10	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""sparkles""}}"
BN.BEAUTY.SKINCARE	BN.BEAUTY	Уход за лицом и кожей	uhod-za-litsom-i-kozhey	2	BEAUTY.SKINCARE	10	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""face""}}"
BN.BEAUTY.MAKEUP	BN.BEAUTY	Макияж	makiyazh	2	BEAUTY.MAKEUP	20	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""makeup""}}"
BN.BEAUTY.HAIRCARE	BN.BEAUTY	Уход за волосами	uhod-za-volosami	2	BEAUTY.HAIRCARE	30	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""hair""}}"
BN.BEAUTY.BODYCARE	BN.BEAUTY	Тело и гигиена	telo-i-gigiena	2	BEAUTY.BODYCARE	40	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""droplet""}}"
BN.BEAUTY.FRAGRANCE	BN.BEAUTY	Парфюмерия	parfyumeriya	2	BEAUTY.FRAGRANCE	50	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""perfume""}}"
BN.BEAUTY.HEALTH	BN.BEAUTY	Товары для здоровья	tovary-dlya-zdorovya	2	BEAUTY.HEALTH	60	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""heart""}}"
BN.BEAUTY.DEVICES	BN.BEAUTY	Техника	tehnika	2	BEAUTY.DEVICES	70	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""device""}}"
BN.BEAUTY.SKINCARE.01	BN.BEAUTY.SKINCARE	Очищение	ochischenie	3	BEAUTY.SKINCARE	10	active	"{""presetFilters"": {""type"": ""cleansing""}, ""ui"": {""visibility"": ""secondary""}}"
BN.BEAUTY.SKINCARE.02	BN.BEAUTY.SKINCARE	Тоники и сыворотки	toniki-i-syvorotki	3	BEAUTY.SKINCARE	20	active	"{""presetFilters"": {""type"": ""toners_serums""}, ""ui"": {""visibility"": ""secondary""}}"
BN.BEAUTY.SKINCARE.03	BN.BEAUTY.SKINCARE	Кремы	kremy	3	BEAUTY.SKINCARE	30	active	"{""presetFilters"": {""type"": ""creams""}, ""ui"": {""visibility"": ""secondary""}}"
BN.BEAUTY.SKINCARE.04	BN.BEAUTY.SKINCARE	SPF и защита	spf-i-zaschita	3	BEAUTY.SKINCARE	40	active	"{""presetFilters"": {""type"": ""spf""}, ""ui"": {""visibility"": ""secondary""}}"
BN.BEAUTY.SKINCARE.05	BN.BEAUTY.SKINCARE	Маски и пилинги	maski-i-pilingi	3	BEAUTY.SKINCARE	50	active	"{""presetFilters"": {""type"": ""masks_peels""}, ""ui"": {""visibility"": ""secondary""}}"
