alias_id	alias_text	locale	normalized	route_kind	target_id	priority	match_type	negative_tokens	status	notes
AL.FASH.0001	одежда	ru-RU	одежда	browse_node	BN.FASH	40	contains		active	L0 entry
AL.FASH.0002	одежда и обувь	ru-RU	одежда и обувь	browse_node	BN.FASH	40	contains		active	L0 entry
AL.FASH.0003	магазин одежды	ru-RU	магазин одежды	browse_node	BN.FASH	40	contains		active	L0 entry
AL.FASH.0004	фэшн	ru-RU	фэшн	browse_node	BN.FASH	40	contains		active	L0 entry
AL.FASH.0005	fashion	ru-RU	fashion	browse_node	BN.FASH	40	contains		active	L0 entry
AL.FASH.0006	одежда рядом	ru-RU	одежда рядом	browse_node	BN.FASH	40	contains		active	L0 entry
AL.FASH.0007	одежда б/у	ru-RU	одежда б/у	browse_node	BN.FASH	40	contains		active	L0 entry
AL.FASH.0008	брендовая одежда	ru-RU	брендовая одежда	browse_node	BN.FASH	40	contains		active	L0 entry
AL.FASH.0009	стильная одежда	ru-RU	стильная одежда	browse_node	BN.FASH	40	contains		active	L0 entry
AL.FASH.0010	гардероб	ru-RU	гардероб	browse_node	BN.FASH	40	contains		active	L0 entry
AL.FASH.0011	женская одежда	ru-RU	женская одежда	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0012	для женщин	ru-RU	для женщин	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0013	женская мода	ru-RU	женская мода	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0014	платья	ru-RU	платья	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0015	платье	ru-RU	платье	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0016	сарафан	ru-RU	сарафан	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0017	блузка	ru-RU	блузка	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0018	топ	ru-RU	топ	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0019	футболка женская	ru-RU	футболка женская	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0020	джинсы женские	ru-RU	джинсы женские	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0021	юбка	ru-RU	юбка	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0022	шорты женские	ru-RU	шорты женские	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0023	пальто женское	ru-RU	пальто женское	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0024	куртка женская	ru-RU	куртка женская	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0025	пуховик женский	ru-RU	пуховик женский	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0026	кофта женская	ru-RU	кофта женская	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0027	свитер женский	ru-RU	свитер женский	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0028	леггинсы	ru-RU	леггинсы	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0029	комбинезон женский	ru-RU	комбинезон женский	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0030	белье женское	ru-RU	белье женское	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0031	нижнее белье	ru-RU	нижнее белье	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0032	пижама женская	ru-RU	пижама женская	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0033	домашняя одежда женская	ru-RU	домашняя одежда женская	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0034	спортивный костюм женский	ru-RU	спортивный костюм женский	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0035	костюм женский	ru-RU	костюм женский	browse_node	BN.FASH.WOMEN	70	contains		active	women
AL.FASH.0036	мужская одежда	ru-RU	мужская одежда	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0037	для мужчин	ru-RU	для мужчин	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0038	мужская мода	ru-RU	мужская мода	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0039	куртка мужская	ru-RU	куртка мужская	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0040	пальто мужское	ru-RU	пальто мужское	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0041	пуховик мужской	ru-RU	пуховик мужской	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0042	ветровка мужская	ru-RU	ветровка мужская	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0043	футболка мужская	ru-RU	футболка мужская	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0044	поло	ru-RU	поло	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0045	рубашка	ru-RU	рубашка	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0046	рубашка мужская	ru-RU	рубашка мужская	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0047	свитер мужской	ru-RU	свитер мужской	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0048	толстовка	ru-RU	толстовка	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0049	худи	ru-RU	худи	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0050	джинсы мужские	ru-RU	джинсы мужские	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0051	брюки мужские	ru-RU	брюки мужские	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0052	костюм мужской	ru-RU	костюм мужской	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0053	пиджак	ru-RU	пиджак	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0054	жилет мужской	ru-RU	жилет мужской	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0055	белье мужское	ru-RU	белье мужское	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0056	трусы мужские	ru-RU	трусы мужские	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0057	пижама мужская	ru-RU	пижама мужская	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0058	спортивный костюм мужской	ru-RU	спортивный костюм мужской	browse_node	BN.FASH.MEN	70	contains		active	men
AL.FASH.0059	детская одежда	ru-RU	детская одежда	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0060	одежда для детей	ru-RU	одежда для детей	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0061	для мальчика	ru-RU	для мальчика	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0062	для девочки	ru-RU	для девочки	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0063	школьная форма	ru-RU	школьная форма	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0064	куртка детская	ru-RU	куртка детская	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0065	комбинезон детский	ru-RU	комбинезон детский	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0066	пуховик детский	ru-RU	пуховик детский	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0067	кофта детская	ru-RU	кофта детская	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0068	футболка детская	ru-RU	футболка детская	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0069	джинсы детские	ru-RU	джинсы детские	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0070	платье детское	ru-RU	платье детское	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0071	костюм детский	ru-RU	костюм детский	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0072	спортивный костюм детский	ru-RU	спортивный костюм детский	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0073	бодик	ru-RU	бодик	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0074	боди	ru-RU	боди	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0075	ползунки	ru-RU	ползунки	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0076	песочник	ru-RU	песочник	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0077	шапка детская	ru-RU	шапка детская	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0078	колготки детские	ru-RU	колготки детские	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0079	носки детские	ru-RU	носки детские	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0080	пижама детская	ru-RU	пижама детская	browse_node	BN.FASH.KIDS	66	contains		active	kids clothing
AL.FASH.0081	обувь	ru-RU	обувь	browse_node	BN.FASH.SHOES	72	contains		active	shoes
AL.FASH.0082	кроссовки	ru-RU	кроссовки	browse_node	BN.FASH.SHOES	72	contains		active	shoes
AL.FASH.0083	кеды	ru-RU	кеды	browse_node	BN.FASH.SHOES	72	contains		active	shoes
AL.FASH.0084	ботинки	ru-RU	ботинки	browse_node	BN.FASH.SHOES	72	contains		active	shoes
AL.FASH.0085	сапоги	ru-RU	сапоги	browse_node	BN.FASH.SHOES	72	contains		active	shoes
AL.FASH.0086	туфли	ru-RU	туфли	browse_node	BN.FASH.SHOES	72	contains		active	shoes
AL.FASH.0087	балетки	ru-RU	балетки	browse_node	BN.FASH.SHOES	72	contains		active	shoes
AL.FASH.0088	сандалии	ru-RU	сандалии	browse_node	BN.FASH.SHOES	72	contains		active	shoes
AL.FASH.0089	шлепанцы	ru-RU	шлепанцы	browse_node	BN.FASH.SHOES	72	contains		active	shoes
AL.FASH.0090	шлёпанцы	ru-RU	шлепанцы	browse_node	BN.FASH.SHOES	72	contains		active	shoes
AL.FASH.0091	сланцы	ru-RU	сланцы	browse_node	BN.FASH.SHOES	72	contains		active	shoes
AL.FASH.0092	тапочки	ru-RU	тапочки	browse_node	BN.FASH.SHOES	72	contains		active	shoes
AL.FASH.0093	домашняя обувь	ru-RU	домашняя обувь	browse_node	BN.FASH.SHOES	72	contains		active	shoes
AL.FASH.0094	обувь женская	ru-RU	обувь женская	browse_node	BN.FASH.SHOES	72	contains		active	shoes
AL.FASH.0095	обувь мужская	ru-RU	обувь мужская	browse_node	BN.FASH.SHOES	72	contains		active	shoes
AL.FASH.0096	детская обувь	ru-RU	детская обувь	browse_node	BN.FASH.SHOES	72	contains		active	shoes
AL.FASH.0097	кроссовки nike	ru-RU	кроссовки nike	browse_node	BN.FASH.SHOES	72	contains		active	shoes
AL.FASH.0098	кроссовки adidas	ru-RU	кроссовки adidas	browse_node	BN.FASH.SHOES	72	contains		active	shoes
AL.FASH.0099	ботинки зимние	ru-RU	ботинки зимние	browse_node	BN.FASH.SHOES	72	contains		active	shoes
AL.FASH.0100	сапоги зимние	ru-RU	сапоги зимние	browse_node	BN.FASH.SHOES	72	contains		active	shoes
AL.FASH.0101	кроссовки беговые	ru-RU	кроссовки беговые	browse_node	BN.FASH.SHOES	72	contains		active	shoes
