browse_node_id	parent_browse_node_id	title_ru	slug	depth	canonical_category_code	sort_order	status	meta_json
BN.KIDS		Товары для детей	tovary-dlya-detey	1	KIDS	10	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""baby""}}"
BN.KIDS.BABY_GEAR	BN.KIDS	Уход за малышами	uhod-za-malyshami	2	KIDS.BABY_GEAR	10	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""bottle""}}"
BN.KIDS.STROLLERS	BN.KIDS	Коляски и автокресла	kolyaski-i-avtokresla	2	KIDS.STROLLERS_CARSEATS	20	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""stroller""}}"
BN.KIDS.NURSERY	BN.KIDS	Детская мебель и безопасность	detskaya-mebel-i-bezopasnost	2	KIDS.NURSERY_FURNITURE	30	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""crib""}}"
BN.KIDS.TOYS	BN.KIDS	Игрушки и игры	igrushki-i-igry	2	KIDS.TOYS_GAMES	40	active	"{""ui"": {""visibility"": ""main"", ""icon"": ""toy""}}"
BN.KIDS.BABY_GEAR.01	BN.KIDS.BABY_GEAR	Подгузники и пелёнки	podguzniki-i-pelenki	3	KIDS.BABY_GEAR	10	active	"{""presetFilters"": {""type"": ""diapers_wipes""}, ""ui"": {""visibility"": ""secondary""}}"
BN.KIDS.BABY_GEAR.02	BN.KIDS.BABY_GEAR	Кормление	kormlenie	3	KIDS.BABY_GEAR	20	active	"{""presetFilters"": {""type"": ""feeding""}, ""ui"": {""visibility"": ""secondary""}}"
BN.KIDS.BABY_GEAR.03	BN.KIDS.BABY_GEAR	Гигиена и купание	gigiena-i-kupanie	3	KIDS.BABY_GEAR	30	active	"{""presetFilters"": {""type"": ""hygiene_bath""}, ""ui"": {""visibility"": ""secondary""}}"
BN.KIDS.BABY_GEAR.04	BN.KIDS.BABY_GEAR	Одежда для новорождённых	odezhda-dlya-novorozhdennyh	3	KIDS.BABY_GEAR	40	active	"{""presetFilters"": {""type"": ""newborn_clothing""}, ""ui"": {""visibility"": ""secondary""}}"
BN.KIDS.BABY_GEAR.05	BN.KIDS.BABY_GEAR	Сон и безопасность	son-i-bezopasnost	3	KIDS.BABY_GEAR	50	active	"{""presetFilters"": {""type"": ""sleep_safety""}, ""ui"": {""visibility"": ""secondary""}}"
BN.KIDS.BABY_GEAR.06	BN.KIDS.BABY_GEAR	Слинги и переноски	slingi-i-perenoski	3	KIDS.BABY_GEAR	60	active	"{""presetFilters"": {""type"": ""carriers""}, ""ui"": {""visibility"": ""secondary""}}"
BN.KIDS.STROLLERS.01	BN.KIDS.STROLLERS	Коляски 2в1/3в1	kolyaski-2v1-3v1	3	KIDS.STROLLERS_CARSEATS	10	active	"{""presetFilters"": {""type"": ""stroller_combo""}, ""ui"": {""visibility"": ""secondary""}}"
BN.KIDS.STROLLERS.02	BN.KIDS.STROLLERS	Прогулочные коляски	progulochnye-kolyaski	3	KIDS.STROLLERS_CARSEATS	20	active	"{""presetFilters"": {""type"": ""stroller_walk""}, ""ui"": {""visibility"": ""secondary""}}"
BN.KIDS.STROLLERS.03	BN.KIDS.STROLLERS	Люльки и для новорождённых	lyulki-i-dlya-novorozhdennyh	3	KIDS.STROLLERS_CARSEATS	30	active	"{""presetFilters"": {""type"": ""stroller_bassinet""}, ""ui"": {""visibility"": ""secondary""}}"
BN.KIDS.STROLLERS.04	BN.KIDS.STROLLERS	Автокресла 0+	avtokresla-0	3	KIDS.STROLLERS_CARSEATS	40	active	"{""presetFilters"": {""type"": ""carseat_0plus""}, ""ui"": {""visibility"": ""secondary""}}"
