alias_ru	canonical_type	canonical_code	confidence	route_hint	notes_ru
кроссовки	shoe_type	SNEAKERS	0.95	FASH.SHOES	Базовый тип для lifestyle и casual sneaker. Для спорта уточнять sport_purpose.
кроссы	shoe_type	SNEAKERS	0.95	FASH.SHOES	Базовый тип для lifestyle и casual sneaker. Для спорта уточнять sport_purpose.
кросы	shoe_type	SNEAKERS	0.95	FASH.SHOES	Базовый тип для lifestyle и casual sneaker. Для спорта уточнять sport_purpose.
кеды	shoe_type	SNEAKERS	0.95	FASH.SHOES	Базовый тип для lifestyle и casual sneaker. Для спорта уточнять sport_purpose.
сникеры	shoe_type	SNEAKERS	0.95	FASH.SHOES	Базовый тип для lifestyle и casual sneaker. Для спорта уточнять sport_purpose.
sneakers	shoe_type	SNEAKERS	0.95	FASH.SHOES	Базовый тип для lifestyle и casual sneaker. Для спорта уточнять sport_purpose.
беговые кроссовки	shoe_type	RUNNING_SHOES	0.95	FASH.SHOES	Если явно указан бег или running.
кроссовки для бега	shoe_type	RUNNING_SHOES	0.95	FASH.SHOES	Если явно указан бег или running.
раннинги	shoe_type	RUNNING_SHOES	0.95	FASH.SHOES	Если явно указан бег или running.
running shoes	shoe_type	RUNNING_SHOES	0.95	FASH.SHOES	Если явно указан бег или running.
спортивная обувь	shoe_type	SPORT_SHOES	0.95	FASH.SHOES	Универсальная спортивная обувь без более точного вида.
обувь для спорта	shoe_type	SPORT_SHOES	0.95	FASH.SHOES	Универсальная спортивная обувь без более точного вида.
тренировочная обувь	shoe_type	SPORT_SHOES	0.95	FASH.SHOES	Универсальная спортивная обувь без более точного вида.
бутсы	shoe_type	FOOTBALL_BOOTS	0.95	FASH.SHOES	Спортивная обувь для футбола.
футбольные бутсы	shoe_type	FOOTBALL_BOOTS	0.95	FASH.SHOES	Спортивная обувь для футбола.
сороконожки	shoe_type	FOOTBALL_BOOTS	0.95	FASH.SHOES	Спортивная обувь для футбола.
шиповки футбольные	shoe_type	FOOTBALL_BOOTS	0.95	FASH.SHOES	Спортивная обувь для футбола.
ботинки	shoe_type	BOOTS	0.95	FASH.SHOES	Общий тип для закрытой обуви выше туфель; при зимнем контексте использовать WINTER_BOOTS.
сапоги	shoe_type	BOOTS	0.95	FASH.SHOES	Общий тип для закрытой обуви выше туфель; при зимнем контексте использовать WINTER_BOOTS.
boots	shoe_type	BOOTS	0.95	FASH.SHOES	Общий тип для закрытой обуви выше туфель; при зимнем контексте использовать WINTER_BOOTS.
боты	shoe_type	BOOTS	0.95	FASH.SHOES	Общий тип для закрытой обуви выше туфель; при зимнем контексте использовать WINTER_BOOTS.
ботильоны	shoe_type	ANKLE_BOOTS	0.95	FASH.SHOES	Обувь до щиколотки или немного выше.
полусапоги	shoe_type	ANKLE_BOOTS	0.95	FASH.SHOES	Обувь до щиколотки или немного выше.
челси	shoe_type	ANKLE_BOOTS	0.95	FASH.SHOES	Обувь до щиколотки или немного выше.
chelsea boots	shoe_type	ANKLE_BOOTS	0.95	FASH.SHOES	Обувь до щиколотки или немного выше.
зимние ботинки	shoe_type	WINTER_BOOTS	0.95	FASH.SHOES	Зимняя утеплённая обувь.
зимние сапоги	shoe_type	WINTER_BOOTS	0.95	FASH.SHOES	Зимняя утеплённая обувь.
дутики	shoe_type	WINTER_BOOTS	0.95	FASH.SHOES	Зимняя утеплённая обувь.
угги	shoe_type	WINTER_BOOTS	0.95	FASH.SHOES	Зимняя утеплённая обувь.
валенки	shoe_type	WINTER_BOOTS	0.95	FASH.SHOES	Зимняя утеплённая обувь.
снегоходы	shoe_type	WINTER_BOOTS	0.95	FASH.SHOES	Зимняя утеплённая обувь.
треккинговые ботинки	shoe_type	HIKING_SHOES	0.95	FASH.SHOES	Для походов, треккинга, outdoor.
походные ботинки	shoe_type	HIKING_SHOES	0.95	FASH.SHOES	Для походов, треккинга, outdoor.
hiking shoes	shoe_type	HIKING_SHOES	0.95	FASH.SHOES	Для походов, треккинга, outdoor.
trekking shoes	shoe_type	HIKING_SHOES	0.95	FASH.SHOES	Для походов, треккинга, outdoor.
туристическая обувь	shoe_type	HIKING_SHOES	0.95	FASH.SHOES	Для походов, треккинга, outdoor.
треккинговая	shoe_type	HIKING_SHOES	0.90	FASH.SHOES	Для походов, треккинга, outdoor.
туфли	shoe_type	SHOES	0.95	FASH.SHOES	Классическая закрытая обувь без каблука как основного признака.
полуботинки	shoe_type	SHOES	0.95	FASH.SHOES	Классическая закрытая обувь без каблука как основного признака.
