attribute_code	value_code	value_ru	aliases_ru	sort_order	status	notes_ru
shoe_type	SNEAKERS	Кроссовки / кеды	кроссовки,кроссы,кросы,кеды,сникеры,sneakers	1	ACTIVE	Базовый тип для lifestyle и casual sneaker. Для спорта уточнять sport_purpose.
shoe_type	RUNNING_SHOES	Беговые кроссовки	беговые кроссовки,кроссовки для бега,раннинги,running shoes	2	ACTIVE	Если явно указан бег или running.
shoe_type	SPORT_SHOES	Спортивная обувь	спортивная обувь,обувь для спорта,тренировочная обувь	3	ACTIVE	Универсальная спортивная обувь без более точного вида.
shoe_type	FOOTBALL_BOOTS	Футбольные бутсы	бутсы,футбольные бутсы,сороконожки,шиповки футбольные	4	ACTIVE	Спортивная обувь для футбола.
shoe_type	BOOTS	Ботинки / сапоги	ботинки,сапоги,boots,боты	5	ACTIVE	Общий тип для закрытой обуви выше туфель; при зимнем контексте использовать WINTER_BOOTS.
shoe_type	ANKLE_BOOTS	Ботильоны / полусапоги	ботильоны,полусапоги,челси,chelsea boots	6	ACTIVE	Обувь до щиколотки или немного выше.
shoe_type	WINTER_BOOTS	Зимние ботинки / сапоги	зимние ботинки,зимние сапоги,дутики,угги,валенки,снегоходы	7	ACTIVE	Зимняя утеплённая обувь.
shoe_type	HIKING_SHOES	Треккинговая / походная обувь	треккинговые ботинки,походные ботинки,hiking shoes,trekking shoes,туристическая обувь	8	ACTIVE	Для походов, треккинга, outdoor.
shoe_type	SHOES	Туфли / полуботинки	туфли,полуботинки,классические туфли,shoes	9	ACTIVE	Классическая закрытая обувь без каблука как основного признака.
shoe_type	LOAFERS	Лоферы	лоферы,loafers	10	ACTIVE	Классическая обувь без шнурков.
shoe_type	MOCCASINS	Мокасины	мокасины,moccasins	11	ACTIVE	Мягкая повседневная обувь.
shoe_type	OXFORDS	Оксфорды	оксфорды,oxfords	12	ACTIVE	Классическая обувь с закрытой шнуровкой.
shoe_type	DERBY	Дерби	дерби,derby	13	ACTIVE	Классическая обувь с открытой шнуровкой.
shoe_type	SANDALS	Сандалии / босоножки	сандалии,босоножки,sandals,сандалики	14	ACTIVE	Открытая летняя обувь с ремешками.
shoe_type	SLIDES	Шлёпанцы / сланцы	шлепанцы,шлёпанцы,сланцы,slides,flip flops,вьетнамки	15	ACTIVE	Открытая обувь без задника.
shoe_type	SLIPPERS	Домашние тапочки	тапочки,тапки,домашняя обувь,slippers	16	ACTIVE	Домашняя обувь.
shoe_type	BALLET_FLATS	Балетки	балетки,ballet flats	17	ACTIVE	Женская обувь на плоской подошве.
shoe_type	HEELS	Обувь на каблуке	каблуки,туфли на каблуке,heels	18	ACTIVE	Общий тип для обуви с выраженным каблуком.
shoe_type	PUMPS	Туфли-лодочки	лодочки,туфли лодочки,pumps	19	ACTIVE	Закрытые туфли на каблуке, часто без застёжки.
shoe_type	WEDGES	Обувь на танкетке	танкетка,обувь на танкетке,wedges	20	ACTIVE	Каблук-танкетка.
shoe_type	RUBBER_BOOTS	Резиновые сапоги	резиновые сапоги,сапоги резиновые,дождевые сапоги,обувь для дождя	21	ACTIVE	Влагозащитная резиновая обувь.
shoe_type	KIDS_SHOES	Детская обувь	детская обувь,детские кроссовки,детские ботинки,обувь для ребёнка	22	ACTIVE	Детский fallback, если точный тип обуви не выделен.
shoe_type	BABY_SHOES	Обувь для малышей / пинетки	пинетки,обувь для малыша,обувь для младенца,первые ботиночки	23	ACTIVE	Для baby/toddler, включая мягкую обувь.
shoe_type	CLOGS	Сабо / кроксы	сабо,кроксы,clogs,crocs	24	ACTIVE	Сабо и формованный тип обуви.
shoe_type	ESPADRILLES	Эспадрильи	эспадрильи,espadrilles	25	ACTIVE	Лёгкая летняя обувь.
shoe_type	OTHER_SHOES	Другая обувь	другая обувь,прочая обувь	26	ACTIVE	Fallback только при невозможности точной классификации.
target_gender	MEN	Мужской	мужские,мужская,для мужчин,men	1	ACTIVE	Взрослый мужской сегмент.
target_gender	WOMEN	Женский	женские,женская,для женщин,women	2	ACTIVE	Взрослый женский сегмент.
target_gender	BOYS	Для мальчиков	для мальчика,мальчику,boys	3	ACTIVE	Детский сегмент для мальчиков.
target_gender	GIRLS	Для девочек	для девочки,девочке,girls	4	ACTIVE	Детский сегмент для девочек.
target_gender	KIDS	Детский унисекс	детские,для детей,kids	5	ACTIVE	Детский сегмент без уточнения пола.
target_gender	UNISEX	Унисекс	унисекс,unisex	6	ACTIVE	Подходит для разных полов.
age_group	ADULT	Взрослые	взрослые,adult	1	ACTIVE	Основной взрослый сегмент.
age_group	TEEN	Подростки	подростковые,для подростка,teen	2	ACTIVE	Подростковые размеры/модели.
age_group	KIDS	Дети	дети,детская,kids	3	ACTIVE	Детская обувь.
age_group	TODDLER	Малыши	малыши,toddler,ясельная	4	ACTIVE	Малыши, ходунки.
age_group	BABY	Младенцы	младенцы,baby,пинетки	5	ACTIVE	Для младенцев и предходьбы.
condition	NEW	Новые	новые,новая,новое,без носки	1	ACTIVE	Новые, без признаков носки.
condition	LIKE_NEW	Как новые	как новые,идеальное состояние,носили пару раз	2	ACTIVE	Минимальные следы использования.
condition	GOOD	Хорошее состояние	хорошее состояние,б/у хорошее,бу хорошее	3	ACTIVE	Нормальные следы носки без критичных дефектов.
condition	FAIR	Удовлетворительное состояние	удовлетворительное,состояние среднее	4	ACTIVE	Заметная носка, но функционально пригодны.
condition	HEAVILY_USED	Сильно б/у	сильно бу,сильно б/у,изношенные	5	ACTIVE	Сильные следы носки.
condition	DEFECTS_OR_REPAIR	С дефектами / под ремонт	с дефектом,под ремонт,требует ремонта	6	ACTIVE	Требуется defect_notes.
color	BLACK	Чёрный	черные,чёрные,черный,чёрный,black	1	ACTIVE	
color	WHITE	Белый	белые,белый,white	2	ACTIVE	
color	GRAY	Серый	серые,серый,gray,grey	3	ACTIVE	
color	BEIGE	Бежевый	бежевые,бежевый,beige	4	ACTIVE	
color	BROWN	Коричневый	коричневые,коричневый,brown	5	ACTIVE	
color	RED	Красный	красные,красный,red	6	ACTIVE	
color	PINK	Розовый	розовые,розовый,pink	7	ACTIVE	
color	ORANGE	Оранжевый	оранжевые,оранжевый,orange	8	ACTIVE	
