alias_ru	normalized_attribute	normalized_value	route_action	target_route	confidence	priority	notes
ремень	accessory_type	BELT	ROUTE_IN	FASH.ACCESSORIES	0.95	90	
кожаный ремень	accessory_type	BELT	ROUTE_IN	FASH.ACCESSORIES	0.95	90	
пояс для брюк	accessory_type	BELT	ROUTE_IN	FASH.ACCESSORIES	0.95	90	
ремешок для брюк	accessory_type	BELT	ROUTE_IN	FASH.ACCESSORIES	0.95	90	
ремень мужской	accessory_type	BELT	ROUTE_IN	FASH.ACCESSORIES	0.95	90	
ремень женский	accessory_type	BELT	ROUTE_IN	FASH.ACCESSORIES	0.95	90	
подтяжки	accessory_type	SUSPENDERS	ROUTE_IN	FASH.ACCESSORIES	0.95	90	
мужские подтяжки	accessory_type	SUSPENDERS	ROUTE_IN	FASH.ACCESSORIES	0.95	90	
детские подтяжки	accessory_type	SUSPENDERS	ROUTE_IN	FASH.ACCESSORIES	0.95	90	
шляпа	accessory_type	HAT	ROUTE_IN	FASH.ACCESSORIES	0.93	85	
федора	accessory_type	HAT	ROUTE_IN	FASH.ACCESSORIES	0.93	85	
широкополая шляпа	accessory_type	HAT	ROUTE_IN	FASH.ACCESSORIES	0.93	85	
кепка	accessory_type	CAP	ROUTE_IN	FASH.ACCESSORIES	0.93	85	
бейсболка	accessory_type	CAP	ROUTE_IN	FASH.ACCESSORIES	0.93	85	
snapback	accessory_type	CAP	ROUTE_IN	FASH.ACCESSORIES	0.93	85	
снэпбек	accessory_type	CAP	ROUTE_IN	FASH.ACCESSORIES	0.93	85	
шапка	accessory_type	BEANIE	ROUTE_IN	FASH.ACCESSORIES	0.93	85	
бини	accessory_type	BEANIE	ROUTE_IN	FASH.ACCESSORIES	0.93	85	
вязаная шапка	accessory_type	BEANIE	ROUTE_IN	FASH.ACCESSORIES	0.93	85	
берет	accessory_type	BERET	ROUTE_IN	FASH.ACCESSORIES	0.93	85	
балаклава	accessory_type	BALACLAVA	ROUTE_IN	FASH.ACCESSORIES	0.93	85	
панама	accessory_type	PANAMA_HAT	ROUTE_IN	FASH.ACCESSORIES	0.93	85	
bucket hat	accessory_type	PANAMA_HAT	ROUTE_IN	FASH.ACCESSORIES	0.93	85	
козырек	accessory_type	VISOR	ROUTE_IN	FASH.ACCESSORIES	0.93	85	
козырёк	accessory_type	VISOR	ROUTE_IN	FASH.ACCESSORIES	0.93	85	
бандана	accessory_type	BANDANA	ROUTE_IN	FASH.ACCESSORIES	0.93	85	
повязка на голову	accessory_type	HEADBAND_FASHION	ROUTE_IN	FASH.ACCESSORIES	0.93	85	
ободок на голову	accessory_type	HEADBAND_FASHION	ROUTE_IN	FASH.ACCESSORIES	0.93	85	
шарф	accessory_type	SCARF	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
теплый шарф	accessory_type	SCARF	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
кашемировый шарф	accessory_type	SCARF	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
платок	accessory_type	SHAWL	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
шейный платок	accessory_type	SHAWL	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
шелковый платок	accessory_type	SHAWL	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
шаль	accessory_type	SHAWL	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
снуд	accessory_type	SNOOD	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
бафф	accessory_type	SNOOD	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
палантин	accessory_type	STOLE	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
галстук	accessory_type	TIE	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
галстук мужской	accessory_type	TIE	ROUTE_IN	FASH.ACCESSORIES	0.94	85	
