attribute_code	ru_name	data_type	cardinality	requirement_level	applies_to	values_ref	unit	indexed	searchable	facetable	source_priority	notes
accessory_group	Группа аксессуара	enum	single	RECOMMENDED	ALL	ACCESSORY_GROUP		yes	yes	yes	derived_from_type	Высокоуровневая группа для UI и маршрутизации.
accessory_type	Тип аксессуара	enum	single	REQUIRED	ALL	ACCESSORY_TYPE		yes	yes	yes	seller_text>vision>alias	Главный тип; должен быть выбран до type-specific правил.
target_gender	Целевая аудитория по полу	enum	single	RECOMMENDED	ALL	TARGET_GENDER		yes	yes	yes	seller_text>catalog>vision	MEN/WOMEN/UNISEX/KIDS; не выводить только по цвету.
age_group	Возрастная группа	enum	single	RECOMMENDED	ALL	AGE_GROUP		yes	yes	yes	seller_text>size>vision	ADULT/KIDS/TODDLER/BABY и т.д.
brand	Бренд	text	single	RECOMMENDED	ALL			yes	yes	yes	seller_text>catalog	Brand-aware, но без обязательного model graph.
model_name_text	Модель / линейка текстом	text	single	OPTIONAL	WATCHES_NON_SMART,SUNGLASSES,JEWELRY,BELT,CAP			yes	yes	no	seller_text	Свободный текст: Ray-Ban Aviator, Casio G-Shock, Pandora Moments и т.п.
condition	Состояние	enum	single	REQUIRED	ALL	CONDITION		yes	yes	yes	seller_text	Единая шкала fashion resale.
color	Цвет	enum	multi	RECOMMENDED	ALL	COLOR		yes	yes	yes	seller_text>vision	Для multi-color допускается MULTICOLOR + основной цвет.
material_primary	Основной материал	enum	multi	RECOMMENDED	ALL	MATERIAL		yes	yes	yes	seller_text>catalog>vision	Не утверждать драгоценный металл/камень только по фото.
material_secondary	Дополнительный материал	enum	multi	OPTIONAL	ALL	MATERIAL		yes	yes	yes	seller_text>catalog	Подкладка/вставки/фурнитура и т.д.
pattern	Принт / узор	enum	single	OPTIONAL	HEADWEAR,NECKWEAR,HANDWEAR,TIE,BOW_TIE,SCARF,SHAWL	PATTERN		yes	yes	yes	seller_text>vision	Для платков, шарфов, галстуков, кепок.
season	Сезон	enum	multi	OPTIONAL	HEADWEAR,NECKWEAR,HANDWEAR,UMBRELLA	SEASON		yes	yes	yes	seller_text>material>vision	Зимний/летний/демисезон/всесезон.
size_label	Размер текстом	text	single	OPTIONAL	ALL			yes	yes	yes	seller_text	ONE SIZE, S/M, 17, 58 и т.п.; нормализация зависит от типа.
set_quantity	Количество в комплекте	integer	single	OPTIONAL	ALL		pcs	yes	yes	no	seller_text>vision	Для наборов украшений, заколок, резинок, перчаток и т.д.
included_items	Состав комплекта	text	multi	OPTIONAL	ALL			yes	yes	no	seller_text	Например: серьги + колье; ремень + пряжка.
belt_size_cm	Размер ремня	integer	single	CONDITIONAL	BELT		cm	yes	yes	yes	seller_text	Обычно длина от пряжки до среднего отверстия или размер производителя.
waist_size_cm	Обхват талии	integer	single	OPTIONAL	BELT,SUSPENDERS		cm	yes	yes	yes	seller_text	Если продавец указал посадочный диапазон.
