value_set	value_code	ru_label	ru_aliases	sort_order	description_ru
ACCESSORY_GROUP	BELTS	Ремни и подтяжки	ремни;пояса;подтяжки	1	
ACCESSORY_GROUP	HEADWEAR	Головные уборы	шапки;кепки;шляпы;панамы;береты	2	
ACCESSORY_GROUP	NECKWEAR	Шарфы, платки и галстуки	шарфы;платки;галстуки;бабочки	3	
ACCESSORY_GROUP	HANDWEAR	Перчатки и варежки	перчатки;варежки;митенки	4	
ACCESSORY_GROUP	EYEWEAR	Очки и оправы	солнцезащитные очки;оправы	5	
ACCESSORY_GROUP	JEWELRY	Украшения	кольца;серьги;цепочки;браслеты;броши	6	
ACCESSORY_GROUP	WATCHES	Часы и ремешки для обычных часов	наручные часы;ремешки для часов	7	
ACCESSORY_GROUP	HAIR_ACCESSORIES	Аксессуары для волос	заколки;резинки;ободки	8	
ACCESSORY_GROUP	UMBRELLAS	Зонты	зонт;зонтик	9	
ACCESSORY_GROUP	OTHER_ACCESSORIES	Прочие fashion accessories	брелки;прочее	10	
ACCESSORY_TYPE	BELT	Ремень	ремень;пояс;ремешок для брюк	1	
ACCESSORY_TYPE	SUSPENDERS	Подтяжки	подтяжки	2	
ACCESSORY_TYPE	HAT	Шляпа	шляпа;федора;котелок	3	
ACCESSORY_TYPE	CAP	Кепка / бейсболка	кепка;бейсболка;snapback;dad cap	4	
ACCESSORY_TYPE	BEANIE	Шапка	шапка;бини;вязаная шапка	5	
ACCESSORY_TYPE	BERET	Берет	берет	6	
ACCESSORY_TYPE	BALACLAVA	Балаклава	балаклава;подшлемник fashion	7	
ACCESSORY_TYPE	PANAMA_HAT	Панама	панама;bucket hat	8	
ACCESSORY_TYPE	VISOR	Козырек	козырек;visor	9	
ACCESSORY_TYPE	BANDANA	Бандана	бандана	10	
ACCESSORY_TYPE	HEADBAND_FASHION	Повязка/ободок на голову	повязка;ободок;headband	11	
ACCESSORY_TYPE	SCARF	Шарф	шарф	12	
