phrase_ru	target_category	bag_type	attribute_code	attribute_value	confidence	action	notes_ru
рюкзак	FASH.BAGS	BACKPACK			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
городской рюкзак	FASH.BAGS	BACKPACK			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
мини рюкзак	FASH.BAGS	BACKPACK			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
рюкзак женский	FASH.BAGS	BACKPACK			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
школьный рюкзак	FASH.BAGS	SCHOOL_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
ранец	FASH.BAGS	SCHOOL_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
школьный ранец	FASH.BAGS	SCHOOL_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
портфель школьный	FASH.BAGS	SCHOOL_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
сумка	FASH.BAGS				0.70	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
женская сумка	FASH.BAGS	HANDBAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
сумочка	FASH.BAGS	HANDBAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
сумка с ручками	FASH.BAGS	HANDBAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
сумка на плечо	FASH.BAGS	SHOULDER_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
плечевая сумка	FASH.BAGS	SHOULDER_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
кроссбоди	FASH.BAGS	CROSSBODY_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
сумка кроссбоди	FASH.BAGS	CROSSBODY_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
сумка через плечо	FASH.BAGS	CROSSBODY_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
crossbody	FASH.BAGS	CROSSBODY_BAG			0.95	ROUTE_AND_EXTRACT	Положительный alias FASH.BAGS.
