attribute_code	value_code	label_ru	aliases_ru	sort_order	status	notes_ru
bag_type	BACKPACK	Рюкзак	рюкзак|рюкзачок|backpack|городской рюкзак	1	ACTIVE	
bag_type	SCHOOL_BAG	Школьный рюкзак / ранец	школьный рюкзак|ранец|школьный ранец|портфель школьный	2	ACTIVE	
bag_type	HANDBAG	Сумка в руку	женская сумка|сумочка|handbag|сумка с ручками	3	ACTIVE	
bag_type	SHOULDER_BAG	Сумка на плечо	сумка на плечо|shoulder bag|плечевая сумка	4	ACTIVE	
bag_type	CROSSBODY_BAG	Сумка кроссбоди	кроссбоди|crossbody|сумка через плечо|через плечо	5	ACTIVE	
bag_type	TOTE	Тоут	тоут|tote|tote bag|сумка тоут	6	ACTIVE	
bag_type	SHOPPER_BAG	Шоппер	шоппер|shopper|сумка-шоппер|shopping bag	7	ACTIVE	
bag_type	CLUTCH	Клатч	клатч|вечерний клатч|clutch	8	ACTIVE	
bag_type	WAIST_BAG	Поясная сумка	поясная сумка|бананка|сумка на пояс|waist bag|belt bag	9	ACTIVE	
bag_type	LAPTOP_BAG	Сумка для ноутбука	сумка для ноутбука|ноутбучная сумка|laptop bag	10	ACTIVE	
bag_type	LAPTOP_SLEEVE	Чехол / sleeve для ноутбука	чехол для ноутбука|laptop sleeve|слив для ноутбука|папка для ноутбука	11	ACTIVE	
bag_type	TRAVEL_BAG	Дорожная сумка	дорожная сумка|сумка дорожная|travel bag	12	ACTIVE	
bag_type	DUFFEL_BAG	Спортивная / duffel сумка	спортивная сумка|duffel|duffle|баул	13	ACTIVE	
bag_type	SUITCASE	Чемодан	чемодан|ручная кладь|чемодан на колесах|luggage|suitcase	14	ACTIVE	
bag_type	BRIEFCASE	Портфель / дипломат	портфель|дипломат|briefcase|деловой портфель	15	ACTIVE	
bag_type	DOCUMENT_BAG	Папка / сумка для документов	папка для документов|сумка для документов|document bag|A4 папка	16	ACTIVE	
bag_type	WALLET	Кошелёк / портмоне	кошелек|кошелёк|портмоне|бумажник|wallet	17	ACTIVE	
bag_type	CARDHOLDER	Кардхолдер / визитница	кардхолдер|визитница|держатель карт|cardholder	18	ACTIVE	
bag_type	COSMETIC_BAG	Косметичка / несессер	косметичка|несессер|beauty case|cosmetic bag	19	ACTIVE	
bag_type	DIAPER_BAG	Сумка для мамы / подгузников	сумка для мамы|сумка для коляски|diaper bag|сумка для подгузников	20	ACTIVE	
bag_type	BEACH_BAG	Пляжная сумка	пляжная сумка|beach bag|соломенная сумка	21	ACTIVE	
bag_type	DRAWSTRING_BAG	Мешок / gym sack	мешок для обуви|мешок-рюкзак|gym sack|drawstring bag	22	ACTIVE	
target_gender	MEN	Мужчины	мужской|для мужчин|men|male	1	ACTIVE	
target_gender	WOMEN	Женщины	женский|для женщин|women|female	2	ACTIVE	
target_gender	BOYS	Мальчики	для мальчика|мальчику|boys	3	ACTIVE	
target_gender	GIRLS	Девочки	для девочки|девочке|girls	4	ACTIVE	
target_gender	KIDS	Дети	детский|для детей|kids	5	ACTIVE	
target_gender	UNISEX	Унисекс	унисекс|unisex	6	ACTIVE	
age_group	ADULT	Взрослые	взрослый|adult	1	ACTIVE	
age_group	TEEN	Подростки	подростковый|тинейджер|teen	2	ACTIVE	
age_group	KIDS	Дети	детский|школьный|kids	3	ACTIVE	
age_group	TODDLER	Малыши	для малыша|дошкольный|toddler	4	ACTIVE	
age_group	BABY	Младенцы	для новорожденного|baby	5	ACTIVE	
condition	NEW_WITH_TAGS	Новый с бирками	новый с бирками|с этикеткой|new with tags	1	ACTIVE	
condition	NEW_WITHOUT_TAGS	Новый без бирок	новый без бирок|без этикетки|new without tags	2	ACTIVE	
condition	LIKE_NEW	Как новый	как новый|идеальное состояние|like new	3	ACTIVE	
condition	EXCELLENT	Отличное состояние	отличное|excellent	4	ACTIVE	
condition	GOOD	Хорошее состояние	хорошее|good	5	ACTIVE	
condition	FAIR	Удовлетворительное состояние	б/у|есть следы|fair	6	ACTIVE	
condition	FOR_REPAIR	Требует ремонта	на ремонт|сломана молния|for repair	7	ACTIVE	
authenticity_state	NOT_CLAIMED	Оригинальность не заявлена	не указано|без заявления	1	ACTIVE	
authenticity_state	ORIGINAL_CLAIMED	Заявлен оригинал	оригинал|original	2	ACTIVE	
authenticity_state	ORIGINAL_WITH_DOCS	Оригинал с документами	чек|сертификат|карта подлинности	3	ACTIVE	
authenticity_state	AUTHENTICITY_UNCERTAIN	Подлинность не подтверждена	подлинность не подтверждена|сомнительно	4	ACTIVE	
color_primary	BLACK	Чёрный	черный|чёрный|black	1	ACTIVE	
color_primary	WHITE	Белый	белый|white	2	ACTIVE	
color_primary	GRAY	Серый	серый|gray|grey	3	ACTIVE	
color_primary	BEIGE	Бежевый	бежевый|нюд|beige	4	ACTIVE	
color_primary	BROWN	Коричневый	коричневый|brown|camel	5	ACTIVE	
color_primary	RED	Красный	красный|red	6	ACTIVE	
color_primary	PINK	Розовый	розовый|pink	7	ACTIVE	
color_primary	ORANGE	Оранжевый	оранжевый|orange	8	ACTIVE	
color_primary	YELLOW	Жёлтый	желтый|жёлтый|yellow	9	ACTIVE	
color_primary	GREEN	Зелёный	зеленый|зелёный|green	10	ACTIVE	
color_primary	BLUE	Синий	синий|blue	11	ACTIVE	
color_primary	NAVY	Тёмно-синий	темно-синий|тёмно-синий|navy	12	ACTIVE	
color_primary	PURPLE	Фиолетовый	фиолетовый|purple	13	ACTIVE	
color_primary	GOLD	Золотой	золотой|gold	14	ACTIVE	
color_primary	SILVER	Серебристый	серебристый|silver	15	ACTIVE	
color_primary	BURGUNDY	Бордовый	бордовый|burgundy	16	ACTIVE	
color_primary	MULTICOLOR	Многоцветный	мультиколор|разноцветный|multicolor	17	ACTIVE	
color_primary	TRANSPARENT	Прозрачный	прозрачный|transparent	18	ACTIVE	
color_secondary	BLACK	Чёрный	черный|чёрный|black	1	ACTIVE	
color_secondary	WHITE	Белый	белый|white	2	ACTIVE	
color_secondary	GRAY	Серый	серый|gray|grey	3	ACTIVE	
color_secondary	BEIGE	Бежевый	бежевый|нюд|beige	4	ACTIVE	
color_secondary	BROWN	Коричневый	коричневый|brown|camel	5	ACTIVE	
color_secondary	RED	Красный	красный|red	6	ACTIVE	
color_secondary	PINK	Розовый	розовый|pink	7	ACTIVE	
color_secondary	ORANGE	Оранжевый	оранжевый|orange	8	ACTIVE	
