alias	locale	target_type	target_code	confidence	notes
детская одежда	ru-RU	category	FASH.KIDS	0.98	generic
одежда для детей	ru-RU	category	FASH.KIDS	0.98	generic
одежда ребенку	ru-RU	category	FASH.KIDS	0.92	generic
детская футболка	ru-RU	apparel_type	TSHIRT	0.96	kids top
футболка детская	ru-RU	apparel_type	TSHIRT	0.96	kids top
футболка для мальчика	ru-RU	apparel_type	TSHIRT	0.94	boys
футболка для девочки	ru-RU	apparel_type	TSHIRT	0.94	girls
детский лонгслив	ru-RU	apparel_type	LONGSLEEVE	0.95	top
детская рубашка	ru-RU	apparel_type	SHIRT	0.94	top
детское худи	ru-RU	apparel_type	HOODIE	0.96	top
толстовка детская	ru-RU	apparel_type	SWEATSHIRT	0.95	top
детский свитер	ru-RU	apparel_type	SWEATER	0.94	top
детские джинсы	ru-RU	apparel_type	JEANS	0.96	bottom
джинсы для мальчика	ru-RU	apparel_type	JEANS	0.94	boys
джинсы для девочки	ru-RU	apparel_type	JEANS	0.94	girls
детские брюки	ru-RU	apparel_type	TROUSERS	0.96	bottom
детские шорты	ru-RU	apparel_type	SHORTS	0.95	bottom
детская юбка	ru-RU	apparel_type	SKIRT	0.95	girls bottom
платье для девочки	ru-RU	apparel_type	DRESS	0.98	girls dress
детское платье	ru-RU	apparel_type	DRESS	0.96	dress
детская куртка	ru-RU	apparel_type	JACKET	0.97	outerwear
куртка для мальчика	ru-RU	apparel_type	JACKET	0.95	boys outerwear
куртка для девочки	ru-RU	apparel_type	JACKET	0.95	girls outerwear
детский пуховик	ru-RU	apparel_type	DOWN_JACKET	0.97	outerwear
детское пальто	ru-RU	apparel_type	COAT	0.95	outerwear
детский дождевик	ru-RU	apparel_type	RAINCOAT	0.94	outerwear
детский спортивный костюм	ru-RU	apparel_type	TRACKSUIT	0.97	set
школьная форма	ru-RU	apparel_type	SCHOOL_UNIFORM	0.96	school
детское белье	ru-RU	apparel_type	UNDERWEAR	0.94	underwear
детские носки	ru-RU	apparel_type	SOCKS	0.96	underwear
детская пижама	ru-RU	apparel_type	PAJAMAS	0.96	sleep
боди для малыша	ru-RU	apparel_type	BODYSUIT	0.96	baby
слип для малыша	ru-RU	apparel_type	ROMPER	0.94	baby
комбинезон детский	ru-RU	apparel_type	OVERALLS	0.94	one-piece
детский купальник	ru-RU	apparel_type	SWIMWEAR	0.93	swim
костюм на утренник	ru-RU	apparel_type	COSTUME	0.90	special
рост 50	ru-RU	dictionary_value	height_cm:50	0.88	height size
рост 56	ru-RU	dictionary_value	height_cm:56	0.88	height size
рост 62	ru-RU	dictionary_value	height_cm:62	0.88	height size
рост 68	ru-RU	dictionary_value	height_cm:68	0.88	height size
рост 74	ru-RU	dictionary_value	height_cm:74	0.88	height size
рост 80	ru-RU	dictionary_value	height_cm:80	0.88	height size
рост 86	ru-RU	dictionary_value	height_cm:86	0.88	height size
рост 92	ru-RU	dictionary_value	height_cm:92	0.88	height size
рост 98	ru-RU	dictionary_value	height_cm:98	0.88	height size
рост 104	ru-RU	dictionary_value	height_cm:104	0.88	height size
рост 110	ru-RU	dictionary_value	height_cm:110	0.88	height size
рост 116	ru-RU	dictionary_value	height_cm:116	0.88	height size
рост 122	ru-RU	dictionary_value	height_cm:122	0.88	height size
рост 128	ru-RU	dictionary_value	height_cm:128	0.88	height size
рост 134	ru-RU	dictionary_value	height_cm:134	0.88	height size
рост 140	ru-RU	dictionary_value	height_cm:140	0.88	height size
рост 146	ru-RU	dictionary_value	height_cm:146	0.88	height size
рост 152	ru-RU	dictionary_value	height_cm:152	0.88	height size
рост 158	ru-RU	dictionary_value	height_cm:158	0.88	height size
рост 164	ru-RU	dictionary_value	height_cm:164	0.88	height size
рост 170	ru-RU	dictionary_value	height_cm:170	0.88	height size
на 2 лет	ru-RU	dictionary_value	age_label:2Y	0.86	age hint
на 3 лет	ru-RU	dictionary_value	age_label:3Y	0.86	age hint
на 4 лет	ru-RU	dictionary_value	age_label:4Y	0.86	age hint
на 5 лет	ru-RU	dictionary_value	age_label:5Y	0.86	age hint
на 6 лет	ru-RU	dictionary_value	age_label:6Y	0.86	age hint
на 7 лет	ru-RU	dictionary_value	age_label:7Y	0.86	age hint
на 8 лет	ru-RU	dictionary_value	age_label:8Y	0.86	age hint
на 9 лет	ru-RU	dictionary_value	age_label:9Y	0.86	age hint
на 10 лет	ru-RU	dictionary_value	age_label:10Y	0.86	age hint
на 11 лет	ru-RU	dictionary_value	age_label:11Y	0.86	age hint
на 12 лет	ru-RU	dictionary_value	age_label:12Y	0.86	age hint
на 13 лет	ru-RU	dictionary_value	age_label:13Y	0.86	age hint
на 14 лет	ru-RU	dictionary_value	age_label:14Y	0.86	age hint
на 15 лет	ru-RU	dictionary_value	age_label:15Y	0.86	age hint
на 16 лет	ru-RU	dictionary_value	age_label:16Y	0.86	age hint
детские кроссовки	ru-RU	route_guard	FASH.SHOES	0.96	negative guard
кроссовки для мальчика	ru-RU	route_guard	FASH.SHOES	0.96	negative guard
сапоги детские	ru-RU	route_guard	FASH.SHOES	0.96	negative guard
детский рюкзак	ru-RU	route_guard	FASH.BAGS	0.96	negative guard
портфель школьный	ru-RU	route_guard	FASH.BAGS	0.96	negative guard
детская сумка	ru-RU	route_guard	FASH.BAGS	0.96	negative guard
детская коляска	ru-RU	route_guard	KIDS.STROLLERS_CARSEATS	0.96	negative guard
детское автокресло	ru-RU	route_guard	KIDS.STROLLERS_CARSEATS	0.96	negative guard
подгузники	ru-RU	route_guard	KIDS.BABY_GEAR	0.96	negative guard
бутылочка для кормления	ru-RU	route_guard	KIDS.BABY_GEAR	0.96	negative guard
игрушка детская	ru-RU	route_guard	KIDS.TOYS_GAMES	0.96	negative guard
детские часы	ru-RU	route_guard	FASH.ACCESSORIES	0.96	negative guard
