query	expected_route	kind	notes
детская футболка рост 128	FASH.KIDS	positive	kids top + height
футболка для мальчика 10 лет	FASH.KIDS	positive	boys
платье для девочки 6 лет	FASH.KIDS	positive	girls dress
детские джинсы рост 140	FASH.KIDS	positive	jeans
куртка для мальчика зимняя	FASH.KIDS	positive	outerwear
детский пуховик 122	FASH.KIDS	positive	down jacket
школьная форма для девочки	FASH.KIDS	positive	school
детская пижама хлопок	FASH.KIDS	positive	sleepwear
боди для малыша 68	FASH.KIDS	positive	baby bodysuit
спортивный костюм детский	FASH.KIDS	positive	tracksuit
детские носки новые	FASH.KIDS	positive	socks
лонгслив для девочки 8 лет	FASH.KIDS	positive	longsleeve
шорты детские летние	FASH.KIDS	positive	shorts
детский дождевик	FASH.KIDS	positive	raincoat
комбинезон детский зимний	FASH.KIDS	positive	overalls
детское термобелье	FASH.KIDS	positive	thermal
детские кроссовки	FASH.SHOES	negative	shoe guard
кроссовки для мальчика	FASH.SHOES	negative	shoe guard
детский рюкзак	FASH.BAGS	negative	bag guard
школьный портфель	FASH.BAGS	negative	bag guard
детские часы	FASH.ACCESSORIES	negative	accessory guard
детская коляска	KIDS.STROLLERS_CARSEATS	negative	stroller guard
детское автокресло	KIDS.STROLLERS_CARSEATS	negative	car seat guard
подгузники для малыша	KIDS.BABY_GEAR	negative	baby gear
детская бутылочка	KIDS.BABY_GEAR	negative	baby gear
игрушка для девочки	KIDS.TOYS_GAMES	negative	toy guard
мужская футболка	FASH.MEN	negative	men guard
женское платье	FASH.WOMEN	negative	women guard
детская футболка	FASH.KIDS	positive	type TSHIRT
детский лонгслив	FASH.KIDS	positive	type LONGSLEEVE
детское худи	FASH.KIDS	positive	type HOODIE
детская толстовка	FASH.KIDS	positive	type SWEATSHIRT
детский свитер	FASH.KIDS	positive	type SWEATER
детские джинсы	FASH.KIDS	positive	type JEANS
детские брюки	FASH.KIDS	positive	type TROUSERS
детская куртка	FASH.KIDS	positive	type JACKET
детский пуховик	FASH.KIDS	positive	type DOWN_JACKET
детское пальто	FASH.KIDS	positive	type COAT
детское платье	FASH.KIDS	positive	type DRESS
детская юбка	FASH.KIDS	positive	type SKIRT
детские шорты	FASH.KIDS	positive	type SHORTS
детская рубашка	FASH.KIDS	positive	type SHIRT
детское поло	FASH.KIDS	positive	type POLO
детские леггинсы	FASH.KIDS	positive	type LEGGINGS
детский спортивный костюм	FASH.KIDS	positive	type TRACKSUIT
детская спортивная одежда	FASH.KIDS	positive	type SPORTSWEAR
детское белье	FASH.KIDS	positive	type UNDERWEAR
детские носки	FASH.KIDS	positive	type SOCKS
детская пижама	FASH.KIDS	positive	type PAJAMAS
детская домашняя одежда	FASH.KIDS	positive	type HOMEWEAR
детский жилет	FASH.KIDS	positive	type VEST
детский купальник	FASH.KIDS	positive	type SWIMWEAR
детская блузка	FASH.KIDS	positive	type BLOUSE
детский кардиган	FASH.KIDS	positive	type CARDIGAN
детский ромпер	FASH.KIDS	positive	type ROMPER
детский комбинезон	FASH.KIDS	positive	type JUMPSUIT
детский полукомбинезон	FASH.KIDS	positive	type OVERALLS
детское боди	FASH.KIDS	positive	type BODYSUIT
детский комплект шапка шарф	FASH.KIDS	positive	type HAT_SCARF_SET
школьная форма	FASH.KIDS	positive	type SCHOOL_UNIFORM
детский костюм	FASH.KIDS	positive	type COSTUME
нарядная одежда детская	FASH.KIDS	positive	type FORMALWEAR
комплект для малыша	FASH.KIDS	positive	type BABY_SET
