dictionary_code	value_code	title_ru	usage_scope	notes
target_gender	BOYS	Мальчики	USER_VISIBLE_OPTIONAL	primary_when_explicit
target_gender	GIRLS	Девочки	USER_VISIBLE_OPTIONAL	primary_when_explicit
target_gender	KIDS	Детям	USER_VISIBLE_REQUIRED	default
target_gender	UNISEX	Унисекс	USER_VISIBLE_OPTIONAL	fallback
age_group	NEWBORN	Новорождённые	USER_VISIBLE_OPTIONAL	0-3m
age_group	BABY	Малыши	USER_VISIBLE_OPTIONAL	3-24m
age_group	TODDLER	Дошкольники	USER_VISIBLE_OPTIONAL	2-5y
age_group	KIDS	Дети	USER_VISIBLE_REQUIRED	6-12y
age_group	TEEN	Подростки	USER_VISIBLE_OPTIONAL	13-16y
school_use	SCHOOL	Школа	SECONDARY_FACET	schoolwear
school_use	PE	Физкультура	SECONDARY_FACET	sportswear
safety_feature	REFLECTIVE	Светоотражающие элементы	SECONDARY_FACET	outerwear
safety_feature	NAME_LABEL	Место для подписи имени	MATCHING_ONLY	school/kids
fastening	SNAPS	Кнопки	USER_VISIBLE_OPTIONAL	baby/toddler
fastening	ZIPPER	Молния	USER_VISIBLE_OPTIONAL	outerwear
fastening	ELASTIC_WAIST	Резинка	USER_VISIBLE_OPTIONAL	bottoms
season	WINTER	Зима	PRIMARY_FACET	outerwear
season	DEMI	Демисезон	PRIMARY_FACET	outerwear
season	SUMMER	Лето	PRIMARY_FACET	summer
apparel_type	TSHIRT	Tshirt	USER_VISIBLE_REQUIRED	allowed_for_fash_kids
apparel_type	LONGSLEEVE	Longsleeve	USER_VISIBLE_REQUIRED	allowed_for_fash_kids
apparel_type	HOODIE	Hoodie	USER_VISIBLE_REQUIRED	allowed_for_fash_kids
apparel_type	SWEATSHIRT	Sweatshirt	USER_VISIBLE_REQUIRED	allowed_for_fash_kids
apparel_type	SWEATER	Sweater	USER_VISIBLE_REQUIRED	allowed_for_fash_kids
apparel_type	JEANS	Jeans	USER_VISIBLE_REQUIRED	allowed_for_fash_kids
apparel_type	TROUSERS	Trousers	USER_VISIBLE_REQUIRED	allowed_for_fash_kids
apparel_type	JACKET	Jacket	USER_VISIBLE_REQUIRED	allowed_for_fash_kids
apparel_type	DOWN_JACKET	Down Jacket	USER_VISIBLE_REQUIRED	allowed_for_fash_kids
apparel_type	COAT	Coat	USER_VISIBLE_REQUIRED	allowed_for_fash_kids
apparel_type	DRESS	Dress	USER_VISIBLE_REQUIRED	allowed_for_fash_kids
apparel_type	SKIRT	Skirt	USER_VISIBLE_REQUIRED	allowed_for_fash_kids
apparel_type	SHORTS	Shorts	USER_VISIBLE_REQUIRED	allowed_for_fash_kids
apparel_type	SHIRT	Shirt	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	POLO	Polo	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	LEGGINGS	Leggings	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	TRACKSUIT	Tracksuit	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	SPORTSWEAR	Sportswear	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	UNDERWEAR	Underwear	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	SOCKS	Socks	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	PAJAMAS	Pajamas	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	HOMEWEAR	Homewear	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	THERMAL_UNDERWEAR	Thermal Underwear	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	VEST	Vest	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	RAINCOAT	Raincoat	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	SWIMWEAR	Swimwear	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	BLOUSE	Blouse	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	CARDIGAN	Cardigan	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	ROMPER	Romper	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	JUMPSUIT	Jumpsuit	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	OVERALLS	Overalls	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	BODYSUIT	Bodysuit	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	HAT_SCARF_SET	Hat Scarf Set	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	SCHOOL_UNIFORM	School Uniform	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	COSTUME	Costume	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	FORMALWEAR	Formalwear	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	BABY_SET	Baby Set	USER_VISIBLE_OPTIONAL	allowed_for_fash_kids
apparel_type	SHOES	Shoes	BLOCKED_CROSS_ROUTE	not_apparel_or_sibling_route
apparel_type	SNEAKERS	Sneakers	BLOCKED_CROSS_ROUTE	not_apparel_or_sibling_route
apparel_type	BOOTS	Boots	BLOCKED_CROSS_ROUTE	not_apparel_or_sibling_route
apparel_type	SANDALS	Sandals	BLOCKED_CROSS_ROUTE	not_apparel_or_sibling_route
apparel_type	BAG	Bag	BLOCKED_CROSS_ROUTE	not_apparel_or_sibling_route
apparel_type	BACKPACK	Backpack	BLOCKED_CROSS_ROUTE	not_apparel_or_sibling_route
apparel_type	TOY	Toy	BLOCKED_CROSS_ROUTE	not_apparel_or_sibling_route
apparel_type	STROLLER	Stroller	BLOCKED_CROSS_ROUTE	not_apparel_or_sibling_route
apparel_type	CAR_SEAT	Car Seat	BLOCKED_CROSS_ROUTE	not_apparel_or_sibling_route
apparel_type	DIAPER	Diaper	BLOCKED_CROSS_ROUTE	not_apparel_or_sibling_route
apparel_type	FEEDING_BOTTLE	Feeding Bottle	BLOCKED_CROSS_ROUTE	not_apparel_or_sibling_route
apparel_type	WATCH	Watch	BLOCKED_CROSS_ROUTE	not_apparel_or_sibling_route
apparel_type	JEWELRY	Jewelry	BLOCKED_CROSS_ROUTE	not_apparel_or_sibling_route
apparel_type	BELT	Belt	BLOCKED_CROSS_ROUTE	not_apparel_or_sibling_route
apparel_type	WALLET	Wallet	BLOCKED_CROSS_ROUTE	not_apparel_or_sibling_route
