alias	locale	target_type	target_code	weight	route_intent	status	notes
футболка	ru-RU	apparel_type	TSHIRT	0.85	route_to_FASH.MEN	active	
футболка мужская	ru-RU	apparel_type	TSHIRT	0.98	route_to_FASH.MEN	active	
мужская футболка	ru-RU	apparel_type	TSHIRT	0.98	route_to_FASH.MEN	active	
мужские футболки	ru-RU	apparel_type	TSHIRT	0.98	route_to_FASH.MEN	active	
футба мужская	ru-RU	apparel_type	TSHIRT	0.98	route_to_FASH.MEN	active	
t shirt мужской	ru-RU	apparel_type	TSHIRT	0.98	route_to_FASH.MEN	active	
tshirt мужской	ru-RU	apparel_type	TSHIRT	0.98	route_to_FASH.MEN	active	
майка футболка мужская	ru-RU	apparel_type	TSHIRT	0.98	route_to_FASH.MEN	active	
лонгслив мужской	ru-RU	apparel_type	LONGSLEEVE	0.98	route_to_FASH.MEN	active	
мужской лонгслив	ru-RU	apparel_type	LONGSLEEVE	0.98	route_to_FASH.MEN	active	
футболка с длинным рукавом мужская	ru-RU	apparel_type	LONGSLEEVE	0.98	route_to_FASH.MEN	active	
long sleeve мужской	ru-RU	apparel_type	LONGSLEEVE	0.98	route_to_FASH.MEN	active	
рубашка мужская	ru-RU	apparel_type	SHIRT	0.98	route_to_FASH.MEN	active	
мужская рубашка	ru-RU	apparel_type	SHIRT	0.98	route_to_FASH.MEN	active	
сорочка мужская	ru-RU	apparel_type	SHIRT	0.98	route_to_FASH.MEN	active	
рубашка на мужчину	ru-RU	apparel_type	SHIRT	0.98	route_to_FASH.MEN	active	
shirt men	ru-RU	apparel_type	SHIRT	0.85	route_to_FASH.MEN	active	
поло мужское	ru-RU	apparel_type	POLO	0.98	route_to_FASH.MEN	active	
мужское поло	ru-RU	apparel_type	POLO	0.98	route_to_FASH.MEN	active	
футболка поло мужская	ru-RU	apparel_type	POLO	0.98	route_to_FASH.MEN	active	
polo men	ru-RU	apparel_type	POLO	0.85	route_to_FASH.MEN	active	
водолазка мужская	ru-RU	apparel_type	TURTLENECK	0.98	route_to_FASH.MEN	active	
мужская водолазка	ru-RU	apparel_type	TURTLENECK	0.98	route_to_FASH.MEN	active	
гольф мужской	ru-RU	apparel_type	TURTLENECK	0.98	route_to_FASH.MEN	active	
худи мужское	ru-RU	apparel_type	HOODIE	0.98	route_to_FASH.MEN	active	
мужское худи	ru-RU	apparel_type	HOODIE	0.98	route_to_FASH.MEN	active	
толстовка с капюшоном мужская	ru-RU	apparel_type	HOODIE	0.98	route_to_FASH.MEN	active	
hoodie men	ru-RU	apparel_type	HOODIE	0.85	route_to_FASH.MEN	active	
свитшот мужской	ru-RU	apparel_type	SWEATSHIRT	0.98	route_to_FASH.MEN	active	
мужской свитшот	ru-RU	apparel_type	SWEATSHIRT	0.98	route_to_FASH.MEN	active	
толстовка мужская без капюшона	ru-RU	apparel_type	SWEATSHIRT	0.98	route_to_FASH.MEN	active	
свитер мужской	ru-RU	apparel_type	SWEATER	0.98	route_to_FASH.MEN	active	
мужской свитер	ru-RU	apparel_type	SWEATER	0.98	route_to_FASH.MEN	active	
джемпер мужской	ru-RU	apparel_type	SWEATER	0.98	route_to_FASH.MEN	active	
пуловер мужской	ru-RU	apparel_type	SWEATER	0.98	route_to_FASH.MEN	active	
кардиган мужской	ru-RU	apparel_type	CARDIGAN	0.98	route_to_FASH.MEN	active	
мужской кардиган	ru-RU	apparel_type	CARDIGAN	0.98	route_to_FASH.MEN	active	
кофта мужская на пуговицах	ru-RU	apparel_type	CARDIGAN	0.98	route_to_FASH.MEN	active	
джинсы мужские	ru-RU	apparel_type	JEANS	0.98	route_to_FASH.MEN	active	
мужские джинсы	ru-RU	apparel_type	JEANS	0.98	route_to_FASH.MEN	active	
джинсы на мужчину	ru-RU	apparel_type	JEANS	0.98	route_to_FASH.MEN	active	
джинсы мужские w32	ru-RU	apparel_type	JEANS	0.98	route_to_FASH.MEN	active	
men jeans	ru-RU	apparel_type	JEANS	0.85	route_to_FASH.MEN	active	
брюки мужские	ru-RU	apparel_type	TROUSERS	0.98	route_to_FASH.MEN	active	
мужские брюки	ru-RU	apparel_type	TROUSERS	0.98	route_to_FASH.MEN	active	
штаны мужские	ru-RU	apparel_type	TROUSERS	0.98	route_to_FASH.MEN	active	
