dictionary_code	value_code	override_type	priority	visibility	reason
apparel_type	DRESS	ALLOW	HIGH	T1_VISIBLE_PRIMARY	Core women apparel type
apparel_type	BLOUSE	ALLOW	HIGH	T1_VISIBLE_PRIMARY	Core women apparel type
apparel_type	TOP	ALLOW	HIGH	T1_VISIBLE_PRIMARY	Core women apparel type
apparel_type	TSHIRT	ALLOW	HIGH	T1_VISIBLE_PRIMARY	Core women apparel type
apparel_type	SHIRT	ALLOW	HIGH	T1_VISIBLE_PRIMARY	Core women apparel type
apparel_type	SKIRT	ALLOW	HIGH	T1_VISIBLE_PRIMARY	Core women apparel type
apparel_type	JEANS	ALLOW	HIGH	T1_VISIBLE_PRIMARY	Core women apparel type
apparel_type	TROUSERS	ALLOW	HIGH	T1_VISIBLE_PRIMARY	Core women apparel type
apparel_type	LEGGINGS	ALLOW	HIGH	T1_VISIBLE_PRIMARY	Core women apparel type
apparel_type	JACKET	ALLOW	HIGH	T1_VISIBLE_PRIMARY	Core women apparel type
apparel_type	COAT	ALLOW	HIGH	T1_VISIBLE_PRIMARY	Core women apparel type
apparel_type	DOWN_JACKET	ALLOW	HIGH	T1_VISIBLE_PRIMARY	Core women apparel type
apparel_type	CARDIGAN	ALLOW	HIGH	T1_VISIBLE_PRIMARY	Core women apparel type
apparel_type	SWEATER	ALLOW	HIGH	T1_VISIBLE_PRIMARY	Core women apparel type
apparel_type	HOODIE	ALLOW	HIGH	T1_VISIBLE_PRIMARY	Core women apparel type
apparel_type	JUMPSUIT	ALLOW	HIGH	T1_VISIBLE_PRIMARY	Core women apparel type
apparel_type	LONGSLEEVE	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	TANK_TOP	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	POLO	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	SWEATSHIRT	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	SHORTS	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	SUIT	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	BLAZER	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	TRACKSUIT	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	UNDERWEAR	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	BRA	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	TIGHTS	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	SOCKS	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	VEST	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	CHINOS	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	CARGO_PANTS	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	BOMBER	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	DENIM_JACKET	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	LEATHER_JACKET	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	WINDBREAKER	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
apparel_type	PARKA	ALLOW	MEDIUM	T1_VISIBLE_SECONDARY	Supported women apparel type
