alias	brand_code	locale	match_type	casefold	diacritics_fold	priority	notes
sennheiser	SENNHEISER	ru	brand_alias	true	true	100	audio brand delta alias
сенхайзер	SENNHEISER	ru	brand_alias	true	true	99	audio brand delta alias
зенхайзер	SENNHEISER	ru	brand_alias	true	true	98	audio brand delta alias
senheiser	SENNHEISER	ru	brand_alias	true	true	97	audio brand delta alias
sennhiser	SENNHEISER	ru	brand_alias	true	true	96	audio brand delta alias
sennheisser	SENNHEISER	ru	brand_alias	true	true	95	audio brand delta alias
audio-technica	AUDIO_TECHNICA	ru	brand_alias	true	true	100	audio brand delta alias
audio technica	AUDIO_TECHNICA	ru	brand_alias	true	true	99	audio brand delta alias
аудиотехника	AUDIO_TECHNICA	ru	brand_alias	true	true	98	audio brand delta alias
аудио техника	AUDIO_TECHNICA	ru	brand_alias	true	true	97	audio brand delta alias
audio tecnica	AUDIO_TECHNICA	ru	brand_alias	true	true	96	audio brand delta alias
at headphones	AUDIO_TECHNICA	ru	brand_alias	true	true	95	audio brand delta alias
shure	SHURE	ru	brand_alias	true	true	100	audio brand delta alias
шур	SHURE	ru	brand_alias	true	true	99	audio brand delta alias
шуре	SHURE	ru	brand_alias	true	true	98	audio brand delta alias
шурэ	SHURE	ru	brand_alias	true	true	97	audio brand delta alias
sm7b shure	SHURE	ru	brand_alias	true	true	96	audio brand delta alias
shure sm	SHURE	ru	brand_alias	true	true	95	audio brand delta alias
rode	RODE	ru	brand_alias	true	true	100	audio brand delta alias
røde	RODE	ru	brand_alias	true	true	99	audio brand delta alias
род	RODE	ru	brand_alias	true	true	98	audio brand delta alias
роуд	RODE	ru	brand_alias	true	true	97	audio brand delta alias
rode mic	RODE	ru	brand_alias	true	true	96	audio brand delta alias
rode microphone	RODE	ru	brand_alias	true	true	95	audio brand delta alias
marshall	MARSHALL	ru	brand_alias	true	true	100	audio brand delta alias
маршал	MARSHALL	ru	brand_alias	true	true	99	audio brand delta alias
маршалл	MARSHALL	ru	brand_alias	true	true	98	audio brand delta alias
marshall speaker	MARSHALL	ru	brand_alias	true	true	97	audio brand delta alias
marshall headphones	MARSHALL	ru	brand_alias	true	true	96	audio brand delta alias
yamaha	YAMAHA	ru	brand_alias	true	true	100	audio brand delta alias
ямаха	YAMAHA	ru	brand_alias	true	true	99	audio brand delta alias
yamaha audio	YAMAHA	ru	brand_alias	true	true	98	audio brand delta alias
yamaha receiver	YAMAHA	ru	brand_alias	true	true	97	audio brand delta alias
yamaha studio	YAMAHA	ru	brand_alias	true	true	96	audio brand delta alias
soundcore	ANKER_SOUNDCORE	ru	brand_alias	true	true	100	audio brand delta alias
anker soundcore	ANKER_SOUNDCORE	ru	brand_alias	true	true	99	audio brand delta alias
саундкор	ANKER_SOUNDCORE	ru	brand_alias	true	true	98	audio brand delta alias
анкер саундкор	ANKER_SOUNDCORE	ru	brand_alias	true	true	97	audio brand delta alias
sound core	ANKER_SOUNDCORE	ru	brand_alias	true	true	96	audio brand delta alias
anker audio	ANKER_SOUNDCORE	ru	brand_alias	true	true	95	audio brand delta alias
focusrite	FOCUSRITE	ru	brand_alias	true	true	100	audio brand delta alias
фокусрайт	FOCUSRITE	ru	brand_alias	true	true	99	audio brand delta alias
фокус рит	FOCUSRITE	ru	brand_alias	true	true	98	audio brand delta alias
scarlett	FOCUSRITE	ru	brand_alias	true	true	97	audio brand delta alias
focusrite scarlett	FOCUSRITE	ru	brand_alias	true	true	96	audio brand delta alias
fiio	FIIO	ru	brand_alias	true	true	100	audio brand delta alias
фио	FIIO	ru	brand_alias	true	true	99	audio brand delta alias
фиио	FIIO	ru	brand_alias	true	true	98	audio brand delta alias
fii o	FIIO	ru	brand_alias	true	true	97	audio brand delta alias
fiio dac	FIIO	ru	brand_alias	true	true	96	audio brand delta alias
denon	DENON	ru	brand_alias	true	true	100	audio brand delta alias
денон	DENON	ru	brand_alias	true	true	99	audio brand delta alias
denon receiver	DENON	ru	brand_alias	true	true	98	audio brand delta alias
denon avr	DENON	ru	brand_alias	true	true	97	audio brand delta alias
marantz	MARANTZ	ru	brand_alias	true	true	100	audio brand delta alias
маранц	MARANTZ	ru	brand_alias	true	true	99	audio brand delta alias
марантз	MARANTZ	ru	brand_alias	true	true	98	audio brand delta alias
marantz receiver	MARANTZ	ru	brand_alias	true	true	97	audio brand delta alias
marantz amp	MARANTZ	ru	brand_alias	true	true	96	audio brand delta alias
behringer	BEHRINGER	ru	brand_alias	true	true	100	audio brand delta alias
берингер	BEHRINGER	ru	brand_alias	true	true	99	audio brand delta alias
беринджер	BEHRINGER	ru	brand_alias	true	true	98	audio brand delta alias
behringer mixer	BEHRINGER	ru	brand_alias	true	true	97	audio brand delta alias
behringer audio	BEHRINGER	ru	brand_alias	true	true	96	audio brand delta alias
audient	AUDIENT	ru	brand_alias	true	true	100	audio brand delta alias
аудиент	AUDIENT	ru	brand_alias	true	true	99	audio brand delta alias
audient id	AUDIENT	ru	brand_alias	true	true	98	audio brand delta alias
audient interface	AUDIENT	ru	brand_alias	true	true	97	audio brand delta alias
technics	TECHNICS	ru	brand_alias	true	true	100	audio brand delta alias
техникс	TECHNICS	ru	brand_alias	true	true	99	audio brand delta alias
technic	TECHNICS	ru	brand_alias	true	true	98	audio brand delta alias
technics turntable	TECHNICS	ru	brand_alias	true	true	97	audio brand delta alias
technics sl	TECHNICS	ru	brand_alias	true	true	96	audio brand delta alias
pioneer dj	PIONEER_DJ	ru	brand_alias	true	true	100	audio brand delta alias
pioneer-dj	PIONEER_DJ	ru	brand_alias	true	true	99	audio brand delta alias
пионер dj	PIONEER_DJ	ru	brand_alias	true	true	98	audio brand delta alias
пионер диджей	PIONEER_DJ	ru	brand_alias	true	true	97	audio brand delta alias
pioneer controller	PIONEER_DJ	ru	brand_alias	true	true	96	audio brand delta alias
pioneer headphones	PIONEER_DJ	ru	brand_alias	true	true	95	audio brand delta alias
hyperx	HYPERX	ru	brand_alias	true	true	100	audio brand delta alias
hyper x	HYPERX	ru	brand_alias	true	true	99	audio brand delta alias
хайперикс	HYPERX	ru	brand_alias	true	true	98	audio brand delta alias
хайпер икс	HYPERX	ru	brand_alias	true	true	97	audio brand delta alias
hyperx headset	HYPERX	ru	brand_alias	true	true	96	audio brand delta alias
steelseries	STEELSERIES	ru	brand_alias	true	true	100	audio brand delta alias
steel series	STEELSERIES	ru	brand_alias	true	true	99	audio brand delta alias
стилсирис	STEELSERIES	ru	brand_alias	true	true	98	audio brand delta alias
стил сериес	STEELSERIES	ru	brand_alias	true	true	97	audio brand delta alias
steelseries headset	STEELSERIES	ru	brand_alias	true	true	96	audio brand delta alias
akg	AKG	ru	brand_alias	true	true	100	audio brand delta alias
акг	AKG	ru	brand_alias	true	true	99	audio brand delta alias
akg headphones	AKG	ru	brand_alias	true	true	98	audio brand delta alias
akg mic	AKG	ru	brand_alias	true	true	97	audio brand delta alias
beyerdynamic	BEYERDYNAMIC	ru	brand_alias	true	true	100	audio brand delta alias
beyer dynamic	BEYERDYNAMIC	ru	brand_alias	true	true	99	audio brand delta alias
баердинамик	BEYERDYNAMIC	ru	brand_alias	true	true	98	audio brand delta alias
бейердинамик	BEYERDYNAMIC	ru	brand_alias	true	true	97	audio brand delta alias
beyerdynamic dt	BEYERDYNAMIC	ru	brand_alias	true	true	96	audio brand delta alias
sonos	SONOS	ru	brand_alias	true	true	100	audio brand delta alias
сонос	SONOS	ru	brand_alias	true	true	99	audio brand delta alias
sonos speaker	SONOS	ru	brand_alias	true	true	98	audio brand delta alias
sonos soundbar	SONOS	ru	brand_alias	true	true	97	audio brand delta alias
jabra	JABRA	ru	brand_alias	true	true	100	audio brand delta alias
жабра	JABRA	ru	brand_alias	true	true	99	audio brand delta alias
jabra elite	JABRA	ru	brand_alias	true	true	98	audio brand delta alias
