brand_code	display_name	normalized_name	brand_role	priority_tier	category_scope	target_attribute	facet_head	search_head	runtime_candidate_fallback	notes
SENNHEISER	Sennheiser	sennheiser	premium_consumer_pro	TIER_1	TECH.AUDIO	brand	true	true	true	headphones, earbuds, microphones, pro audio
AUDIO_TECHNICA	Audio-Technica	audio technica	pro_consumer_audio	TIER_1	TECH.AUDIO	brand	true	true	true	headphones, turntables, microphones
SHURE	Shure	shure	pro_audio	TIER_1	TECH.AUDIO	brand	true	true	true	microphones, headphones, wireless systems
RODE	RØDE	rode	creator_audio	TIER_1	TECH.AUDIO	brand	true	true	true	microphones, creator audio
MARSHALL	Marshall	marshall	consumer_audio	TIER_1	TECH.AUDIO	brand	true	true	true	speakers, headphones
YAMAHA	Yamaha	yamaha	pro_home_audio	TIER_1	TECH.AUDIO	brand	true	true	true	receivers, speakers, studio, instruments adjacent
ANKER_SOUNDCORE	Soundcore	soundcore	consumer_audio_subbrand	TIER_1	TECH.AUDIO	brand	true	true	true	earbuds, speakers, headphones
FOCUSRITE	Focusrite	focusrite	creator_audio_interface	TIER_1	TECH.AUDIO	brand	true	true	true	audio interfaces
FIIO	FiiO	fiio	portable_hifi	TIER_2	TECH.AUDIO	brand	true	true	true	DAC/AMP, players, headphones
DENON	Denon	denon	home_audio	TIER_1	TECH.AUDIO	brand	true	true	true	receivers, headphones, hi-fi
MARANTZ	Marantz	marantz	home_audio	TIER_2	TECH.AUDIO	brand	true	true	true	receivers, hi-fi
BEHRINGER	Behringer	behringer	pro_audio_budget	TIER_1	TECH.AUDIO	brand	true	true	true	mixers, interfaces, microphones
AUDIENT	Audient	audient	creator_audio_interface	TIER_2	TECH.AUDIO	brand	true	true	true	audio interfaces
TECHNICS	Technics	technics	turntable_hifi	TIER_1	TECH.AUDIO	brand	true	true	true	turntables, hi-fi
PIONEER_DJ	Pioneer DJ	pioneer dj	dj_audio	TIER_1	TECH.AUDIO	brand	true	true	true	DJ controllers, headphones, turntables
HYPERX	HyperX	hyperx	gaming_audio	TIER_1	TECH.AUDIO	brand	true	true	true	gaming headsets, microphones
STEELSERIES	SteelSeries	steelseries	gaming_audio	TIER_1	TECH.AUDIO	brand	true	true	true	gaming headsets
AKG	AKG	akg	pro_consumer_audio	TIER_2	TECH.AUDIO	brand	true	true	true	headphones, microphones
BEYERDYNAMIC	Beyerdynamic	beyerdynamic	pro_consumer_audio	TIER_1	TECH.AUDIO	brand	true	true	true	headphones, microphones
SONOS	Sonos	sonos	smart_home_audio	TIER_1	TECH.AUDIO	brand	true	true	true	smart speakers, soundbars
JABRA	Jabra	jabra	consumer_office_audio	TIER_1	TECH.AUDIO	brand	true	true	true	earbuds, headsets
SKULLCANDY	Skullcandy	skullcandy	consumer_audio	TIER_2	TECH.AUDIO	brand	true	true	true	headphones, earbuds
BOWERS_WILKINS	Bowers & Wilkins	bowers wilkins	premium_hifi	TIER_2	TECH.AUDIO	brand	true	true	true	headphones, speakers
BANG_OLUFSEN	Bang & Olufsen	bang olufsen	premium_consumer_audio	TIER_2	TECH.AUDIO	brand	true	true	true	headphones, speakers
DEVIALET	Devialet	devialet	premium_speaker	TIER_3	TECH.AUDIO	brand	true	true	true	premium speakers, earbuds
EDIFIER	Edifier	edifier	consumer_speaker	TIER_1	TECH.AUDIO	brand	true	true	true	speakers, headphones
PRESONUS	PreSonus	presonus	pro_audio	TIER_2	TECH.AUDIO	brand	true	true	true	audio interfaces, studio monitors
MACKIE	Mackie	mackie	pro_audio	TIER_2	TECH.AUDIO	brand	true	true	true	mixers, studio monitors
NEUMANN	Neumann	neumann	pro_audio_premium	TIER_2	TECH.AUDIO	brand	true	true	true	microphones, studio monitors
MOONDROP	Moondrop	moondrop	iem_hifi	TIER_2	TECH.AUDIO	brand	true	true	true	IEMs, earbuds
KOSS	Koss	koss	consumer_audio	TIER_2	TECH.AUDIO	brand	true	true	true	headphones
AUDEZE	Audeze	audeze	premium_hifi_gaming	TIER_2	TECH.AUDIO	brand	true	true	true	planar headphones, gaming headsets
KLIPSCH	Klipsch	klipsch	home_audio	TIER_2	TECH.AUDIO	brand	true	true	true	speakers, soundbars
POLK_AUDIO	Polk Audio	polk audio	home_audio	TIER_3	TECH.AUDIO	brand	true	true	true	speakers, soundbars
CAMBRIDGE_AUDIO	Cambridge Audio	cambridge audio	home_hifi	TIER_3	TECH.AUDIO	brand	true	true	true	hi-fi, DAC/AMP
QCY	QCY	qcy	budget_earbuds	TIER_2	TECH.AUDIO	brand	true	true	true	earbuds
SOUNDPEATS	SoundPEATS	soundpeats	budget_earbuds	TIER_2	TECH.AUDIO	brand	true	true	true	earbuds
CREATIVE	Creative	creative	consumer_pc_audio	TIER_2	TECH.AUDIO	brand	true	true	true	sound cards, speakers, headsets
