query	expected_categoryCode	expected_brand_code	expected_audio_type_or_route_type	expected_match_reason	locale
sennheiser momentum 4	TECH.AUDIO	SENNHEISER	HEADPHONES	brand_alias+audio_type_hint	ru
сенхайзер hd 560s	TECH.AUDIO	SENNHEISER	HEADPHONES	brand_alias+audio_type_hint	ru
audio technica ath m50x	TECH.AUDIO	AUDIO_TECHNICA	HEADPHONES	brand_alias+audio_type_hint	ru
аудиотехника проигрыватель	TECH.AUDIO	AUDIO_TECHNICA	TURNTABLE	brand_alias+audio_type_hint	ru
shure sm7b микрофон	TECH.AUDIO	SHURE	MICROPHONE	brand_alias+audio_type_hint	ru
шур микрофон для стрима	TECH.AUDIO	SHURE	MICROPHONE	brand_alias+audio_type_hint	ru
rode nt usb mini	TECH.AUDIO	RODE	MICROPHONE	brand_alias+audio_type_hint	ru
род микрофон wireless go	TECH.AUDIO	RODE	MICROPHONE	brand_alias+audio_type_hint	ru
marshall major наушники	TECH.AUDIO	MARSHALL	HEADPHONES	brand_alias+audio_type_hint	ru
маршал колонка bluetooth	TECH.AUDIO	MARSHALL	SPEAKER	brand_alias+audio_type_hint	ru
yamaha receiver	TECH.AUDIO	YAMAHA	RECEIVER_AMPLIFIER	brand_alias+audio_type_hint	ru
ямаха студийные мониторы	TECH.AUDIO	YAMAHA	STUDIO_MONITOR	brand_alias+audio_type_hint	ru
soundcore liberty 4	TECH.AUDIO	ANKER_SOUNDCORE	EARBUDS	brand_alias+audio_type_hint	ru
анкер саундкор колонка	TECH.AUDIO	ANKER_SOUNDCORE	SPEAKER	brand_alias+audio_type_hint	ru
focusrite scarlett 2i2	TECH.AUDIO	FOCUSRITE	AUDIO_INTERFACE	brand_alias+audio_type_hint	ru
фокусрайт аудиоинтерфейс	TECH.AUDIO	FOCUSRITE	AUDIO_INTERFACE	brand_alias+audio_type_hint	ru
fiio k7 dac	TECH.AUDIO	FIIO	DAC_AMP	brand_alias+audio_type_hint	ru
фио плеер hi res	TECH.AUDIO	FIIO	MP3_PLAYER	brand_alias+audio_type_hint	ru
denon avr receiver	TECH.AUDIO	DENON	RECEIVER_AMPLIFIER	brand_alias+audio_type_hint	ru
marantz усилитель	TECH.AUDIO	MARANTZ	RECEIVER_AMPLIFIER	brand_alias+audio_type_hint	ru
behringer mixer	TECH.AUDIO	BEHRINGER	AUDIO_INTERFACE	brand_alias+audio_type_hint	ru
берингер микшер	TECH.AUDIO	BEHRINGER	AUDIO_INTERFACE	brand_alias+audio_type_hint	ru
audient id14	TECH.AUDIO	AUDIENT	AUDIO_INTERFACE	brand_alias+audio_type_hint	ru
technics sl 1200	TECH.AUDIO	TECHNICS	TURNTABLE	brand_alias+audio_type_hint	ru
pioneer dj наушники	TECH.AUDIO	PIONEER_DJ	HEADPHONES	brand_alias+audio_type_hint	ru
hyperx cloud headset	TECH.AUDIO	HYPERX	HEADSET	brand_alias+audio_type_hint	ru
steelseries arctis headset	TECH.AUDIO	STEELSERIES	HEADSET	brand_alias+audio_type_hint	ru
akg k371	TECH.AUDIO	AKG	HEADPHONES	brand_alias+audio_type_hint	ru
beyerdynamic dt 770 pro	TECH.AUDIO	BEYERDYNAMIC	HEADPHONES	brand_alias+audio_type_hint	ru
sonos beam soundbar	TECH.AUDIO	SONOS	SOUNDBAR	brand_alias+audio_type_hint	ru
jabra elite earbuds	TECH.AUDIO	JABRA	EARBUDS	brand_alias+audio_type_hint	ru
skullcandy crusher	TECH.AUDIO	SKULLCANDY	HEADPHONES	brand_alias+audio_type_hint	ru
b&w px7	TECH.AUDIO	BOWERS_WILKINS	HEADPHONES	brand_alias+audio_type_hint	ru
b&o beoplay	TECH.AUDIO	BANG_OLUFSEN	SPEAKER	brand_alias+audio_type_hint	ru
devialet phantom	TECH.AUDIO	DEVIALET	SPEAKER	brand_alias+audio_type_hint	ru
edifier r1280	TECH.AUDIO	EDIFIER	SPEAKER	brand_alias+audio_type_hint	ru
presonus audiobox	TECH.AUDIO	PRESONUS	AUDIO_INTERFACE	brand_alias+audio_type_hint	ru
mackie mixer	TECH.AUDIO	MACKIE	AUDIO_INTERFACE	brand_alias+audio_type_hint	ru
neumann u87	TECH.AUDIO	NEUMANN	MICROPHONE	brand_alias+audio_type_hint	ru
moondrop aria	TECH.AUDIO	MOONDROP	EARBUDS	brand_alias+audio_type_hint	ru
koss porta pro	TECH.AUDIO	KOSS	HEADPHONES	brand_alias+audio_type_hint	ru
audeze maxwell	TECH.AUDIO	AUDEZE	HEADSET	brand_alias+audio_type_hint	ru
klipsch soundbar	TECH.AUDIO	KLIPSCH	SOUNDBAR	brand_alias+audio_type_hint	ru
polk audio soundbar	TECH.AUDIO	POLK_AUDIO	SOUNDBAR	brand_alias+audio_type_hint	ru
cambridge audio dacmagic	TECH.AUDIO	CAMBRIDGE_AUDIO	DAC_AMP	brand_alias+audio_type_hint	ru
qcy t13	TECH.AUDIO	QCY	EARBUDS	brand_alias+audio_type_hint	ru
soundpeats air4	TECH.AUDIO	SOUNDPEATS	EARBUDS	brand_alias+audio_type_hint	ru
creative sound blaster	TECH.AUDIO	CREATIVE	DAC_AMP	brand_alias+audio_type_hint	ru
yamaha мотоцикл	AUTO			brand_collision_negative	ru
marshall холодильник	HOME.APPLIANCES			brand_collision_negative	ru
hyperx клавиатура	TECH.COMPUTER_ACCESSORIES	HYPERX	KEYBOARD	route_negative_accessory	ru
steelseries мышь	TECH.COMPUTER_ACCESSORIES	STEELSERIES	MOUSE	route_negative_accessory	ru
creative webcam	TECH.COMPUTER_ACCESSORIES	CREATIVE	WEBCAM	route_negative_accessory	ru
pioneer магнитола автомобильная	TECH.CAR_ELECTRONICS_GPS	PIONEER_DJ	CAR_HEAD_UNIT	route_negative_car_audio	ru
