alias	target_categoryCode	target_attribute	target_value	priority	locale	status	notes
наушники	TECH.AUDIO	audio_type	HEADPHONES	100	ru	head	type_alias
полноразмерные наушники	TECH.AUDIO	audio_type	HEADPHONES	99	ru	head	type_alias
накладные наушники	TECH.AUDIO	audio_type	HEADPHONES	98	ru	head	type_alias
headphones	TECH.AUDIO	audio_type	HEADPHONES	97	ru	head	type_alias
wireless headphones	TECH.AUDIO	audio_type	HEADPHONES	96	ru	head	type_alias
блютуз наушники	TECH.AUDIO	audio_type	HEADPHONES	95	ru	head	type_alias
беспроводные наушники	TECH.AUDIO	audio_type	EARBUDS	100	ru	head	type_alias
tws	TECH.AUDIO	audio_type	EARBUDS	99	ru	head	type_alias
tws наушники	TECH.AUDIO	audio_type	EARBUDS	98	ru	head	type_alias
earbuds	TECH.AUDIO	audio_type	EARBUDS	97	ru	head	type_alias
вкладыши	TECH.AUDIO	audio_type	EARBUDS	96	ru	head	type_alias
внутриканальные наушники	TECH.AUDIO	audio_type	EARBUDS	95	ru	head	type_alias
затычки	TECH.AUDIO	audio_type	EARBUDS	94	ru	head	type_alias
беспроводные вкладыши	TECH.AUDIO	audio_type	EARBUDS	93	ru	head	type_alias
гарнитура	TECH.AUDIO	audio_type	HEADSET	100	ru	head	type_alias
компьютерная гарнитура	TECH.AUDIO	audio_type	HEADSET	99	ru	head	type_alias
headset	TECH.AUDIO	audio_type	HEADSET	98	ru	head	type_alias
наушники с микрофоном	TECH.AUDIO	audio_type	HEADSET	97	ru	head	type_alias
офисная гарнитура	TECH.AUDIO	audio_type	HEADSET	96	ru	head	type_alias
колонка	TECH.AUDIO	audio_type	SPEAKER	100	ru	head	type_alias
bluetooth колонка	TECH.AUDIO	audio_type	SPEAKER	99	ru	head	type_alias
портативная колонка	TECH.AUDIO	audio_type	SPEAKER	98	ru	head	type_alias
акустика	TECH.AUDIO	audio_type	SPEAKER	97	ru	head	type_alias
speaker	TECH.AUDIO	audio_type	SPEAKER	96	ru	head	type_alias
portable speaker	TECH.AUDIO	audio_type	SPEAKER	95	ru	head	type_alias
умная колонка	TECH.AUDIO	audio_type	SMART_SPEAKER	100	ru	head	type_alias
smart speaker	TECH.AUDIO	audio_type	SMART_SPEAKER	99	ru	head	type_alias
колонка алиса	TECH.AUDIO	audio_type	SMART_SPEAKER	98	ru	head	type_alias
homepod	TECH.AUDIO	audio_type	SMART_SPEAKER	97	ru	head	type_alias
echo dot	TECH.AUDIO	audio_type	SMART_SPEAKER	96	ru	head	type_alias
яндекс станция	TECH.AUDIO	audio_type	SMART_SPEAKER	95	ru	head	type_alias
саундбар	TECH.AUDIO	audio_type	SOUNDBAR	100	ru	head	type_alias
soundbar	TECH.AUDIO	audio_type	SOUNDBAR	99	ru	head	type_alias
sound bar	TECH.AUDIO	audio_type	SOUNDBAR	98	ru	head	type_alias
акустическая панель	TECH.AUDIO	audio_type	SOUNDBAR	97	ru	head	type_alias
саунд бар	TECH.AUDIO	audio_type	SOUNDBAR	96	ru	head	type_alias
микрофон	TECH.AUDIO	audio_type	MICROPHONE	100	ru	head	type_alias
usb микрофон	TECH.AUDIO	audio_type	MICROPHONE	99	ru	head	type_alias
xlr микрофон	TECH.AUDIO	audio_type	MICROPHONE	98	ru	head	type_alias
петличка	TECH.AUDIO	audio_type	MICROPHONE	97	ru	head	type_alias
петличный микрофон	TECH.AUDIO	audio_type	MICROPHONE	96	ru	head	type_alias
microphone	TECH.AUDIO	audio_type	MICROPHONE	95	ru	head	type_alias
mic	TECH.AUDIO	audio_type	MICROPHONE	94	ru	head	type_alias
аудиоинтерфейс	TECH.AUDIO	audio_type	AUDIO_INTERFACE	100	ru	head	type_alias
звуковая карта для записи	TECH.AUDIO	audio_type	AUDIO_INTERFACE	99	ru	head	type_alias
audio interface	TECH.AUDIO	audio_type	AUDIO_INTERFACE	98	ru	head	type_alias
внешняя звуковая карта	TECH.AUDIO	audio_type	AUDIO_INTERFACE	97	ru	head	type_alias
интерфейс для микрофона	TECH.AUDIO	audio_type	AUDIO_INTERFACE	96	ru	head	type_alias
цап	TECH.AUDIO	audio_type	DAC_AMP	100	ru	head	type_alias
усилитель для наушников	TECH.AUDIO	audio_type	DAC_AMP	99	ru	head	type_alias
dac amp	TECH.AUDIO	audio_type	DAC_AMP	98	ru	head	type_alias
dac/amp	TECH.AUDIO	audio_type	DAC_AMP	97	ru	head	type_alias
внешний цап	TECH.AUDIO	audio_type	DAC_AMP	96	ru	head	type_alias
портативный цап	TECH.AUDIO	audio_type	DAC_AMP	95	ru	head	type_alias
виниловый проигрыватель	TECH.AUDIO	audio_type	TURNTABLE	100	ru	head	type_alias
проигрыватель винила	TECH.AUDIO	audio_type	TURNTABLE	99	ru	head	type_alias
turntable	TECH.AUDIO	audio_type	TURNTABLE	98	ru	head	type_alias
вертушка	TECH.AUDIO	audio_type	TURNTABLE	97	ru	head	type_alias
vinyl player	TECH.AUDIO	audio_type	TURNTABLE	96	ru	head	type_alias
ресивер	TECH.AUDIO	audio_type	RECEIVER_AMPLIFIER	100	ru	head	type_alias
av ресивер	TECH.AUDIO	audio_type	RECEIVER_AMPLIFIER	99	ru	head	type_alias
усилитель	TECH.AUDIO	audio_type	RECEIVER_AMPLIFIER	98	ru	head	type_alias
stereo amplifier	TECH.AUDIO	audio_type	RECEIVER_AMPLIFIER	97	ru	head	type_alias
receiver	TECH.AUDIO	audio_type	RECEIVER_AMPLIFIER	96	ru	head	type_alias
amplifier	TECH.AUDIO	audio_type	RECEIVER_AMPLIFIER	95	ru	head	type_alias
студийный монитор	TECH.AUDIO	audio_type	STUDIO_MONITOR	100	ru	head	type_alias
мониторы студийные	TECH.AUDIO	audio_type	STUDIO_MONITOR	99	ru	head	type_alias
studio monitor	TECH.AUDIO	audio_type	STUDIO_MONITOR	98	ru	head	type_alias
активные мониторы	TECH.AUDIO	audio_type	STUDIO_MONITOR	97	ru	head	type_alias
mp3 плеер	TECH.AUDIO	audio_type	MP3_PLAYER	100	ru	head	type_alias
hi-fi плеер	TECH.AUDIO	audio_type	MP3_PLAYER	99	ru	head	type_alias
dap	TECH.AUDIO	audio_type	MP3_PLAYER	98	ru	head	type_alias
аудиоплеер	TECH.AUDIO	audio_type	MP3_PLAYER	97	ru	head	type_alias
плеер для музыки	TECH.AUDIO	audio_type	MP3_PLAYER	96	ru	head	type_alias
радио	TECH.AUDIO	audio_type	RADIO	100	ru	head	type_alias
радиоприемник	TECH.AUDIO	audio_type	RADIO	99	ru	head	type_alias
internet radio	TECH.AUDIO	audio_type	RADIO	98	ru	head	type_alias
fm radio	TECH.AUDIO	audio_type	RADIO	97	ru	head	type_alias
аудио аксессуар	TECH.AUDIO	audio_type	AUDIO_ACCESSORY	100	ru	head	type_alias
амбушюры	TECH.AUDIO	audio_type	AUDIO_ACCESSORY	99	ru	head	type_alias
поп фильтр	TECH.AUDIO	audio_type	AUDIO_ACCESSORY	98	ru	head	type_alias
микрофонная стойка	TECH.AUDIO	audio_type	AUDIO_ACCESSORY	97	ru	head	type_alias
кабель для наушников	TECH.AUDIO	audio_type	AUDIO_ACCESSORY	96	ru	head	type_alias
audio accessory	TECH.AUDIO	audio_type	AUDIO_ACCESSORY	95	ru	head	type_alias
airpods	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	70	ru	candidate	brand_model_search_alias
аирподс	TECH.AUDIO	model_name_text	RUNTIME_CANDIDATE	69	ru	candidate	brand_model_search_alias
