attribute_code	label_ru	role	data_type	required_policy	multi_value	allowed_values_source	unit	usage_scope	description_ru
audio_type	Тип аудиотовара	T0_CORE	enum	always	false	values.tsv#audio_type		classification	Главный type-атрибут ветки TECH.AUDIO.
form_factor	Форм-фактор	T0_CORE	enum	always	false	values.tsv#form_factor		classification_search	Конструктивный форм-фактор: over-ear, TWS, soundbar, lavalier и т.д.
connection_type	Тип подключения	T0_CORE	enum	always	true	values.tsv#connection_type		search_filter_publish	Проводное/беспроводное/USB/Bluetooth/Wi‑Fi/2.4GHz.
acoustic_design	Акустическое оформление	T1_TYPE_SPECIFIC	enum	recommended_for_headphones_speakers	false	values.tsv#acoustic_design		search_filter	Открытые/закрытые/полуоткрытые/портативные/настольные.
noise_control	Шумоподавление/прозрачность	T1_TYPE_SPECIFIC	enum	recommended_for_headphones_earbuds	true	values.tsv#noise_control		search_filter	ANC, transparency, passive isolation, none.
microphone_included	Есть микрофон	T1_TYPE_SPECIFIC	boolean	recommended_for_headphones_headset	false	boolean		search_filter_publish	Наличие встроенного/съёмного микрофона.
mic_type	Тип микрофона	T1_TYPE_SPECIFIC	enum	required_for_microphone_or_headset	false	values.tsv#mic_type		search_filter	USB/XLR/петличный/ручной/студийный/петличный и др.
recording_pattern	Диаграмма направленности	T2_OPTIONAL_ENRICHMENT	enum	recommended_for_microphone	true	values.tsv#recording_pattern		search_filter	Cardioid/omni/figure-8/supercardioid и т.п.
connector_type	Разъём	T1_TYPE_SPECIFIC	enum	required_for_wired_or_interface	true	values.tsv#connector_type		search_filter_publish	USB-C, 3.5mm, 6.35mm, XLR, RCA, HDMI ARC, Optical, Lightning.
wireless_standard	Беспроводной стандарт	T1_TYPE_SPECIFIC	enum	required_for_wireless	true	values.tsv#wireless_standard		search_filter	Bluetooth/Wi‑Fi/AirPlay/Chromecast/RF/2.4GHz.
codec_support	Кодеки	T1_TYPE_SPECIFIC	enum	recommended_for_wireless_audio	true	values.tsv#codec_support		search_filter	SBC, AAC, aptX, LDAC, LC3 и др.
bluetooth_version	Версия Bluetooth	T2_OPTIONAL_ENRICHMENT	string	optional	false	free_text		search_filter	Например: Bluetooth 5.3.
battery_life_hours	Автономность, часы	T1_TYPE_SPECIFIC	number	recommended_for_wireless	false	range:0..200	hours	search_filter_publish	Ориентировочное время работы на одном заряде.
charging_case_included	Кейс зарядки в комплекте	T2_OPTIONAL_ENRICHMENT	boolean	recommended_for_tws	false	boolean		display	Для TWS-наушников.
fast_charge	Быстрая зарядка	T2_OPTIONAL_ENRICHMENT	boolean	optional	false	boolean		search_filter	Поддержка быстрой зарядки.
water_resistance	Защита от воды/пыли	T1_TYPE_SPECIFIC	enum	recommended_for_portable	false	values.tsv#water_resistance		search_filter_publish	IP-рейтинг или отсутствие защиты.
driver_type	Тип драйвера	T1_TYPE_SPECIFIC	enum	recommended_for_headphones_speakers	false	values.tsv#driver_type		search_filter	Dynamic, planar, balanced armature и др.
driver_size_mm	Размер драйвера, мм	T1_TYPE_SPECIFIC	number	optional	false	range:1..300	mm	search_filter	Размер излучателя.
impedance_ohm	Импеданс, Ом	T1_TYPE_SPECIFIC	number	optional	false	range:1..1000	ohm	search_filter	Особенно важно для проводных наушников.
sensitivity_db	Чувствительность, дБ	T2_OPTIONAL_ENRICHMENT	number	optional	false	range:1..140	dB	search_filter	Заявленная чувствительность.
frequency_response_text	Частотный диапазон	T2_OPTIONAL_ENRICHMENT	string	optional	false	free_text		display	Как указано продавцом/производителем: 20Hz–20kHz.
channel_config	Канальность	T1_TYPE_SPECIFIC	enum	required_for_soundbar_receiver	false	values.tsv#channel_config		search_filter_publish	2.0/2.1/5.1/7.1/Atmos и т.п.
