audio_type	facet_attribute	facet_role	show_policy	priority_bucket	notes
HEADPHONES	brand	primary	always	1	Base facet for all audio items
HEADPHONES	condition	primary	always	1	Base facet for all audio items
HEADPHONES	price	primary	always	1	Base facet for all audio items
HEADPHONES	audio_type	primary	always	1	Base facet for all audio items
HEADPHONES	connection_type	primary	always	1	Base facet for all audio items
HEADPHONES	form_factor	primary	always	1	Base facet for all audio items
HEADPHONES	color_family	primary	always	1	Base facet for all audio items
HEADPHONES	noise_control	secondary	type_specific	2	Shown when values are present for this type
HEADPHONES	acoustic_design	secondary	type_specific	2	Shown when values are present for this type
HEADPHONES	codec_support	secondary	type_specific	2	Shown when values are present for this type
HEADPHONES	battery_life_hours	secondary	type_specific	2	Shown when values are present for this type
HEADPHONES	impedance_ohm	secondary	type_specific	2	Shown when values are present for this type
HEADPHONES	detachable_cable	secondary	type_specific	2	Shown when values are present for this type
EARBUDS	brand	primary	always	1	Base facet for all audio items
EARBUDS	condition	primary	always	1	Base facet for all audio items
EARBUDS	price	primary	always	1	Base facet for all audio items
EARBUDS	audio_type	primary	always	1	Base facet for all audio items
EARBUDS	connection_type	primary	always	1	Base facet for all audio items
EARBUDS	form_factor	primary	always	1	Base facet for all audio items
EARBUDS	color_family	primary	always	1	Base facet for all audio items
EARBUDS	noise_control	secondary	type_specific	2	Shown when values are present for this type
EARBUDS	codec_support	secondary	type_specific	2	Shown when values are present for this type
EARBUDS	battery_life_hours	secondary	type_specific	2	Shown when values are present for this type
EARBUDS	water_resistance	secondary	type_specific	2	Shown when values are present for this type
EARBUDS	charging_case_included	secondary	type_specific	2	Shown when values are present for this type
EARBUDS	microphone_included	secondary	type_specific	2	Shown when values are present for this type
HEADSET	brand	primary	always	1	Base facet for all audio items
HEADSET	condition	primary	always	1	Base facet for all audio items
HEADSET	price	primary	always	1	Base facet for all audio items
HEADSET	audio_type	primary	always	1	Base facet for all audio items
HEADSET	connection_type	primary	always	1	Base facet for all audio items
HEADSET	form_factor	primary	always	1	Base facet for all audio items
HEADSET	color_family	primary	always	1	Base facet for all audio items
HEADSET	microphone_included	secondary	type_specific	2	Shown when values are present for this type
HEADSET	mic_type	secondary	type_specific	2	Shown when values are present for this type
HEADSET	compatible_platform	secondary	type_specific	2	Shown when values are present for this type
HEADSET	latency_mode	secondary	type_specific	2	Shown when values are present for this type
HEADSET	connection_type	secondary	type_specific	2	Shown when values are present for this type
HEADSET	noise_control	secondary	type_specific	2	Shown when values are present for this type
SPEAKER	brand	primary	always	1	Base facet for all audio items
SPEAKER	condition	primary	always	1	Base facet for all audio items
SPEAKER	price	primary	always	1	Base facet for all audio items
SPEAKER	audio_type	primary	always	1	Base facet for all audio items
SPEAKER	connection_type	primary	always	1	Base facet for all audio items
SPEAKER	form_factor	primary	always	1	Base facet for all audio items
SPEAKER	color_family	primary	always	1	Base facet for all audio items
SPEAKER	speaker_type	secondary	type_specific	2	Shown when values are present for this type
SPEAKER	speaker_power_w	secondary	type_specific	2	Shown when values are present for this type
SPEAKER	water_resistance	secondary	type_specific	2	Shown when values are present for this type
SPEAKER	battery_life_hours	secondary	type_specific	2	Shown when values are present for this type
SPEAKER	wireless_standard	secondary	type_specific	2	Shown when values are present for this type
SPEAKER	use_case	secondary	type_specific	2	Shown when values are present for this type
SMART_SPEAKER	brand	primary	always	1	Base facet for all audio items
SMART_SPEAKER	condition	primary	always	1	Base facet for all audio items
SMART_SPEAKER	price	primary	always	1	Base facet for all audio items
SMART_SPEAKER	audio_type	primary	always	1	Base facet for all audio items
SMART_SPEAKER	connection_type	primary	always	1	Base facet for all audio items
SMART_SPEAKER	form_factor	primary	always	1	Base facet for all audio items
SMART_SPEAKER	color_family	primary	always	1	Base facet for all audio items
SMART_SPEAKER	smart_assistant	secondary	type_specific	2	Shown when values are present for this type
SMART_SPEAKER	streaming_protocols	secondary	type_specific	2	Shown when values are present for this type
SMART_SPEAKER	wireless_standard	secondary	type_specific	2	Shown when values are present for this type
SMART_SPEAKER	room_calibration	secondary	type_specific	2	Shown when values are present for this type
SMART_SPEAKER	speaker_type	secondary	type_specific	2	Shown when values are present for this type
SMART_SPEAKER	use_case	secondary	type_specific	2	Shown when values are present for this type
SOUNDBAR	brand	primary	always	1	Base facet for all audio items
SOUNDBAR	condition	primary	always	1	Base facet for all audio items
SOUNDBAR	price	primary	always	1	Base facet for all audio items
SOUNDBAR	audio_type	primary	always	1	Base facet for all audio items
SOUNDBAR	connection_type	primary	always	1	Base facet for all audio items
SOUNDBAR	form_factor	primary	always	1	Base facet for all audio items
SOUNDBAR	color_family	primary	always	1	Base facet for all audio items
SOUNDBAR	channel_config	secondary	type_specific	2	Shown when values are present for this type
SOUNDBAR	subwoofer_included	secondary	type_specific	2	Shown when values are present for this type
SOUNDBAR	surround_formats	secondary	type_specific	2	Shown when values are present for this type
SOUNDBAR	input_type	secondary	type_specific	2	Shown when values are present for this type
SOUNDBAR	output_type	secondary	type_specific	2	Shown when values are present for this type
SOUNDBAR	remote_included	secondary	type_specific	2	Shown when values are present for this type
MICROPHONE	brand	primary	always	1	Base facet for all audio items
MICROPHONE	condition	primary	always	1	Base facet for all audio items
MICROPHONE	price	primary	always	1	Base facet for all audio items
MICROPHONE	audio_type	primary	always	1	Base facet for all audio items
MICROPHONE	connection_type	primary	always	1	Base facet for all audio items
MICROPHONE	form_factor	primary	always	1	Base facet for all audio items
MICROPHONE	color_family	primary	always	1	Base facet for all audio items
MICROPHONE	mic_type	secondary	type_specific	2	Shown when values are present for this type
MICROPHONE	recording_pattern	secondary	type_specific	2	Shown when values are present for this type
MICROPHONE	connector_type	secondary	type_specific	2	Shown when values are present for this type
MICROPHONE	phantom_power	secondary	type_specific	2	Shown when values are present for this type
MICROPHONE	mount_type	secondary	type_specific	2	Shown when values are present for this type
MICROPHONE	use_case	secondary	type_specific	2	Shown when values are present for this type
AUDIO_INTERFACE	brand	primary	always	1	Base facet for all audio items
AUDIO_INTERFACE	condition	primary	always	1	Base facet for all audio items
AUDIO_INTERFACE	price	primary	always	1	Base facet for all audio items
AUDIO_INTERFACE	audio_type	primary	always	1	Base facet for all audio items
AUDIO_INTERFACE	connection_type	primary	always	1	Base facet for all audio items
AUDIO_INTERFACE	form_factor	primary	always	1	Base facet for all audio items
AUDIO_INTERFACE	color_family	primary	always	1	Base facet for all audio items
AUDIO_INTERFACE	input_type	secondary	type_specific	2	Shown when values are present for this type
AUDIO_INTERFACE	output_type	secondary	type_specific	2	Shown when values are present for this type
AUDIO_INTERFACE	phantom_power	secondary	type_specific	2	Shown when values are present for this type
AUDIO_INTERFACE	sample_rate_khz	secondary	type_specific	2	Shown when values are present for this type
AUDIO_INTERFACE	bit_depth	secondary	type_specific	2	Shown when values are present for this type
AUDIO_INTERFACE	midi_support	secondary	type_specific	2	Shown when values are present for this type
DAC_AMP	brand	primary	always	1	Base facet for all audio items
DAC_AMP	condition	primary	always	1	Base facet for all audio items
DAC_AMP	price	primary	always	1	Base facet for all audio items
DAC_AMP	audio_type	primary	always	1	Base facet for all audio items
DAC_AMP	connection_type	primary	always	1	Base facet for all audio items
DAC_AMP	form_factor	primary	always	1	Base facet for all audio items
DAC_AMP	color_family	primary	always	1	Base facet for all audio items
DAC_AMP	input_type	secondary	type_specific	2	Shown when values are present for this type
DAC_AMP	output_type	secondary	type_specific	2	Shown when values are present for this type
DAC_AMP	sample_rate_khz	secondary	type_specific	2	Shown when values are present for this type
DAC_AMP	bit_depth	secondary	type_specific	2	Shown when values are present for this type
DAC_AMP	balanced_output	secondary	type_specific	2	Shown when values are present for this type
DAC_AMP	portable_desktop	secondary	type_specific	2	Shown when values are present for this type
TURNTABLE	brand	primary	always	1	Base facet for all audio items
TURNTABLE	condition	primary	always	1	Base facet for all audio items
TURNTABLE	price	primary	always	1	Base facet for all audio items
TURNTABLE	audio_type	primary	always	1	Base facet for all audio items
TURNTABLE	connection_type	primary	always	1	Base facet for all audio items
TURNTABLE	form_factor	primary	always	1	Base facet for all audio items
TURNTABLE	color_family	primary	always	1	Base facet for all audio items
TURNTABLE	turntable_drive_type	secondary	type_specific	2	Shown when values are present for this type
TURNTABLE	rpm_speed	secondary	type_specific	2	Shown when values are present for this type
TURNTABLE	cartridge_included	secondary	type_specific	2	Shown when values are present for this type
TURNTABLE	preamp_built_in	secondary	type_specific	2	Shown when values are present for this type
TURNTABLE	connection_type	secondary	type_specific	2	Shown when values are present for this type
TURNTABLE	use_case	secondary	type_specific	2	Shown when values are present for this type
RECEIVER_AMPLIFIER	brand	primary	always	1	Base facet for all audio items
RECEIVER_AMPLIFIER	condition	primary	always	1	Base facet for all audio items
RECEIVER_AMPLIFIER	price	primary	always	1	Base facet for all audio items
RECEIVER_AMPLIFIER	audio_type	primary	always	1	Base facet for all audio items
RECEIVER_AMPLIFIER	connection_type	primary	always	1	Base facet for all audio items
RECEIVER_AMPLIFIER	form_factor	primary	always	1	Base facet for all audio items
RECEIVER_AMPLIFIER	color_family	primary	always	1	Base facet for all audio items
RECEIVER_AMPLIFIER	receiver_channels	secondary	type_specific	2	Shown when values are present for this type
RECEIVER_AMPLIFIER	speaker_power_w	secondary	type_specific	2	Shown when values are present for this type
RECEIVER_AMPLIFIER	input_type	secondary	type_specific	2	Shown when values are present for this type
RECEIVER_AMPLIFIER	output_type	secondary	type_specific	2	Shown when values are present for this type
RECEIVER_AMPLIFIER	surround_formats	secondary	type_specific	2	Shown when values are present for this type
RECEIVER_AMPLIFIER	streaming_protocols	secondary	type_specific	2	Shown when values are present for this type
STUDIO_MONITOR	brand	primary	always	1	Base facet for all audio items
STUDIO_MONITOR	condition	primary	always	1	Base facet for all audio items
STUDIO_MONITOR	price	primary	always	1	Base facet for all audio items
STUDIO_MONITOR	audio_type	primary	always	1	Base facet for all audio items
STUDIO_MONITOR	connection_type	primary	always	1	Base facet for all audio items
STUDIO_MONITOR	form_factor	primary	always	1	Base facet for all audio items
STUDIO_MONITOR	color_family	primary	always	1	Base facet for all audio items
STUDIO_MONITOR	speaker_type	secondary	type_specific	2	Shown when values are present for this type
STUDIO_MONITOR	speaker_power_w	secondary	type_specific	2	Shown when values are present for this type
STUDIO_MONITOR	input_type	secondary	type_specific	2	Shown when values are present for this type
STUDIO_MONITOR	driver_size_mm	secondary	type_specific	2	Shown when values are present for this type
STUDIO_MONITOR	pair_count	secondary	type_specific	2	Shown when values are present for this type
STUDIO_MONITOR	room_calibration	secondary	type_specific	2	Shown when values are present for this type
MP3_PLAYER	brand	primary	always	1	Base facet for all audio items
MP3_PLAYER	condition	primary	always	1	Base facet for all audio items
MP3_PLAYER	price	primary	always	1	Base facet for all audio items
MP3_PLAYER	audio_type	primary	always	1	Base facet for all audio items
MP3_PLAYER	connection_type	primary	always	1	Base facet for all audio items
MP3_PLAYER	form_factor	primary	always	1	Base facet for all audio items
MP3_PLAYER	color_family	primary	always	1	Base facet for all audio items
MP3_PLAYER	storage_capacity_gb	secondary	type_specific	2	Shown when values are present for this type
MP3_PLAYER	codec_support	secondary	type_specific	2	Shown when values are present for this type
MP3_PLAYER	output_type	secondary	type_specific	2	Shown when values are present for this type
MP3_PLAYER	battery_life_hours	secondary	type_specific	2	Shown when values are present for this type
MP3_PLAYER	bluetooth_version	secondary	type_specific	2	Shown when values are present for this type
MP3_PLAYER	use_case	secondary	type_specific	2	Shown when values are present for this type
RADIO	brand	primary	always	1	Base facet for all audio items
RADIO	condition	primary	always	1	Base facet for all audio items
RADIO	price	primary	always	1	Base facet for all audio items
RADIO	audio_type	primary	always	1	Base facet for all audio items
RADIO	connection_type	primary	always	1	Base facet for all audio items
RADIO	form_factor	primary	always	1	Base facet for all audio items
RADIO	color_family	primary	always	1	Base facet for all audio items
RADIO	connection_type	secondary	type_specific	2	Shown when values are present for this type
RADIO	power_source	secondary	type_specific	2	Shown when values are present for this type
RADIO	wireless_standard	secondary	type_specific	2	Shown when values are present for this type
RADIO	speaker_type	secondary	type_specific	2	Shown when values are present for this type
RADIO	use_case	secondary	type_specific	2	Shown when values are present for this type
AUDIO_ACCESSORY	brand	primary	always	1	Base facet for all audio items
AUDIO_ACCESSORY	condition	primary	always	1	Base facet for all audio items
AUDIO_ACCESSORY	price	primary	always	1	Base facet for all audio items
AUDIO_ACCESSORY	audio_type	primary	always	1	Base facet for all audio items
AUDIO_ACCESSORY	connection_type	primary	always	1	Base facet for all audio items
AUDIO_ACCESSORY	form_factor	primary	always	1	Base facet for all audio items
AUDIO_ACCESSORY	color_family	primary	always	1	Base facet for all audio items
AUDIO_ACCESSORY	audio_accessory_type	secondary	type_specific	2	Shown when values are present for this type
AUDIO_ACCESSORY	connector_type	secondary	type_specific	2	Shown when values are present for this type
AUDIO_ACCESSORY	compatible_platform	secondary	type_specific	2	Shown when values are present for this type
AUDIO_ACCESSORY	cable_length_m	secondary	type_specific	2	Shown when values are present for this type
AUDIO_ACCESSORY	mount_type	secondary	type_specific	2	Shown when values are present for this type
AUDIO_ACCESSORY	color_family	secondary	type_specific	2	Shown when values are present for this type
