alias	brand	family	model_code	audio_type	priority	locale	notes
AirPods 4	APPLE	AIRPODS	AIRPODS_4	EARBUDS	70	ru/en	generated_head_alias
airpods 4	APPLE	AIRPODS	AIRPODS_4	EARBUDS	70	ru/en	generated_head_alias
airpods4	APPLE	AIRPODS	AIRPODS_4	EARBUDS	70	ru/en	generated_head_alias
аирподс 4	APPLE	AIRPODS	AIRPODS_4	EARBUDS	70	ru/en	generated_head_alias
AirPods 4 Active Noise Cancellation	APPLE	AIRPODS	AIRPODS_4_ANC	EARBUDS	70	ru/en	generated_head_alias
airpods 4 active noise cancellation	APPLE	AIRPODS	AIRPODS_4_ANC	EARBUDS	70	ru/en	generated_head_alias
airpods4activenoisecancellation	APPLE	AIRPODS	AIRPODS_4_ANC	EARBUDS	70	ru/en	generated_head_alias
аирподс 4 active noise cancellation	APPLE	AIRPODS	AIRPODS_4_ANC	EARBUDS	70	ru/en	generated_head_alias
AirPods Pro 2 USB-C	APPLE	AIRPODS_PRO	AIRPODS_PRO_2_USB_C	EARBUDS	70	ru/en	generated_head_alias
AirPods Pro 2 USBC	APPLE	AIRPODS_PRO	AIRPODS_PRO_2_USB_C	EARBUDS	70	ru/en	generated_head_alias
airpods pro 2 usb c	APPLE	AIRPODS_PRO	AIRPODS_PRO_2_USB_C	EARBUDS	70	ru/en	generated_head_alias
airpods pro 2 usb-c	APPLE	AIRPODS_PRO	AIRPODS_PRO_2_USB_C	EARBUDS	70	ru/en	generated_head_alias
airpods про 2 usb-c	APPLE	AIRPODS_PRO	AIRPODS_PRO_2_USB_C	EARBUDS	70	ru/en	generated_head_alias
airpodspro2usb-c	APPLE	AIRPODS_PRO	AIRPODS_PRO_2_USB_C	EARBUDS	70	ru/en	generated_head_alias
аирподс pro 2 usb-c	APPLE	AIRPODS_PRO	AIRPODS_PRO_2_USB_C	EARBUDS	70	ru/en	generated_head_alias
AirPods Pro 3	APPLE	AIRPODS_PRO	AIRPODS_PRO_3	EARBUDS	70	ru/en	generated_head_alias
airpods pro 3	APPLE	AIRPODS_PRO	AIRPODS_PRO_3	EARBUDS	70	ru/en	generated_head_alias
airpods про 3	APPLE	AIRPODS_PRO	AIRPODS_PRO_3	EARBUDS	70	ru/en	generated_head_alias
airpodspro3	APPLE	AIRPODS_PRO	AIRPODS_PRO_3	EARBUDS	70	ru/en	generated_head_alias
аирподс pro 3	APPLE	AIRPODS_PRO	AIRPODS_PRO_3	EARBUDS	70	ru/en	generated_head_alias
AirPods Max 2	APPLE	AIRPODS_MAX	AIRPODS_MAX_2	HEADPHONES	70	ru/en	generated_head_alias
airpods max 2	APPLE	AIRPODS_MAX	AIRPODS_MAX_2	HEADPHONES	70	ru/en	generated_head_alias
airpods макс 2	APPLE	AIRPODS_MAX	AIRPODS_MAX_2	HEADPHONES	70	ru/en	generated_head_alias
airpodsmax2	APPLE	AIRPODS_MAX	AIRPODS_MAX_2	HEADPHONES	70	ru/en	generated_head_alias
аирподс max 2	APPLE	AIRPODS_MAX	AIRPODS_MAX_2	HEADPHONES	70	ru/en	generated_head_alias
HomePod mini	APPLE	HOMEPOD	HOMEPOD_MINI	SMART_SPEAKER	70	ru/en	generated_head_alias
homepod mini	APPLE	HOMEPOD	HOMEPOD_MINI	SMART_SPEAKER	70	ru/en	generated_head_alias
homepodmini	APPLE	HOMEPOD	HOMEPOD_MINI	SMART_SPEAKER	70	ru/en	generated_head_alias
WH-1000XM6	SONY	WH_1000X	WH_1000XM6	HEADPHONES	70	ru/en	generated_head_alias
WH1000XM6	SONY	WH_1000X	WH_1000XM6	HEADPHONES	70	ru/en	generated_head_alias
wh 1000xm6	SONY	WH_1000X	WH_1000XM6	HEADPHONES	70	ru/en	generated_head_alias
wh-1000xm6	SONY	WH_1000X	WH_1000XM6	HEADPHONES	70	ru/en	generated_head_alias
сони wh 1000xm6	SONY	WH_1000X	WH_1000XM6	HEADPHONES	70	ru/en	generated_head_alias
WH-1000XM5	SONY	WH_1000X	WH_1000XM5	HEADPHONES	70	ru/en	generated_head_alias
WH1000XM5	SONY	WH_1000X	WH_1000XM5	HEADPHONES	70	ru/en	generated_head_alias
wh 1000xm5	SONY	WH_1000X	WH_1000XM5	HEADPHONES	70	ru/en	generated_head_alias
wh-1000xm5	SONY	WH_1000X	WH_1000XM5	HEADPHONES	70	ru/en	generated_head_alias
сони wh 1000xm5	SONY	WH_1000X	WH_1000XM5	HEADPHONES	70	ru/en	generated_head_alias
WF-1000XM5	SONY	WF_1000X	WF_1000XM5	EARBUDS	70	ru/en	generated_head_alias
WF1000XM5	SONY	WF_1000X	WF_1000XM5	EARBUDS	70	ru/en	generated_head_alias
wf 1000xm5	SONY	WF_1000X	WF_1000XM5	EARBUDS	70	ru/en	generated_head_alias
wf-1000xm5	SONY	WF_1000X	WF_1000XM5	EARBUDS	70	ru/en	generated_head_alias
сони wf 1000xm5	SONY	WF_1000X	WF_1000XM5	EARBUDS	70	ru/en	generated_head_alias
WH-CH720N	SONY	WH_CH	WH_CH720N	HEADPHONES	70	ru/en	generated_head_alias
WHCH720N	SONY	WH_CH	WH_CH720N	HEADPHONES	70	ru/en	generated_head_alias
wh ch720n	SONY	WH_CH	WH_CH720N	HEADPHONES	70	ru/en	generated_head_alias
wh-ch720n	SONY	WH_CH	WH_CH720N	HEADPHONES	70	ru/en	generated_head_alias
сони wh ch720n	SONY	WH_CH	WH_CH720N	HEADPHONES	70	ru/en	generated_head_alias
SRS-XB100	SONY	SRS	SRS_XB100	SPEAKER	70	ru/en	generated_head_alias
SRSXB100	SONY	SRS	SRS_XB100	SPEAKER	70	ru/en	generated_head_alias
srs xb100	SONY	SRS	SRS_XB100	SPEAKER	70	ru/en	generated_head_alias
srs-xb100	SONY	SRS	SRS_XB100	SPEAKER	70	ru/en	generated_head_alias
сони srs xb100	SONY	SRS	SRS_XB100	SPEAKER	70	ru/en	generated_head_alias
HT-S2000	SONY	HT	HT_S2000	SOUNDBAR	70	ru/en	generated_head_alias
HTS2000	SONY	HT	HT_S2000	SOUNDBAR	70	ru/en	generated_head_alias
ht s2000	SONY	HT	HT_S2000	SOUNDBAR	70	ru/en	generated_head_alias
ht-s2000	SONY	HT	HT_S2000	SOUNDBAR	70	ru/en	generated_head_alias
сони ht s2000	SONY	HT	HT_S2000	SOUNDBAR	70	ru/en	generated_head_alias
QuietComfort Ultra Headphones 2nd Gen	BOSE	QUIETCOMFORT	QUIETCOMFORT_ULTRA_HEADPHONES_2	HEADPHONES	70	ru/en	generated_head_alias
qc ultra headphones 2nd gen	BOSE	QUIETCOMFORT	QUIETCOMFORT_ULTRA_HEADPHONES_2	HEADPHONES	70	ru/en	generated_head_alias
quietcomfort ultra headphones 2nd gen	BOSE	QUIETCOMFORT	QUIETCOMFORT_ULTRA_HEADPHONES_2	HEADPHONES	70	ru/en	generated_head_alias
quietcomfortultraheadphones2ndgen	BOSE	QUIETCOMFORT	QUIETCOMFORT_ULTRA_HEADPHONES_2	HEADPHONES	70	ru/en	generated_head_alias
боуз quietcomfort ultra headphones 2nd gen	BOSE	QUIETCOMFORT	QUIETCOMFORT_ULTRA_HEADPHONES_2	HEADPHONES	70	ru/en	generated_head_alias
QuietComfort Headphones	BOSE	QUIETCOMFORT	QUIETCOMFORT_HEADPHONES	HEADPHONES	70	ru/en	generated_head_alias
qc headphones	BOSE	QUIETCOMFORT	QUIETCOMFORT_HEADPHONES	HEADPHONES	70	ru/en	generated_head_alias
quietcomfort headphones	BOSE	QUIETCOMFORT	QUIETCOMFORT_HEADPHONES	HEADPHONES	70	ru/en	generated_head_alias
quietcomfortheadphones	BOSE	QUIETCOMFORT	QUIETCOMFORT_HEADPHONES	HEADPHONES	70	ru/en	generated_head_alias
боуз quietcomfort headphones	BOSE	QUIETCOMFORT	QUIETCOMFORT_HEADPHONES	HEADPHONES	70	ru/en	generated_head_alias
QuietComfort Ultra Earbuds	BOSE	QUIETCOMFORT_EARBUDS	QUIETCOMFORT_ULTRA_EARBUDS	EARBUDS	70	ru/en	generated_head_alias
qc ultra earbuds	BOSE	QUIETCOMFORT_EARBUDS	QUIETCOMFORT_ULTRA_EARBUDS	EARBUDS	70	ru/en	generated_head_alias
quietcomfort ultra earbuds	BOSE	QUIETCOMFORT_EARBUDS	QUIETCOMFORT_ULTRA_EARBUDS	EARBUDS	70	ru/en	generated_head_alias
quietcomfortultraearbuds	BOSE	QUIETCOMFORT_EARBUDS	QUIETCOMFORT_ULTRA_EARBUDS	EARBUDS	70	ru/en	generated_head_alias
боуз quietcomfort ultra earbuds	BOSE	QUIETCOMFORT_EARBUDS	QUIETCOMFORT_ULTRA_EARBUDS	EARBUDS	70	ru/en	generated_head_alias
SoundLink Flex	BOSE	SOUNDLINK	SOUNDLINK_FLEX	SPEAKER	70	ru/en	generated_head_alias
soundlink flex	BOSE	SOUNDLINK	SOUNDLINK_FLEX	SPEAKER	70	ru/en	generated_head_alias
soundlinkflex	BOSE	SOUNDLINK	SOUNDLINK_FLEX	SPEAKER	70	ru/en	generated_head_alias
боуз soundlink flex	BOSE	SOUNDLINK	SOUNDLINK_FLEX	SPEAKER	70	ru/en	generated_head_alias
Bose Smart Soundbar	BOSE	SMART_SOUNDBAR	BOSE_SMART_SOUNDBAR	SOUNDBAR	70	ru/en	generated_head_alias
bose smart soundbar	BOSE	SMART_SOUNDBAR	BOSE_SMART_SOUNDBAR	SOUNDBAR	70	ru/en	generated_head_alias
bosesmartsoundbar	BOSE	SMART_SOUNDBAR	BOSE_SMART_SOUNDBAR	SOUNDBAR	70	ru/en	generated_head_alias
боуз bose smart soundbar	BOSE	SMART_SOUNDBAR	BOSE_SMART_SOUNDBAR	SOUNDBAR	70	ru/en	generated_head_alias
JBL Flip 7	JBL	FLIP	FLIP_7	SPEAKER	70	ru/en	generated_head_alias
flip 7	JBL	FLIP	FLIP_7	SPEAKER	70	ru/en	generated_head_alias
