alias	target_field	target_value	locale	confidence	notes
видеокамера sony handycam	camera_type	CAMCORDER	ru/mixed	0.92	
камкордер	camera_type	CAMCORDER	ru/mixed	0.92	
профессиональная видеокамера	camera_type	CAMCORDER	ru/mixed	0.92	
камера для влога	camera_type	CAMCORDER	ru/mixed	0.92	
зеркальный фотоаппарат	camera_type	DSLR_CAMERA	ru/mixed	0.92	
зеркалка canon	camera_type	DSLR_CAMERA	ru/mixed	0.92	
dslr nikon	camera_type	DSLR_CAMERA	ru/mixed	0.92	
крышка объектива	camera_accessory_type	LENS_CAP	ru/mixed	0.92	
бленда объектива	camera_accessory_type	LENS_HOOD	ru/mixed	0.92	
фильтр 67мм	camera_accessory_type	FILTER	ru/mixed	0.92	
nd фильтр	camera_accessory_type	ND_FILTER	ru/mixed	0.92	
uv фильтр	camera_accessory_type	UV_FILTER	ru/mixed	0.92	
cpl фильтр	camera_accessory_type	CPL_FILTER	ru/mixed	0.92	
аккумулятор np-fz100	camera_accessory_type	CAMERA_BATTERY	ru/mixed	0.92	
аккумулятор lp-e6nh	camera_accessory_type	CAMERA_BATTERY	ru/mixed	0.92	
зарядка для фотоаппарата	camera_accessory_type	CAMERA_CHARGER	ru/mixed	0.92	
пульт спуска камеры	camera_accessory_type	CAMERA_REMOTE	ru/mixed	0.92	
накамерный микрофон	camera_accessory_type	CAMERA_MICROPHONE	ru/mixed	0.92	
клетка smallrig	camera_accessory_type	CAMERA_CAGE_RIG	ru/mixed	0.92	
риг для камеры	camera_accessory_type	CAMERA_CAGE_RIG	ru/mixed	0.92	
field monitor	camera_accessory_type	CAMERA_MONITOR	ru/mixed	0.92	
накамерный монитор	camera_accessory_type	CAMERA_MONITOR	ru/mixed	0.92	
аккумулятор dji mavic	camera_accessory_type	DRONE_BATTERY	ru/mixed	0.92	
пропеллеры dji	camera_accessory_type	DRONE_PROPELLER	ru/mixed	0.92	
пульт dji rc	camera_accessory_type	DRONE_REMOTE	ru/mixed	0.92	
dji goggles	camera_accessory_type	DRONE_GOGGLES	ru/mixed	0.92	
бинокль nikon	camera_type	BINOCULARS_TELESCOPE	ru/mixed	0.92	
телескоп celestron	camera_type	BINOCULARS_TELESCOPE	ru/mixed	0.92	
подзорная труба	camera_type	BINOCULARS_TELESCOPE	ru/mixed	0.92	
skywatcher	brand	SKY_WATCHER	ru/mixed	0.9	
скай вотчер	brand	SKY_WATCHER	ru/mixed	0.9	
бушнелл	brand	BUSHNELL	ru/mixed	0.9	
meade telescope	brand	MEADE	ru/mixed	0.9	
телескоп meade	brand	MEADE	ru/mixed	0.9	
vixen telescope	brand	VIXEN	ru/mixed	0.9	
