query	expected_categoryCode	expected_camera_type	locale	notes
canon 5d mark iv body	TECH.CAMERAS_DRONES	DSLR_CAMERA	ru/mixed	delta coverage
nikon d850 body	TECH.CAMERAS_DRONES	DSLR_CAMERA	ru/mixed	delta coverage
зеркалка canon 90d	TECH.CAMERAS_DRONES	DSLR_CAMERA	ru/mixed	delta coverage
pentax k1 mark ii	TECH.CAMERAS_DRONES	DSLR_CAMERA	ru/mixed	delta coverage
sony handycam ax43	TECH.CAMERAS_DRONES	CAMCORDER	ru/mixed	delta coverage
canon vixia hf g70	TECH.CAMERAS_DRONES	CAMCORDER	ru/mixed	delta coverage
panasonic hc x1500 видеокамера	TECH.CAMERAS_DRONES	CAMCORDER	ru/mixed	delta coverage
blackmagic pocket cinema 6k pro	TECH.CAMERAS_DRONES	CAMCORDER	ru/mixed	delta coverage
dji osmo pocket 3	TECH.CAMERAS_DRONES	CAMCORDER	ru/mixed	delta coverage
аккумулятор np-fz100 sony	TECH.CAMERAS_DRONES	CAMERA_ACCESSORY	ru/mixed	delta coverage
lp-e6nh canon аккумулятор	TECH.CAMERAS_DRONES	CAMERA_ACCESSORY	ru/mixed	delta coverage
nd фильтр 67мм	TECH.CAMERAS_DRONES	CAMERA_ACCESSORY	ru/mixed	delta coverage
uv фильтр для объектива	TECH.CAMERAS_DRONES	CAMERA_ACCESSORY	ru/mixed	delta coverage
smallrig cage sony a7 iv	TECH.CAMERAS_DRONES	CAMERA_ACCESSORY	ru/mixed	delta coverage
rode videomic go ii для камеры	TECH.CAMERAS_DRONES	CAMERA_ACCESSORY	ru/mixed	delta coverage
atomos ninja v	TECH.CAMERAS_DRONES	CAMERA_ACCESSORY	ru/mixed	delta coverage
dji mavic 3 battery	TECH.CAMERAS_DRONES	CAMERA_ACCESSORY	ru/mixed	delta coverage
dji goggles 3 fpv	TECH.CAMERAS_DRONES	CAMERA_ACCESSORY	ru/mixed	delta coverage
celestron nexstar 8se	TECH.CAMERAS_DRONES	BINOCULARS_TELESCOPE	ru/mixed	delta coverage
sky watcher 200p	TECH.CAMERAS_DRONES	BINOCULARS_TELESCOPE	ru/mixed	delta coverage
nikon aculon a211 10x50	TECH.CAMERAS_DRONES	BINOCULARS_TELESCOPE	ru/mixed	delta coverage
бинокль bushnell 10x50	TECH.CAMERAS_DRONES	BINOCULARS_TELESCOPE	ru/mixed	delta coverage
подзорная труба celestron	TECH.CAMERAS_DRONES	BINOCULARS_TELESCOPE	ru/mixed	delta coverage
веб камера logitech c920	TECH.COMPUTER_ACCESSORIES		ru/mixed	negative route
камера видеонаблюдения xiaomi	TECH.SMART_HOME_SECURITY		ru/mixed	negative route
видеорегистратор автомобильный 4k	TECH.CAR_ELECTRONICS_GPS		ru/mixed	negative route
карта памяти sd 128gb	TECH.STORAGE_MEMORY		ru/mixed	negative route
кабель hdmi для камеры	TECH.POWER_CHARGING_CABLES		ru/mixed	negative route
