brand	family	model	model_code	camera_type	sensor_format	lens_mount	kind	evidence_policy	notes
CANON	EOS_D	EOS 5D Mark IV	CANON_EOS_5D_MARK_IV	DSLR_CAMERA	FULL_FRAME	CANON_EF	body	HEAD_DELTA_REPRESENTATIVE_NOT_FULL_REGISTRY	Head delta for weak type coverage
CANON	EOS_D	EOS 90D	CANON_EOS_90D	DSLR_CAMERA	APS_C	CANON_EF	body	HEAD_DELTA_REPRESENTATIVE_NOT_FULL_REGISTRY	Head delta for weak type coverage
NIKON	D_SERIES	D850	NIKON_D850	DSLR_CAMERA	FULL_FRAME	NIKON_F	body	HEAD_DELTA_REPRESENTATIVE_NOT_FULL_REGISTRY	Head delta for weak type coverage
NIKON	D_SERIES	D7500	NIKON_D7500	DSLR_CAMERA	APS_C	NIKON_F	body	HEAD_DELTA_REPRESENTATIVE_NOT_FULL_REGISTRY	Head delta for weak type coverage
PENTAX	K_SERIES	K-1 Mark II	PENTAX_K1_MARK_II	DSLR_CAMERA	FULL_FRAME	PENTAX_K	body	HEAD_DELTA_REPRESENTATIVE_NOT_FULL_REGISTRY	Head delta for weak type coverage
SONY	HANDYCAM	FDR-AX43A	SONY_FDR_AX43A	CAMCORDER		FIXED_LENS	camcorder	HEAD_DELTA_REPRESENTATIVE_NOT_FULL_REGISTRY	Head delta for weak type coverage
CANON	VIXIA	HF G70	CANON_VIXIA_HF_G70	CAMCORDER		FIXED_LENS	camcorder	HEAD_DELTA_REPRESENTATIVE_NOT_FULL_REGISTRY	Head delta for weak type coverage
PANASONIC_LUMIX	HC	HC-X1500	PANASONIC_HC_X1500	CAMCORDER		FIXED_LENS	camcorder	HEAD_DELTA_REPRESENTATIVE_NOT_FULL_REGISTRY	Head delta for weak type coverage
BLACKMAGIC_DESIGN	POCKET_CINEMA	Pocket Cinema Camera 6K Pro	BLACKMAGIC_POCKET_CINEMA_6K_PRO	CAMCORDER	SUPER_35	CANON_EF	cinema	HEAD_DELTA_REPRESENTATIVE_NOT_FULL_REGISTRY	Head delta for weak type coverage
DJI	OSMO	Osmo Pocket 3	DJI_OSMO_POCKET_3	CAMCORDER		FIXED_LENS	gimbal_camera	HEAD_DELTA_REPRESENTATIVE_NOT_FULL_REGISTRY	Head delta for weak type coverage
CELESTRON	NEXSTAR	NexStar 8SE	CELESTRON_NEXSTAR_8SE	BINOCULARS_TELESCOPE			telescope	HEAD_DELTA_REPRESENTATIVE_NOT_FULL_REGISTRY	Head delta for weak type coverage
SKY_WATCHER	DOBSONIAN	Classic 200P	SKY_WATCHER_CLASSIC_200P	BINOCULARS_TELESCOPE			telescope	HEAD_DELTA_REPRESENTATIVE_NOT_FULL_REGISTRY	Head delta for weak type coverage
NIKON	ACULON	A211 10x50	NIKON_ACULON_A211_10X50	BINOCULARS_TELESCOPE			binoculars	HEAD_DELTA_REPRESENTATIVE_NOT_FULL_REGISTRY	Head delta for weak type coverage
BUSHNELL	POWERVIEW	PowerView 10x50	BUSHNELL_POWERVIEW_10X50	BINOCULARS_TELESCOPE			binoculars	HEAD_DELTA_REPRESENTATIVE_NOT_FULL_REGISTRY	Head delta for weak type coverage
SMALLRIG	CAMERA_CAGE	SmallRig Cage for Sony A7 IV	SMALLRIG_CAGE_SONY_A7_IV	CAMERA_ACCESSORY			cage	HEAD_DELTA_REPRESENTATIVE_NOT_FULL_REGISTRY	Head delta for weak type coverage
RODE	VIDEOMIC	VideoMic GO II	RODE_VIDEOMIC_GO_II	CAMERA_ACCESSORY			microphone	HEAD_DELTA_REPRESENTATIVE_NOT_FULL_REGISTRY	Head delta for weak type coverage
ATOMOS	NINJA	Ninja V	ATOMOS_NINJA_V	CAMERA_ACCESSORY			monitor	HEAD_DELTA_REPRESENTATIVE_NOT_FULL_REGISTRY	Head delta for weak type coverage
GODOX	V_SERIES	V1 Flash	GODOX_V1_FLASH	PHOTO_LIGHTING			flash	HEAD_DELTA_REPRESENTATIVE_NOT_FULL_REGISTRY	Head delta for weak type coverage
DJI	MAVIC_ACCESSORY	Mavic 3 Intelligent Flight Battery	DJI_MAVIC_3_BATTERY	CAMERA_ACCESSORY			drone_battery	HEAD_DELTA_REPRESENTATIVE_NOT_FULL_REGISTRY	Head delta for weak type coverage
DJI	FPV_ACCESSORY	DJI Goggles 3	DJI_GOGGLES_3	CAMERA_ACCESSORY			drone_goggles	HEAD_DELTA_REPRESENTATIVE_NOT_FULL_REGISTRY	Head delta for weak type coverage
