attribute_code	value_code	label_ru	aliases_ru	priority	scope	notes
camera_accessory_type	BATTERY_GRIP	Батарейная ручка	battery grip / батарейный блок / ручка аккумуляторная	80	head_delta	
camera_accessory_type	CAMERA_BATTERY	Аккумулятор камеры	акб фотоаппарата / battery pack / np-fz100 / lp-e6nh / en-el15	80	head_delta	
camera_accessory_type	CAMERA_CHARGER	Зарядное устройство камеры	зарядка для фотоаппарата / charger / dual charger	80	head_delta	
camera_accessory_type	UV_FILTER	UV-фильтр	ультрафиолетовый фильтр / защитный фильтр	80	head_delta	
camera_accessory_type	ND_FILTER	ND-фильтр	нейтральный фильтр / variable nd / nd filter	80	head_delta	
camera_accessory_type	CPL_FILTER	Поляризационный фильтр	поляризационный / cpl / circular polarizer	80	head_delta	
camera_accessory_type	LENS_HOOD	Бленда объектива	бленда / lens hood	80	head_delta	
camera_accessory_type	CAMERA_REMOTE	Пульт/спуск камеры	пульт спуска / remote shutter / intervalometer	80	head_delta	
camera_accessory_type	CAMERA_CLEANING_KIT	Набор чистки камеры	чистка матрицы / cleaning kit / салфетки для оптики	80	head_delta	
camera_accessory_type	CAMERA_MICROPHONE	Микрофон для камеры	накамерный микрофон / shotgun mic / петличка для камеры	80	head_delta	
camera_accessory_type	CAMERA_MONITOR	Накамерный монитор	field monitor / внешний монитор для камеры	80	head_delta	
camera_accessory_type	CAMERA_CAGE_RIG	Клетка/риг для камеры	smallrig cage / cage / rig / плечевой риг	80	head_delta	
camera_accessory_type	DRONE_BATTERY	Аккумулятор дрона	аккумулятор mavic / drone battery / intelligent flight battery	80	head_delta	
camera_accessory_type	DRONE_PROPELLER	Пропеллеры дрона	лопасти дрона / пропеллер dji / propellers	80	head_delta	
camera_accessory_type	DRONE_REMOTE	Пульт дрона	пульт dji / remote controller / rc	80	head_delta	
camera_accessory_type	DRONE_GOGGLES	FPV-очки дрона	dji goggles / fpv goggles / очки fpv	80	head_delta	
camcorder_type	CONSUMER_CAMCORDER	Бытовая видеокамера	handycam / camcorder / видеокамера sony	80	head_delta	
camcorder_type	PRO_CAMCORDER	Профессиональная видеокамера	professional camcorder / broadcast camera	80	head_delta	
camcorder_type	CINEMA_CAMERA	Кинокамера	cinema camera / blackmagic cinema / red komodo	80	head_delta	
camcorder_type	VLOG_CAMERA	Влог-камера	vlog camera / камера для влога	80	head_delta	
optics_type	BINOCULARS	Бинокль	бинокли / binoculars	75	head_delta	
optics_type	TELESCOPE	Телескоп	телескоп астрономический / telescope	75	head_delta	
optics_type	SPOTTING_SCOPE	Зрительная труба	подзорная труба / spotting scope	75	head_delta	
optics_type	RANGEFINDER	Дальномер	laser rangefinder / дальномер	75	head_delta	
brand	SKY_WATCHER	Sky-Watcher	скай вотчер / skywatcher	65	head_delta	Optics/binoculars telescope brand delta
brand	BUSHNELL	Bushnell	бушнелл	65	head_delta	Optics/binoculars telescope brand delta
brand	ATN	ATN	тепловизор atn / ночная оптика atn	65	head_delta	Optics/binoculars telescope brand delta
brand	VIXEN	Vixen	виксен	65	head_delta	Optics/binoculars telescope brand delta
brand	MEADE	Meade	мид	65	head_delta	Optics/binoculars telescope brand delta
