alias	target_field	target_value	locale	confidence	notes
цифровик	camera_type	DIGITAL_CAMERA	ru	0.92	
цифровой фотоаппарат	camera_type	DIGITAL_CAMERA	ru	0.92	
компактная камера	camera_type	DIGITAL_CAMERA	ru	0.92	
мыльница	camera_type	DIGITAL_CAMERA	ru	0.92	
point and shoot	camera_type	DIGITAL_CAMERA	ru	0.92	
compact camera	camera_type	DIGITAL_CAMERA	ru	0.92	
беззеркалка	camera_type	MIRRORLESS_CAMERA	ru	0.92	
беззеркальная камера	camera_type	MIRRORLESS_CAMERA	ru	0.92	
mirrorless	camera_type	MIRRORLESS_CAMERA	ru	0.92	
mirrorless camera	camera_type	MIRRORLESS_CAMERA	ru	0.92	
камера со сменной оптикой	camera_type	MIRRORLESS_CAMERA	ru	0.92	
зеркалка	camera_type	DSLR_CAMERA	ru	0.92	
зеркальный фотоаппарат	camera_type	DSLR_CAMERA	ru	0.92	
dslr	camera_type	DSLR_CAMERA	ru	0.92	
зеркальная камера	camera_type	DSLR_CAMERA	ru	0.92	
экшн камера	camera_type	ACTION_CAMERA	ru	0.92	
action cam	camera_type	ACTION_CAMERA	ru	0.92	
gopro камера	camera_type	ACTION_CAMERA	ru	0.92	
камера для спорта	camera_type	ACTION_CAMERA	ru	0.92	
экшен камера	camera_type	ACTION_CAMERA	ru	0.92	
моментальная камера	camera_type	INSTANT_CAMERA	ru	0.92	
полароид	camera_type	INSTANT_CAMERA	ru	0.92	
instax	camera_type	INSTANT_CAMERA	ru	0.92	
instant camera	camera_type	INSTANT_CAMERA	ru	0.92	
видеокамера	camera_type	CAMCORDER	ru	0.92	
камкордер	camera_type	CAMCORDER	ru	0.92	
camcorder	camera_type	CAMCORDER	ru	0.92	
video camera	camera_type	CAMCORDER	ru	0.92	
дрон	camera_type	DRONE	ru	0.92	
квадрокоптер	camera_type	DRONE	ru	0.92	
коптер	camera_type	DRONE	ru	0.92	
беспилотник	camera_type	DRONE	ru	0.92	
drone	camera_type	DRONE	ru	0.92	
fpv drone	camera_type	DRONE	ru	0.92	
объектив	camera_type	LENS	ru	0.92	
линза для камеры	camera_type	LENS	ru	0.92	
lens	camera_type	LENS	ru	0.92	
фотообъектив	camera_type	LENS	ru	0.92	
штатив	camera_type	TRIPOD	ru	0.92	
трипод	camera_type	TRIPOD	ru	0.92	
монопод	camera_type	TRIPOD	ru	0.92	
tripod	camera_type	TRIPOD	ru	0.92	
стойка камеры	camera_type	TRIPOD	ru	0.92	
стабилизатор	camera_type	GIMBAL	ru	0.92	
гимбал	camera_type	GIMBAL	ru	0.92	
gimbal	camera_type	GIMBAL	ru	0.92	
стедикам	camera_type	GIMBAL	ru	0.92	
свет для фото	camera_type	PHOTO_LIGHTING	ru	0.92	
студийный свет	camera_type	PHOTO_LIGHTING	ru	0.92	
видеосвет	camera_type	PHOTO_LIGHTING	ru	0.92	
лампа для съемки	camera_type	PHOTO_LIGHTING	ru	0.92	
photo light	camera_type	PHOTO_LIGHTING	ru	0.92	
бинокль	camera_type	BINOCULARS_TELESCOPE	ru	0.92	
телескоп	camera_type	BINOCULARS_TELESCOPE	ru	0.92	
подзорная труба	camera_type	BINOCULARS_TELESCOPE	ru	0.92	
монокуляр	camera_type	BINOCULARS_TELESCOPE	ru	0.92	
оптика	camera_type	BINOCULARS_TELESCOPE	ru	0.92	
аксессуар для камеры	camera_type	CAMERA_ACCESSORY	ru	0.92	
фото аксессуар	camera_type	CAMERA_ACCESSORY	ru	0.92	
крышка объектива	camera_type	CAMERA_ACCESSORY	ru	0.92	
ремень камеры	camera_type	CAMERA_ACCESSORY	ru	0.92	
фильтр объектива	camera_type	CAMERA_ACCESSORY	ru	0.92	
canon	brand	CANON	ru	0.95	
кэнон	brand	CANON	ru	0.86	
кенон	brand	CANON	ru	0.86	
sony	brand	SONY	ru	0.95	
сони	brand	SONY	ru	0.86	
nikon	brand	NIKON	ru	0.95	
никон	brand	NIKON	ru	0.86	
fujifilm	brand	FUJIFILM	ru	0.95	
фуджи	brand	FUJIFILM	ru	0.86	
фуджифильм	brand	FUJIFILM	ru	0.86	
panasonic lumix	brand	PANASONIC_LUMIX	ru	0.95	
панасоник	brand	PANASONIC_LUMIX	ru	0.86	
люмикс	brand	PANASONIC_LUMIX	ru	0.86	
om system / olympus	brand	OM_SYSTEM	ru	0.95	
олимпус	brand	OM_SYSTEM	ru	0.86	
om	brand	OM_SYSTEM	ru	0.86	
leica	brand	LEICA	ru	0.95	
лейка	brand	LEICA	ru	0.86	
sigma	brand	SIGMA	ru	0.95	
сигма	brand	SIGMA	ru	0.86	
tamron	brand	TAMRON	ru	0.95	
тамрон	brand	TAMRON	ru	0.86	
dji	brand	DJI	ru	0.95	
диджей ай	brand	DJI	ru	0.86	
джи ай	brand	DJI	ru	0.86	
gopro	brand	GOPRO	ru	0.95	
го про	brand	GOPRO	ru	0.86	
insta360	brand	INSTA360	ru	0.95	
инста360	brand	INSTA360	ru	0.86	
blackmagic design	brand	BLACKMAGIC_DESIGN	ru	0.95	
блэкмэджик	brand	BLACKMAGIC_DESIGN	ru	0.86	
блекмеджик	brand	BLACKMAGIC_DESIGN	ru	0.86	
red	brand	RED	ru	0.95	
red cinema	brand	RED	ru	0.86	
hasselblad	brand	HASSELBLAD	ru	0.95	
хассельблад	brand	HASSELBLAD	ru	0.86	
pentax	brand	PENTAX	ru	0.95	
пентакс	brand	PENTAX	ru	0.86	
ricoh	brand	RICOH	ru	0.95	
рико	brand	RICOH	ru	0.86	
polaroid	brand	POLAROID	ru	0.95	
полароид	brand	POLAROID	ru	0.86	
kodak	brand	KODAK	ru	0.95	
кодак	brand	KODAK	ru	0.86	
manfrotto	brand	MANFROTTO	ru	0.95	
манфротто	brand	MANFROTTO	ru	0.86	
smallrig	brand	SMALLRIG	ru	0.95	
смолриг	brand	SMALLRIG	ru	0.86	
zhiyun	brand	ZHIYUN	ru	0.95	
жиюн	brand	ZHIYUN	ru	0.86	
moza	brand	MOZA	ru	0.95	
моза	brand	MOZA	ru	0.86	
godox	brand	GODOX	ru	0.95	
годокс	brand	GODOX	ru	0.86	
aputure	brand	APUTURE	ru	0.95	
апутур	brand	APUTURE	ru	0.86	
nanlite	brand	NANLITE	ru	0.95	
нанлайт	brand	NANLITE	ru	0.86	
rode	brand	RODE	ru	0.95	
род	brand	RODE	ru	0.86	
sirui	brand	SIRUI	ru	0.95	
сируи	brand	SIRUI	ru	0.86	
benro	brand	BENRO	ru	0.95	
бенро	brand	BENRO	ru	0.86	
vanguard	brand	VANGUARD	ru	0.95	
вангард	brand	VANGUARD	ru	0.86	
cullmann	brand	CULLMANN	ru	0.95	
кульман	brand	CULLMANN	ru	0.86	
joby	brand	JOBY	ru	0.95	
джоби	brand	JOBY	ru	0.86	
peak design	brand	PEAK_DESIGN	ru	0.95	
пик дизайн	brand	PEAK_DESIGN	ru	0.86	
lowepro	brand	LOWEPRO	ru	0.95	
лоупро	brand	LOWEPRO	ru	0.86	
nisi	brand	NISI	ru	0.95	
ниси	brand	NISI	ru	0.86	
hoya	brand	HOYA	ru	0.95	
хоя	brand	HOYA	ru	0.86	
viltrox	brand	VILTROX	ru	0.95	
вилтрокс	brand	VILTROX	ru	0.86	
samyang	brand	SAMYANG	ru	0.95	
самьянг	brand	SAMYANG	ru	0.86	
laowa	brand	LAOWA	ru	0.95	
лаова	brand	LAOWA	ru	0.86	
