camera_type	facet	role	required_for_publish	notes
DIGITAL_CAMERA	brand	primary	false	type facet coverage
DIGITAL_CAMERA	condition	primary	false	type facet coverage
DIGITAL_CAMERA	sensor_format	type_specific	false	type facet coverage
DIGITAL_CAMERA	optical_zoom_x	type_specific	false	type facet coverage
DIGITAL_CAMERA	video_resolution_max	type_specific	false	type facet coverage
DIGITAL_CAMERA	price	primary	false	type facet coverage
MIRRORLESS_CAMERA	brand	primary	false	type facet coverage
MIRRORLESS_CAMERA	condition	primary	false	type facet coverage
MIRRORLESS_CAMERA	sensor_format	type_specific	false	type facet coverage
MIRRORLESS_CAMERA	lens_mount	type_specific	false	type facet coverage
MIRRORLESS_CAMERA	sensor_resolution_mp	type_specific	false	type facet coverage
MIRRORLESS_CAMERA	video_resolution_max	type_specific	false	type facet coverage
MIRRORLESS_CAMERA	shutter_count	type_specific	false	type facet coverage
DSLR_CAMERA	brand	primary	false	type facet coverage
DSLR_CAMERA	condition	primary	false	type facet coverage
DSLR_CAMERA	sensor_format	type_specific	false	type facet coverage
DSLR_CAMERA	lens_mount	type_specific	false	type facet coverage
DSLR_CAMERA	shutter_count	type_specific	false	type facet coverage
DSLR_CAMERA	price	primary	false	type facet coverage
ACTION_CAMERA	brand	primary	false	type facet coverage
ACTION_CAMERA	condition	primary	false	type facet coverage
ACTION_CAMERA	video_resolution_max	type_specific	false	type facet coverage
ACTION_CAMERA	waterproof_rating	type_specific	false	type facet coverage
ACTION_CAMERA	stabilization_type	type_specific	false	type facet coverage
ACTION_CAMERA	price	primary	false	type facet coverage
INSTANT_CAMERA	brand	primary	false	type facet coverage
INSTANT_CAMERA	condition	primary	false	type facet coverage
INSTANT_CAMERA	film_format	type_specific	false	type facet coverage
INSTANT_CAMERA	color_family	type_specific	false	type facet coverage
INSTANT_CAMERA	price	primary	false	type facet coverage
CAMCORDER	brand	primary	false	type facet coverage
CAMCORDER	condition	primary	false	type facet coverage
CAMCORDER	video_resolution_max	type_specific	false	type facet coverage
CAMCORDER	sensor_format	type_specific	false	type facet coverage
CAMCORDER	recording_format	type_specific	false	type facet coverage
CAMCORDER	price	primary	false	type facet coverage
DRONE	brand	primary	false	type facet coverage
DRONE	condition	primary	false	type facet coverage
DRONE	drone_weight_g	type_specific	false	type facet coverage
DRONE	drone_flight_time_min	type_specific	false	type facet coverage
DRONE	obstacle_avoidance	type_specific	false	type facet coverage
DRONE	remote_controller_included	type_specific	false	type facet coverage
DRONE	price	primary	false	type facet coverage
LENS	brand	primary	false	type facet coverage
LENS	condition	primary	false	type facet coverage
LENS	lens_mount	type_specific	false	type facet coverage
LENS	camera_lens_type	type_specific	false	type facet coverage
LENS	focal_length_mm	type_specific	false	type facet coverage
LENS	aperture_range	type_specific	false	type facet coverage
LENS	price	primary	false	type facet coverage
TRIPOD	brand	primary	false	type facet coverage
TRIPOD	condition	primary	false	type facet coverage
TRIPOD	tripod_head_type	type_specific	false	type facet coverage
TRIPOD	max_load_kg	type_specific	false	type facet coverage
TRIPOD	folded_length_cm	type_specific	false	type facet coverage
TRIPOD	price	primary	false	type facet coverage
GIMBAL	brand	primary	false	type facet coverage
GIMBAL	condition	primary	false	type facet coverage
GIMBAL	gimbal_axis_count	type_specific	false	type facet coverage
GIMBAL	max_load_kg	type_specific	false	type facet coverage
GIMBAL	connectivity	type_specific	false	type facet coverage
GIMBAL	price	primary	false	type facet coverage
PHOTO_LIGHTING	brand	primary	false	type facet coverage
PHOTO_LIGHTING	condition	primary	false	type facet coverage
PHOTO_LIGHTING	light_type	type_specific	false	type facet coverage
PHOTO_LIGHTING	light_power_w	type_specific	false	type facet coverage
PHOTO_LIGHTING	color_temperature_k	type_specific	false	type facet coverage
PHOTO_LIGHTING	price	primary	false	type facet coverage
BINOCULARS_TELESCOPE	brand	primary	false	type facet coverage
BINOCULARS_TELESCOPE	condition	primary	false	type facet coverage
BINOCULARS_TELESCOPE	binocular_magnification	type_specific	false	type facet coverage
BINOCULARS_TELESCOPE	objective_diameter_mm	type_specific	false	type facet coverage
BINOCULARS_TELESCOPE	price	primary	false	type facet coverage
CAMERA_ACCESSORY	brand	primary	false	type facet coverage
CAMERA_ACCESSORY	condition	primary	false	type facet coverage
CAMERA_ACCESSORY	accessory_type	type_specific	false	type facet coverage
CAMERA_ACCESSORY	filter_diameter_mm	type_specific	false	type facet coverage
CAMERA_ACCESSORY	price	primary	false	type facet coverage
