alias	target_model_code	confidence	locale	notes
eosr5markii	CANON_EOS_R5_MARK_II	0.9	mixed	generated head model alias
eos r5 mk ii	CANON_EOS_R5_MARK_II	0.9	mixed	generated head model alias
eos r5 mark ii	CANON_EOS_R5_MARK_II	0.9	mixed	generated head model alias
eos r6 mk ii	CANON_EOS_R6_MARK_II	0.9	mixed	generated head model alias
eos r6 mark ii	CANON_EOS_R6_MARK_II	0.9	mixed	generated head model alias
eosr6markii	CANON_EOS_R6_MARK_II	0.9	mixed	generated head model alias
eos r8	CANON_EOS_R8	0.9	mixed	generated head model alias
eosr8	CANON_EOS_R8	0.9	mixed	generated head model alias
eosr50	CANON_EOS_R50	0.9	mixed	generated head model alias
eos r50	CANON_EOS_R50	0.9	mixed	generated head model alias
powershot g7 x mark iii	CANON_G7X_MARK_III	0.9	mixed	generated head model alias
powershot g7 x mk iii	CANON_G7X_MARK_III	0.9	mixed	generated head model alias
powershotg7xmarkiii	CANON_G7X_MARK_III	0.9	mixed	generated head model alias
alpha a7 iv	SONY_A7_IV	0.9	mixed	generated head model alias
alphaa7iv	SONY_A7_IV	0.9	mixed	generated head model alias
aa7 iv	SONY_A7_IV	0.9	mixed	generated head model alias
alphaa7rv	SONY_A7R_V	0.9	mixed	generated head model alias
aa7r v	SONY_A7R_V	0.9	mixed	generated head model alias
alpha a7r v	SONY_A7R_V	0.9	mixed	generated head model alias
alphaa6700	SONY_A6700	0.9	mixed	generated head model alias
alpha a6700	SONY_A6700	0.9	mixed	generated head model alias
aa6700	SONY_A6700	0.9	mixed	generated head model alias
zv-e10ii	SONY_ZV_E10_II	0.9	mixed	generated head model alias
zv-e10 ii	SONY_ZV_E10_II	0.9	mixed	generated head model alias
zv e10 ii	SONY_ZV_E10_II	0.9	mixed	generated head model alias
rx100 vii	SONY_RX100_VII	0.9	mixed	generated head model alias
rx100vii	SONY_RX100_VII	0.9	mixed	generated head model alias
z8	NIKON_Z8	0.9	mixed	generated head model alias
z6iii	NIKON_Z6_III	0.9	mixed	generated head model alias
z6 iii	NIKON_Z6_III	0.9	mixed	generated head model alias
z50ii	NIKON_Z50_II	0.9	mixed	generated head model alias
z50 ii	NIKON_Z50_II	0.9	mixed	generated head model alias
d850	NIKON_D850	0.9	mixed	generated head model alias
x-t5	FUJIFILM_X_T5	0.9	mixed	generated head model alias
x t5	FUJIFILM_X_T5	0.9	mixed	generated head model alias
x100vi	FUJIFILM_X100VI	0.9	mixed	generated head model alias
gfx 100s ii	FUJIFILM_GFX_100S_II	0.9	mixed	generated head model alias
gfx100sii	FUJIFILM_GFX_100S_II	0.9	mixed	generated head model alias
lumixs5ii	PANASONIC_LUMIX_S5II	0.9	mixed	generated head model alias
люмикс s5ii	PANASONIC_LUMIX_S5II	0.9	mixed	generated head model alias
lumix s5ii	PANASONIC_LUMIX_S5II	0.9	mixed	generated head model alias
lumixgh7	PANASONIC_LUMIX_GH7	0.9	mixed	generated head model alias
lumix gh7	PANASONIC_LUMIX_GH7	0.9	mixed	generated head model alias
люмикс gh7	PANASONIC_LUMIX_GH7	0.9	mixed	generated head model alias
om-1markii	OM_SYSTEM_OM1_MARK_II	0.9	mixed	generated head model alias
om 1 mark ii	OM_SYSTEM_OM1_MARK_II	0.9	mixed	generated head model alias
om-1 mark ii	OM_SYSTEM_OM1_MARK_II	0.9	mixed	generated head model alias
om-1 mk ii	OM_SYSTEM_OM1_MARK_II	0.9	mixed	generated head model alias
q3	LEICA_Q3	0.9	mixed	generated head model alias
griii	RICOH_GR_III	0.9	mixed	generated head model alias
gr iii	RICOH_GR_III	0.9	mixed	generated head model alias
pocket cinema camera 6k pro	BLACKMAGIC_POCKET_6K_PRO	0.9	mixed	generated head model alias
pocketcinemacamera6kpro	BLACKMAGIC_POCKET_6K_PRO	0.9	mixed	generated head model alias
hero13 black	GOPRO_HERO13_BLACK	0.9	mixed	generated head model alias
hero13black	GOPRO_HERO13_BLACK	0.9	mixed	generated head model alias
hero12 black	GOPRO_HERO12_BLACK	0.9	mixed	generated head model alias
hero12black	GOPRO_HERO12_BLACK	0.9	mixed	generated head model alias
x4	INSTA360_X4	0.9	mixed	generated head model alias
acepro2	INSTA360_ACE_PRO_2	0.9	mixed	generated head model alias
ace pro 2	INSTA360_ACE_PRO_2	0.9	mixed	generated head model alias
osmoaction5pro	DJI_OSMO_ACTION_5_PRO	0.9	mixed	generated head model alias
osmo action 5 pro	DJI_OSMO_ACTION_5_PRO	0.9	mixed	generated head model alias
osmopocket3	DJI_OSMO_POCKET_3	0.9	mixed	generated head model alias
osmo pocket 3	DJI_OSMO_POCKET_3	0.9	mixed	generated head model alias
mavic 4 pro	DJI_MAVIC_4_PRO	0.9	mixed	generated head model alias
mavic4pro	DJI_MAVIC_4_PRO	0.9	mixed	generated head model alias
mavic3pro	DJI_MAVIC_3_PRO	0.9	mixed	generated head model alias
mavic 3 pro	DJI_MAVIC_3_PRO	0.9	mixed	generated head model alias
air 3s	DJI_AIR_3S	0.9	mixed	generated head model alias
air3s	DJI_AIR_3S	0.9	mixed	generated head model alias
mini 4 pro	DJI_MINI_4_PRO	0.9	mixed	generated head model alias
mini4pro	DJI_MINI_4_PRO	0.9	mixed	generated head model alias
avata2	DJI_AVATA_2	0.9	mixed	generated head model alias
avata 2	DJI_AVATA_2	0.9	mixed	generated head model alias
neo	DJI_NEO	0.9	mixed	generated head model alias
now+gen2	POLAROID_NOW_PLUS_GEN_2	0.9	mixed	generated head model alias
now+ gen 2	POLAROID_NOW_PLUS_GEN_2	0.9	mixed	generated head model alias
instax mini 12	FUJIFILM_INSTAX_MINI_12	0.9	mixed	generated head model alias
instaxmini12	FUJIFILM_INSTAX_MINI_12	0.9	mixed	generated head model alias
instax wide 400	FUJIFILM_INSTAX_WIDE_400	0.9	mixed	generated head model alias
instaxwide400	FUJIFILM_INSTAX_WIDE_400	0.9	mixed	generated head model alias
rf24-70mmf/2.8lisusm	CANON_RF_24_70_F28L	0.9	mixed	generated head model alias
rf 24 70mm f/2.8l is usm	CANON_RF_24_70_F28L	0.9	mixed	generated head model alias
rf 24-70mm f/2.8l is usm	CANON_RF_24_70_F28L	0.9	mixed	generated head model alias
rf 50mm f/1.8 stm	CANON_RF_50_F18	0.9	mixed	generated head model alias
rf50mmf/1.8stm	CANON_RF_50_F18	0.9	mixed	generated head model alias
fe 24 70mm f/2.8 gm ii	SONY_FE_24_70_GM_II	0.9	mixed	generated head model alias
fe24-70mmf/2.8gmii	SONY_FE_24_70_GM_II	0.9	mixed	generated head model alias
fe 24-70mm f/2.8 gm ii	SONY_FE_24_70_GM_II	0.9	mixed	generated head model alias
fe 50mm f/1.8	SONY_FE_50_F18	0.9	mixed	generated head model alias
fe50mmf/1.8	SONY_FE_50_F18	0.9	mixed	generated head model alias
nikkorz24-70mmf/2.8s	NIKON_Z_24_70_F28_S	0.9	mixed	generated head model alias
nikkor z 24-70mm f/2.8 s	NIKON_Z_24_70_F28_S	0.9	mixed	generated head model alias
nikkor z 24 70mm f/2.8 s	NIKON_Z_24_70_F28_S	0.9	mixed	generated head model alias
24 70mm f/2.8 dg dn art	SIGMA_24_70_F28_DG_DN_ART	0.9	mixed	generated head model alias
24-70mmf/2.8dgdnart	SIGMA_24_70_F28_DG_DN_ART	0.9	mixed	generated head model alias
24-70mm f/2.8 dg dn art	SIGMA_24_70_F28_DG_DN_ART	0.9	mixed	generated head model alias
28-75mm f/2.8 di iii vxd g2	TAMRON_28_75_F28_G2	0.9	mixed	generated head model alias
28 75mm f/2.8 di iii vxd g2	TAMRON_28_75_F28_G2	0.9	mixed	generated head model alias
28-75mmf/2.8diiiivxdg2	TAMRON_28_75_F28_G2	0.9	mixed	generated head model alias
xf 35mm f/1.4 r	FUJIFILM_XF_35_F14	0.9	mixed	generated head model alias
xf35mmf/1.4r	FUJIFILM_XF_35_F14	0.9	mixed	generated head model alias
af75mmf/1.2xf	VILTROX_75_F12_XF	0.9	mixed	generated head model alias
af 75mm f/1.2 xf	VILTROX_75_F12_XF	0.9	mixed	generated head model alias
rs4	DJI_RS_4	0.9	mixed	generated head model alias
rs 4	DJI_RS_4	0.9	mixed	generated head model alias
rs4pro	DJI_RS_4_PRO	0.9	mixed	generated head model alias
rs 4 pro	DJI_RS_4_PRO	0.9	mixed	generated head model alias
crane4	ZHIYUN_CRANE_4	0.9	mixed	generated head model alias
crane 4	ZHIYUN_CRANE_4	0.9	mixed	generated head model alias
befreeadvanced	MANFROTTO_BEFREE_ADVANCED	0.9	mixed	generated head model alias
befree advanced	MANFROTTO_BEFREE_ADVANCED	0.9	mixed	generated head model alias
gorillapod 3k	JOBY_GORILLAPOD_3K	0.9	mixed	generated head model alias
gorillapod3k	JOBY_GORILLAPOD_3K	0.9	mixed	generated head model alias
v1 flash	GODOX_V1	0.9	mixed	generated head model alias
v1flash	GODOX_V1	0.9	mixed	generated head model alias
ad200pro	GODOX_AD200PRO	0.9	mixed	generated head model alias
