brand	family	model	model_code	camera_type	sensor_format	lens_mount	kind	evidence_policy	notes
CANON	EOS_R	EOS R5 Mark II	CANON_EOS_R5_MARK_II	MIRRORLESS_CAMERA	FULL_FRAME	CANON_RF	body	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
CANON	EOS_R	EOS R6 Mark II	CANON_EOS_R6_MARK_II	MIRRORLESS_CAMERA	FULL_FRAME	CANON_RF	body	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
CANON	EOS_R	EOS R8	CANON_EOS_R8	MIRRORLESS_CAMERA	FULL_FRAME	CANON_RF	body	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
CANON	EOS_R	EOS R50	CANON_EOS_R50	MIRRORLESS_CAMERA	APS_C	CANON_RF	body	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
CANON	POWERSHOT	PowerShot G7 X Mark III	CANON_G7X_MARK_III	DIGITAL_CAMERA	ONE_INCH	FIXED_LENS	fixed_lens	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
SONY	ALPHA	Alpha A7 IV	SONY_A7_IV	MIRRORLESS_CAMERA	FULL_FRAME	SONY_E	body	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
SONY	ALPHA	Alpha A7R V	SONY_A7R_V	MIRRORLESS_CAMERA	FULL_FRAME	SONY_E	body	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
SONY	ALPHA	Alpha A6700	SONY_A6700	MIRRORLESS_CAMERA	APS_C	SONY_E	body	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
SONY	ZV	ZV-E10 II	SONY_ZV_E10_II	MIRRORLESS_CAMERA	APS_C	SONY_E	body	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
SONY	RX	RX100 VII	SONY_RX100_VII	DIGITAL_CAMERA	ONE_INCH	FIXED_LENS	fixed_lens	HEAD_REPRESENTATIVE_NOT_FULL_REGISTRY	Representative head seed; long-tail via runtime_candidates/live_values
