query	expected_categoryCode	expected_camera_type	locale	notes
sony a7 iv body	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	
камера sony a7r v	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	
canon eos r6 mark ii	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	
беззеркалка canon r8	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	
nikon z6 iii kit	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	
fuji x-t5 body	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	
fujifilm x100vi	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	
lumix s5ii	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	
om system om-1 mark ii	TECH.CAMERAS_DRONES	MIRRORLESS_CAMERA	ru	
nikon d850 body	TECH.CAMERAS_DRONES	DSLR_CAMERA	ru	
зеркалка canon 5d mark iv	TECH.CAMERAS_DRONES	DSLR_CAMERA	ru	
canon 6d mark ii	TECH.CAMERAS_DRONES	DSLR_CAMERA	ru	
nikon d750 бу	TECH.CAMERAS_DRONES	DSLR_CAMERA	ru	
зеркальный фотоаппарат nikon	TECH.CAMERAS_DRONES	DSLR_CAMERA	ru	
canon g7x mark iii	TECH.CAMERAS_DRONES	DIGITAL_CAMERA	ru	
sony rx100 vii	TECH.CAMERAS_DRONES	DIGITAL_CAMERA	ru	
ricoh gr iii	TECH.CAMERAS_DRONES	DIGITAL_CAMERA	ru	
kodak pixpro fz55	TECH.CAMERAS_DRONES	DIGITAL_CAMERA	ru	
компактная камера для путешествий	TECH.CAMERAS_DRONES	DIGITAL_CAMERA	ru	
gopro hero 13 black	TECH.CAMERAS_DRONES	ACTION_CAMERA	ru	
gopro hero 12	TECH.CAMERAS_DRONES	ACTION_CAMERA	ru	
insta360 x4	TECH.CAMERAS_DRONES	ACTION_CAMERA	ru	
insta360 ace pro 2	TECH.CAMERAS_DRONES	ACTION_CAMERA	ru	
dji osmo action 5 pro	TECH.CAMERAS_DRONES	ACTION_CAMERA	ru	
экшн камера 4k	TECH.CAMERAS_DRONES	ACTION_CAMERA	ru	
dji mavic 4 pro	TECH.CAMERAS_DRONES	DRONE	ru	
dji mini 4 pro fly more	TECH.CAMERAS_DRONES	DRONE	ru	
dji air 3s	TECH.CAMERAS_DRONES	DRONE	ru	
dji avata 2	TECH.CAMERAS_DRONES	DRONE	ru	
квадрокоптер dji neo	TECH.CAMERAS_DRONES	DRONE	ru	
дрон с камерой 4k	TECH.CAMERAS_DRONES	DRONE	ru	
canon rf 50mm 1.8	TECH.CAMERAS_DRONES	LENS	ru	
sony fe 24-70 gm ii	TECH.CAMERAS_DRONES	LENS	ru	
nikon z 24-70 2.8 s	TECH.CAMERAS_DRONES	LENS	ru	
sigma 24-70 dg dn art sony e	TECH.CAMERAS_DRONES	LENS	ru	
tamron 28-75 g2	TECH.CAMERAS_DRONES	LENS	ru	
объектив fuji xf 35 1.4	TECH.CAMERAS_DRONES	LENS	ru	
штатив manfrotto befree	TECH.CAMERAS_DRONES	TRIPOD	ru	
joby gorillapod 3k	TECH.CAMERAS_DRONES	TRIPOD	ru	
штатив для фотоаппарата	TECH.CAMERAS_DRONES	TRIPOD	ru	
монопод для камеры	TECH.CAMERAS_DRONES	TRIPOD	ru	
dji rs 4 pro	TECH.CAMERAS_DRONES	GIMBAL	ru	
стабилизатор zhiyun crane 4	TECH.CAMERAS_DRONES	GIMBAL	ru	
гимбал для камеры	TECH.CAMERAS_DRONES	GIMBAL	ru	
стедикам dji ronin	TECH.CAMERAS_DRONES	GIMBAL	ru	
godox ad200 pro	TECH.CAMERAS_DRONES	PHOTO_LIGHTING	ru	
aputure ls 300x	TECH.CAMERAS_DRONES	PHOTO_LIGHTING	ru	
nanlite forza 60b ii	TECH.CAMERAS_DRONES	PHOTO_LIGHTING	ru	
кольцевой свет для фото	TECH.CAMERAS_DRONES	PHOTO_LIGHTING	ru	
студийный свет godox	TECH.CAMERAS_DRONES	PHOTO_LIGHTING	ru	
instax mini 12	TECH.CAMERAS_DRONES	INSTANT_CAMERA	ru	
