attribute_code	value_code	label_ru	aliases_ru	priority	scope	notes
camera_type	DIGITAL_CAMERA	Цифровая камера	point-and-shoot / compact digital camera	100	head	
camera_type	MIRRORLESS_CAMERA	Беззеркальная камера	interchangeable lens mirrorless camera	99	head	
camera_type	DSLR_CAMERA	Зеркальная камера	interchangeable lens DSLR camera	98	head	
camera_type	ACTION_CAMERA	Экшн-камера	action camera	97	head	
camera_type	INSTANT_CAMERA	Моментальная камера	instant camera	96	head	
camera_type	CAMCORDER	Видеокамера	camcorder	95	head	
camera_type	DRONE	Дрон	camera drone / UAV	94	head	
camera_type	LENS	Объектив	interchangeable lens	93	head	
camera_type	TRIPOD	Штатив / опора	tripod/support	92	head	
camera_type	GIMBAL	Стабилизатор / гимбал	gimbal/stabilizer	91	head	
camera_type	PHOTO_LIGHTING	Свет / студийное освещение	photo/video lighting	90	head	
camera_type	BINOCULARS_TELESCOPE	Бинокль / телескоп	optics	89	head	
camera_type	CAMERA_ACCESSORY	Аксессуар для камеры	camera accessory	88	head	
brand	CANON	Canon	Кэнон, кенон	80	head	category head brand value
brand	SONY	Sony	Сони	80	head	category head brand value
brand	NIKON	Nikon	Никон	80	head	category head brand value
brand	FUJIFILM	Fujifilm	Фуджи, Фуджифильм	80	head	category head brand value
brand	PANASONIC_LUMIX	Panasonic Lumix	Панасоник, Люмикс	80	head	category head brand value
brand	OM_SYSTEM	OM System / Olympus	Олимпус, OM	80	head	category head brand value
brand	LEICA	Leica	Лейка	80	head	category head brand value
brand	SIGMA	Sigma	Сигма	80	head	category head brand value
brand	TAMRON	Tamron	Тамрон	80	head	category head brand value
brand	DJI	DJI	диджей ай, джи ай	80	head	category head brand value
brand	GOPRO	GoPro	го про	80	head	category head brand value
brand	INSTA360	Insta360	инста360	80	head	category head brand value
brand	BLACKMAGIC_DESIGN	Blackmagic Design	блэкмэджик, блекмеджик	80	head	category head brand value
brand	RED	RED	red cinema	80	head	category head brand value
brand	HASSELBLAD	Hasselblad	хассельблад	80	head	category head brand value
brand	PENTAX	Pentax	пентакс	80	head	category head brand value
brand	RICOH	Ricoh	рико	80	head	category head brand value
brand	POLAROID	Polaroid	полароид	80	head	category head brand value
brand	KODAK	Kodak	кодак	80	head	category head brand value
brand	MANFROTTO	Manfrotto	манфротто	80	head	category head brand value
brand	SMALLRIG	SmallRig	смолриг	80	head	category head brand value
brand	ZHIYUN	Zhiyun	жиюн	80	head	category head brand value
brand	MOZA	Moza	моза	80	head	category head brand value
brand	GODOX	Godox	годокс	80	head	category head brand value
brand	APUTURE	Aputure	апутур	80	head	category head brand value
brand	NANLITE	Nanlite	нанлайт	80	head	category head brand value
brand	RODE	Rode	род	80	head	category head brand value
brand	SIRUI	Sirui	сируи	80	head	category head brand value
brand	BENRO	Benro	бенро	80	head	category head brand value
brand	VANGUARD	Vanguard	вангард	80	head	category head brand value
brand	CULLMANN	Cullmann	кульман	80	head	category head brand value
brand	JOBY	Joby	джоби	80	head	category head brand value
brand	PEAK_DESIGN	Peak Design	пик дизайн	80	head	category head brand value
brand	LOWEPRO	Lowepro	лоупро	80	head	category head brand value
brand	NISI	NiSi	ниси	80	head	category head brand value
brand	HOYA	Hoya	хоя	80	head	category head brand value
brand	VILTROX	Viltrox	вилтрокс	80	head	category head brand value
brand	SAMYANG	Samyang	самьянг	80	head	category head brand value
brand	LAOWA	Laowa	лаова	80	head	category head brand value
sensor_format	FULL_FRAME	Full-frame / 35 мм		70	head	
sensor_format	APS_C	APS-C		70	head	
sensor_format	MICRO_FOUR_THIRDS	Micro Four Thirds		70	head	
sensor_format	MEDIUM_FORMAT	Средний формат		70	head	
sensor_format	ONE_INCH	1 inch		70	head	
sensor_format	ONE_OVER_1_3	1/1.3 inch		70	head	
sensor_format	ONE_OVER_2_3	1/2.3 inch		70	head	
sensor_format	SUPER_35	Super 35		70	head	
sensor_format	UNKNOWN	Не указано		70	head	
lens_mount	CANON_RF	Canon RF		70	head	
lens_mount	CANON_EF	Canon EF		70	head	
lens_mount	SONY_E	Sony E		70	head	
lens_mount	NIKON_Z	Nikon Z		70	head	
lens_mount	FUJIFILM_X	Fujifilm X		70	head	
lens_mount	FUJIFILM_G	Fujifilm G		70	head	
lens_mount	MICRO_FOUR_THIRDS	Micro 4/3		70	head	
lens_mount	LEICA_L	Leica L		70	head	
lens_mount	NIKON_F	Nikon F		70	head	
lens_mount	CANON_EF_M	Canon EF-M		70	head	
lens_mount	FIXED_LENS	Несменный объектив		70	head	
lens_mount	UNKNOWN	Не указано		70	head	
camera_lens_type	PRIME	Фикс-объектив		60	head	
camera_lens_type	ZOOM	Зум-объектив		60	head	
camera_lens_type	TELEPHOTO	Телеобъектив		60	head	
camera_lens_type	WIDE_ANGLE	Широкоугольный		60	head	
camera_lens_type	MACRO	Макро		60	head	
camera_lens_type	FISHEYE	Рыбий глаз		60	head	
camera_lens_type	KIT_ZOOM	Китовый зум		60	head	
camera_lens_type	CINE_LENS	Кинообъектив		60	head	
video_resolution	1080P	Full HD		60	head	
video_resolution	2_7K	2.7K		60	head	
video_resolution	4K	4K		60	head	
video_resolution	5_3K	5.3K		60	head	
video_resolution	6K	6K		60	head	
video_resolution	8K	8K		60	head	
video_resolution	RAW_VIDEO	RAW video		60	head	
video_resolution	UNKNOWN	Не указано		60	head	
stabilization_type	NONE	Нет		60	head	
stabilization_type	LENS_OIS	Стабилизация в объективе		60	head	
stabilization_type	IBIS	IBIS в корпусе		60	head	
stabilization_type	ELECTRONIC	Электронная		60	head	
stabilization_type	GIMBAL	Гимбал		60	head	
stabilization_type	HYBRID	Гибридная		60	head	
autofocus_type	PHASE_DETECTION	Фазовый		50	head	
autofocus_type	CONTRAST	Контрастный		50	head	
autofocus_type	HYBRID_AF	Гибридный		50	head	
autofocus_type	DUAL_PIXEL	Dual Pixel		50	head	
autofocus_type	AI_TRACKING	AI tracking		50	head	
autofocus_type	MANUAL_ONLY	Только ручной		50	head	
viewfinder_type	EVF	Электронный		50	head	
viewfinder_type	OVF	Оптический		50	head	
viewfinder_type	LCD_ONLY	Только экран		50	head	
viewfinder_type	NONE	Нет		50	head	
screen_type	FIXED	Фиксированный		50	head	
screen_type	TILT	Наклонный		50	head	
screen_type	VARI_ANGLE	Поворотный		50	head	
screen_type	TOUCHSCREEN	Сенсорный		50	head	
screen_type	FRONT_FACING	Фронтальный		50	head	
memory_card_type	SD	SD		50	head	
memory_card_type	SD_UHS_II	SD UHS-II		50	head	
memory_card_type	CFEXPRESS_TYPE_A	CFexpress Type A		50	head	
memory_card_type	CFEXPRESS_TYPE_B	CFexpress Type B		50	head	
memory_card_type	MICROSD	microSD		50	head	
memory_card_type	CF_CARD	CompactFlash		50	head	
memory_card_type	INTERNAL	Встроенная память		50	head	
obstacle_avoidance	NONE	Нет		60	head	
obstacle_avoidance	FRONT_ONLY	Спереди		60	head	
obstacle_avoidance	DOWNWARD	Снизу		60	head	
obstacle_avoidance	OMNIDIRECTIONAL	Всенаправленный		60	head	
obstacle_avoidance	ADVANCED	Продвинутый		60	head	
drone_registration_class	UNDER_250G	до 250 г		40	head	
drone_registration_class	C0	C0		40	head	
drone_registration_class	C1	C1		40	head	
drone_registration_class	C2	C2		40	head	
drone_registration_class	C3	C3		40	head	
drone_registration_class	UNKNOWN	Не указано		40	head	
