computer_accessory_type	brand	model_name_text	alias	lang	priority
KEYBOARD	LOGITECH	Logitech MX Keys	logitech mx keys	en	80
KEYBOARD	LOGITECH	Logitech MX Keys	logitech mx keys	en	70
KEYBOARD	LOGITECH	Logitech MX Keys	mx keys	mixed	75
KEYBOARD	LOGITECH	Logitech MX Keys	лоджитек mx keys	ru	65
KEYBOARD	APPLE	Apple Magic Keyboard	apple magic keyboard	en	80
KEYBOARD	APPLE	Apple Magic Keyboard	apple magic keyboard	en	70
KEYBOARD	APPLE	Apple Magic Keyboard	magic keyboard	mixed	75
KEYBOARD	APPLE	Apple Magic Keyboard	эпл magic keyboard	ru	65
KEYBOARD	KEYCHRON	Keychron K2	keychron k2	en	80
KEYBOARD	KEYCHRON	Keychron K2	keychron k2	en	70
KEYBOARD	KEYCHRON	Keychron K3	keychron k3	en	80
KEYBOARD	KEYCHRON	Keychron K3	keychron k3	en	70
KEYBOARD	RAZER	Razer Huntsman	razer huntsman	en	80
KEYBOARD	RAZER	Razer Huntsman	razer huntsman	en	70
KEYBOARD	RAZER	Razer Huntsman	рейзер huntsman	ru	65
KEYBOARD	STEELSERIES	SteelSeries Apex	steelseries apex	en	80
KEYBOARD	STEELSERIES	SteelSeries Apex	steelseries apex	en	70
KEYBOARD	HYPERX	HyperX Alloy	hyperx alloy	en	80
KEYBOARD	HYPERX	HyperX Alloy	hyperx alloy	en	70
KEYBOARD	A4TECH	A4Tech Bloody	a4tech bloody	en	80
KEYBOARD	A4TECH	A4Tech Bloody	a4tech bloody	en	70
MOUSE	LOGITECH	Logitech MX Master 3S	logitech mx master 3s	en	80
MOUSE	LOGITECH	Logitech MX Master 3S	logitech mx master 3s	en	70
MOUSE	LOGITECH	Logitech MX Master 3S	mx master 3s	mixed	75
MOUSE	LOGITECH	Logitech MX Master 3S	лоджитек mx master 3s	ru	65
MOUSE	LOGITECH	Logitech G Pro X Superlight	logitech g pro x superlight	en	80
MOUSE	LOGITECH	Logitech G Pro X Superlight	logitech g pro x superlight	en	70
MOUSE	LOGITECH	Logitech G Pro X Superlight	g pro x superlight	mixed	75
MOUSE	LOGITECH	Logitech G Pro X Superlight	лоджитек g pro x superlight	ru	65
MOUSE	RAZER	Razer DeathAdder V3	razer deathadder v3	en	80
MOUSE	RAZER	Razer DeathAdder V3	razer deathadder v3	en	70
MOUSE	RAZER	Razer DeathAdder V3	рейзер deathadder v3	ru	65
MOUSE	RAZER	Razer Viper	razer viper	en	80
MOUSE	RAZER	Razer Viper	razer viper	en	70
MOUSE	RAZER	Razer Viper	рейзер viper	ru	65
MOUSE	STEELSERIES	SteelSeries Rival	steelseries rival	en	80
MOUSE	STEELSERIES	SteelSeries Rival	steelseries rival	en	70
MOUSE	APPLE	Apple Magic Mouse	apple magic mouse	en	80
MOUSE	APPLE	Apple Magic Mouse	apple magic mouse	en	70
MOUSE	APPLE	Apple Magic Mouse	magic mouse	mixed	75
MOUSE	APPLE	Apple Magic Mouse	эпл magic mouse	ru	65
MOUSE	LOGITECH	Logitech Mx Anywhere	logitech mx anywhere	en	80
MOUSE	LOGITECH	Logitech Mx Anywhere	logitech mx anywhere	en	70
MOUSE	LOGITECH	Logitech Mx Anywhere	mx anywhere	mixed	75
MOUSE	LOGITECH	Logitech Mx Anywhere	лоджитек mx anywhere	ru	65
WEBCAM	LOGITECH	Logitech C920	logitech c920	en	80
WEBCAM	LOGITECH	Logitech C920	logitech c920	en	70
WEBCAM	LOGITECH	Logitech C920	c920	mixed	75
