alias	lang	categoryCode	computer_accessory_type	weight	note
клавиатура	ru	TECH.COMPUTER_ACCESSORIES	KEYBOARD	1.0	
компьютерная клавиатура	ru	TECH.COMPUTER_ACCESSORIES	KEYBOARD	1.0	
механическая клавиатура	ru	TECH.COMPUTER_ACCESSORIES	KEYBOARD	1.0	
беспроводная клавиатура	ru	TECH.COMPUTER_ACCESSORIES	KEYBOARD	1.0	
клава	ru	TECH.COMPUTER_ACCESSORIES	KEYBOARD	1.0	
keyboard	ru	TECH.COMPUTER_ACCESSORIES	KEYBOARD	1.0	
keychron	ru	TECH.COMPUTER_ACCESSORIES	KEYBOARD	1.0	
mx keys	ru	TECH.COMPUTER_ACCESSORIES	KEYBOARD	1.0	
magic keyboard	ru	TECH.COMPUTER_ACCESSORIES	KEYBOARD	1.0	
мышь	ru	TECH.COMPUTER_ACCESSORIES	MOUSE	1.0	
компьютерная мышь	ru	TECH.COMPUTER_ACCESSORIES	MOUSE	1.0	
игровая мышь	ru	TECH.COMPUTER_ACCESSORIES	MOUSE	1.0	
беспроводная мышь	ru	TECH.COMPUTER_ACCESSORIES	MOUSE	1.0	
mouse	ru	TECH.COMPUTER_ACCESSORIES	MOUSE	1.0	
mx master	ru	TECH.COMPUTER_ACCESSORIES	MOUSE	1.0	
g pro x superlight	ru	TECH.COMPUTER_ACCESSORIES	MOUSE	1.0	
deathadder	ru	TECH.COMPUTER_ACCESSORIES	MOUSE	1.0	
комплект клавиатура мышь	ru	TECH.COMPUTER_ACCESSORIES	KEYBOARD_MOUSE_SET	1.0	
набор клавиатура мышь	ru	TECH.COMPUTER_ACCESSORIES	KEYBOARD_MOUSE_SET	1.0	
keyboard mouse combo	ru	TECH.COMPUTER_ACCESSORIES	KEYBOARD_MOUSE_SET	1.0	
комплект logitech	ru	TECH.COMPUTER_ACCESSORIES	KEYBOARD_MOUSE_SET	1.0	
веб камера	ru	TECH.COMPUTER_ACCESSORIES	WEBCAM	1.0	
веб-камера	ru	TECH.COMPUTER_ACCESSORIES	WEBCAM	1.0	
webcam	ru	TECH.COMPUTER_ACCESSORIES	WEBCAM	1.0	
камера для компьютера	ru	TECH.COMPUTER_ACCESSORIES	WEBCAM	1.0	
камера для стрима	ru	TECH.COMPUTER_ACCESSORIES	WEBCAM	1.0	
logitech c920	ru	TECH.COMPUTER_ACCESSORIES	WEBCAM	1.0	
brio 4k	ru	TECH.COMPUTER_ACCESSORIES	WEBCAM	1.0	
док станция	ru	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	1.0	
док-станция	ru	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	1.0	
docking station	ru	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	1.0	
док для ноутбука	ru	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	1.0	
thunderbolt dock	ru	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	1.0	
usb c dock	ru	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	1.0	
usb хаб	ru	TECH.COMPUTER_ACCESSORIES	USB_HUB	1.0	
usb hub	ru	TECH.COMPUTER_ACCESSORIES	USB_HUB	1.0	
юсб хаб	ru	TECH.COMPUTER_ACCESSORIES	USB_HUB	1.0	
концентратор usb	ru	TECH.COMPUTER_ACCESSORIES	USB_HUB	1.0	
type c hub	ru	TECH.COMPUTER_ACCESSORIES	USB_HUB	1.0	
usb c hub	ru	TECH.COMPUTER_ACCESSORIES	USB_HUB	1.0	
подставка для ноутбука	ru	TECH.COMPUTER_ACCESSORIES	LAPTOP_STAND	1.0	
laptop stand	ru	TECH.COMPUTER_ACCESSORIES	LAPTOP_STAND	1.0	
держатель ноутбука	ru	TECH.COMPUTER_ACCESSORIES	LAPTOP_STAND	1.0	
алюминиевая подставка для ноутбука	ru	TECH.COMPUTER_ACCESSORIES	LAPTOP_STAND	1.0	
кронштейн для монитора	ru	TECH.COMPUTER_ACCESSORIES	MONITOR_ARM	1.0	
рука для монитора	ru	TECH.COMPUTER_ACCESSORIES	MONITOR_ARM	1.0	
monitor arm	ru	TECH.COMPUTER_ACCESSORIES	MONITOR_ARM	1.0	
vesa arm	ru	TECH.COMPUTER_ACCESSORIES	MONITOR_ARM	1.0	
настольный кронштейн монитора	ru	TECH.COMPUTER_ACCESSORIES	MONITOR_ARM	1.0	
коврик для мыши	ru	TECH.COMPUTER_ACCESSORIES	MOUSE_PAD	1.0	
mouse pad	ru	TECH.COMPUTER_ACCESSORIES	MOUSE_PAD	1.0	
игровой коврик	ru	TECH.COMPUTER_ACCESSORIES	MOUSE_PAD	1.0	
desk mat	ru	TECH.COMPUTER_ACCESSORIES	MOUSE_PAD	1.0	
коврик на стол	ru	TECH.COMPUTER_ACCESSORIES	MOUSE_PAD	1.0	
стилус	ru	TECH.COMPUTER_ACCESSORIES	STYLUS_PEN	1.0	
stylus	ru	TECH.COMPUTER_ACCESSORIES	STYLUS_PEN	1.0	
surface pen	ru	TECH.COMPUTER_ACCESSORIES	STYLUS_PEN	1.0	
перо для планшета	ru	TECH.COMPUTER_ACCESSORIES	STYLUS_PEN	1.0	
цифровое перо	ru	TECH.COMPUTER_ACCESSORIES	STYLUS_PEN	1.0	
адаптер	ru	TECH.COMPUTER_ACCESSORIES	ADAPTER_DONGLE	1.0	
переходник	ru	TECH.COMPUTER_ACCESSORIES	ADAPTER_DONGLE	1.0	
донгл	ru	TECH.COMPUTER_ACCESSORIES	ADAPTER_DONGLE	1.0	
adapter	ru	TECH.COMPUTER_ACCESSORIES	ADAPTER_DONGLE	1.0	
dongle	ru	TECH.COMPUTER_ACCESSORIES	ADAPTER_DONGLE	1.0	
type c hdmi	ru	TECH.COMPUTER_ACCESSORIES	ADAPTER_DONGLE	1.0	
usb c to hdmi	ru	TECH.COMPUTER_ACCESSORIES	ADAPTER_DONGLE	1.0	
охлаждающая подставка	ru	TECH.COMPUTER_ACCESSORIES	COOLING_PAD	1.0	
подставка с охлаждением	ru	TECH.COMPUTER_ACCESSORIES	COOLING_PAD	1.0	
cooling pad	ru	TECH.COMPUTER_ACCESSORIES	COOLING_PAD	1.0	
кулер для ноутбука	ru	TECH.COMPUTER_ACCESSORIES	COOLING_PAD	1.0	
чехол для macbook	ru	TECH.COMPUTER_ACCESSORIES	COMPUTER_COVER	1.0	
накладка на macbook	ru	TECH.COMPUTER_ACCESSORIES	COMPUTER_COVER	1.0	
защита клавиатуры	ru	TECH.COMPUTER_ACCESSORIES	COMPUTER_COVER	1.0	
hard shell macbook	ru	TECH.COMPUTER_ACCESSORIES	COMPUTER_COVER	1.0	
computer cover	ru	TECH.COMPUTER_ACCESSORIES	COMPUTER_COVER	1.0	
крышка для ноутбука	ru	TECH.COMPUTER_ACCESSORIES	COMPUTER_COVER	1.0	
privacy filter	ru	TECH.COMPUTER_ACCESSORIES	SCREEN_FILTER	1.0	
фильтр приватности	ru	TECH.COMPUTER_ACCESSORIES	SCREEN_FILTER	1.0	
защитная пленка для ноутбука	ru	TECH.COMPUTER_ACCESSORIES	SCREEN_FILTER	1.0	
антишпион для экрана	ru	TECH.COMPUTER_ACCESSORIES	SCREEN_FILTER	1.0	
screen filter	ru	TECH.COMPUTER_ACCESSORIES	SCREEN_FILTER	1.0	
набор для чистки	ru	TECH.COMPUTER_ACCESSORIES	CLEANING_KIT	1.0	
чистка клавиатуры	ru	TECH.COMPUTER_ACCESSORIES	CLEANING_KIT	1.0	
салфетка для монитора	ru	TECH.COMPUTER_ACCESSORIES	CLEANING_KIT	1.0	
спрей для экрана	ru	TECH.COMPUTER_ACCESSORIES	CLEANING_KIT	1.0	
cleaning kit	ru	TECH.COMPUTER_ACCESSORIES	CLEANING_KIT	1.0	
logitech mx keys	en	TECH.COMPUTER_ACCESSORIES	KEYBOARD	0.9	head model alias
Logitech MX Keys	mixed	TECH.COMPUTER_ACCESSORIES	KEYBOARD	0.9	head model alias
apple magic keyboard	en	TECH.COMPUTER_ACCESSORIES	KEYBOARD	0.9	head model alias
Apple Magic Keyboard	mixed	TECH.COMPUTER_ACCESSORIES	KEYBOARD	0.9	head model alias
keychron k2	en	TECH.COMPUTER_ACCESSORIES	KEYBOARD	0.9	head model alias
Keychron K2	mixed	TECH.COMPUTER_ACCESSORIES	KEYBOARD	0.9	head model alias
keychron k3	en	TECH.COMPUTER_ACCESSORIES	KEYBOARD	0.9	head model alias
Keychron K3	mixed	TECH.COMPUTER_ACCESSORIES	KEYBOARD	0.9	head model alias
razer huntsman	en	TECH.COMPUTER_ACCESSORIES	KEYBOARD	0.9	head model alias
Razer Huntsman	mixed	TECH.COMPUTER_ACCESSORIES	KEYBOARD	0.9	head model alias
steelseries apex	en	TECH.COMPUTER_ACCESSORIES	KEYBOARD	0.9	head model alias
SteelSeries Apex	mixed	TECH.COMPUTER_ACCESSORIES	KEYBOARD	0.9	head model alias
hyperx alloy	en	TECH.COMPUTER_ACCESSORIES	KEYBOARD	0.9	head model alias
HyperX Alloy	mixed	TECH.COMPUTER_ACCESSORIES	KEYBOARD	0.9	head model alias
a4tech bloody	en	TECH.COMPUTER_ACCESSORIES	KEYBOARD	0.9	head model alias
A4Tech Bloody	mixed	TECH.COMPUTER_ACCESSORIES	KEYBOARD	0.9	head model alias
logitech mx master 3s	en	TECH.COMPUTER_ACCESSORIES	MOUSE	0.9	head model alias
