computer_accessory_type	attributeCode	coverage_role	show_in_type_surface	validation_mode
KEYBOARD	keyboard_layout	T1_REQUIRED_OR_IMPORTANT	false	optional
KEYBOARD	keyboard_language	T2_HELPFUL	true	optional
KEYBOARD	key_switch_type	T2_HELPFUL	true	optional
KEYBOARD	keyboard_size	T2_HELPFUL	false	optional
KEYBOARD	numpad_present	T2_HELPFUL	true	optional
KEYBOARD	backlight_type	T2_HELPFUL	true	optional
KEYBOARD	connection_type	T1_REQUIRED_OR_IMPORTANT	false	soft_required
KEYBOARD	wireless_standard	T2_HELPFUL	true	optional
MOUSE	mouse_sensor_type	T2_HELPFUL	true	optional
MOUSE	dpi_max	T2_HELPFUL	false	optional
MOUSE	buttons_count	T2_HELPFUL	true	optional
MOUSE	ergonomic_hand	T2_HELPFUL	true	optional
MOUSE	polling_rate_hz	T2_HELPFUL	false	optional
MOUSE	connection_type	T1_REQUIRED_OR_IMPORTANT	true	soft_required
MOUSE	wireless_standard	T2_HELPFUL	true	optional
KEYBOARD_MOUSE_SET	keyboard_layout	T1_REQUIRED_OR_IMPORTANT	false	optional
KEYBOARD_MOUSE_SET	keyboard_language	T2_HELPFUL	true	optional
KEYBOARD_MOUSE_SET	connection_type	T1_REQUIRED_OR_IMPORTANT	true	soft_required
KEYBOARD_MOUSE_SET	wireless_standard	T2_HELPFUL	false	optional
KEYBOARD_MOUSE_SET	color_family	T2_HELPFUL	true	optional
WEBCAM	webcam_resolution	T1_REQUIRED_OR_IMPORTANT	true	optional
WEBCAM	video_fps	T2_HELPFUL	false	optional
WEBCAM	microphone_present	T2_HELPFUL	true	optional
WEBCAM	privacy_shutter	T2_HELPFUL	true	optional
WEBCAM	autofocus	T2_HELPFUL	false	optional
WEBCAM	connector_type	T1_REQUIRED_OR_IMPORTANT	true	soft_required
DOCKING_STATION	connector_type	T1_REQUIRED_OR_IMPORTANT	true	soft_required
DOCKING_STATION	port_set	T1_REQUIRED_OR_IMPORTANT	false	soft_required
DOCKING_STATION	downstream_ports_count	T2_HELPFUL	true	optional
DOCKING_STATION	power_delivery_watts	T2_HELPFUL	true	optional
DOCKING_STATION	max_display_resolution	T2_HELPFUL	false	optional
DOCKING_STATION	ethernet_speed	T2_HELPFUL	true	optional
DOCKING_STATION	compatible_device_type	T1_REQUIRED_OR_IMPORTANT	true	soft_required
USB_HUB	connector_type	T1_REQUIRED_OR_IMPORTANT	false	soft_required
USB_HUB	port_set	T1_REQUIRED_OR_IMPORTANT	true	soft_required
USB_HUB	downstream_ports_count	T2_HELPFUL	true	optional
USB_HUB	power_delivery_watts	T2_HELPFUL	false	optional
USB_HUB	max_display_resolution	T2_HELPFUL	true	optional
LAPTOP_STAND	laptop_size_supported	T2_HELPFUL	true	optional
LAPTOP_STAND	material	T2_HELPFUL	false	optional
LAPTOP_STAND	height_adjustable	T2_HELPFUL	true	optional
LAPTOP_STAND	foldable	T2_HELPFUL	true	optional
LAPTOP_STAND	max_load_kg	T2_HELPFUL	false	optional
MONITOR_ARM	mount_type	T1_REQUIRED_OR_IMPORTANT	true	optional
MONITOR_ARM	vesa_supported	T2_HELPFUL	true	optional
MONITOR_ARM	max_load_kg	T2_HELPFUL	false	optional
MONITOR_ARM	screen_size_supported	T2_HELPFUL	true	optional
MONITOR_ARM	height_adjustable	T2_HELPFUL	true	optional
MOUSE_PAD	material	T2_HELPFUL	false	optional
MOUSE_PAD	dimensions_mm	T2_HELPFUL	true	optional
MOUSE_PAD	color_family	T2_HELPFUL	true	optional
STYLUS_PEN	stylus_protocol	T2_HELPFUL	false	optional
STYLUS_PEN	pressure_levels	T2_HELPFUL	true	optional
STYLUS_PEN	palm_rejection	T2_HELPFUL	true	optional
STYLUS_PEN	compatible_device_type	T1_REQUIRED_OR_IMPORTANT	false	soft_required
STYLUS_PEN	compatible_model_text	T2_HELPFUL	true	optional
ADAPTER_DONGLE	connector_type	T1_REQUIRED_OR_IMPORTANT	true	soft_required
ADAPTER_DONGLE	port_set	T1_REQUIRED_OR_IMPORTANT	false	soft_required
ADAPTER_DONGLE	max_display_resolution	T2_HELPFUL	true	optional
ADAPTER_DONGLE	compatible_device_type	T1_REQUIRED_OR_IMPORTANT	true	soft_required
COOLING_PAD	fan_count	T2_HELPFUL	false	optional
COOLING_PAD	laptop_size_supported	T2_HELPFUL	true	optional
COOLING_PAD	connector_type	T1_REQUIRED_OR_IMPORTANT	true	soft_required
COOLING_PAD	material	T2_HELPFUL	false	optional
COMPUTER_COVER	cover_form_factor	T1_REQUIRED_OR_IMPORTANT	true	optional
COMPUTER_COVER	compatible_brand	T2_HELPFUL	true	optional
COMPUTER_COVER	compatible_model_text	T2_HELPFUL	false	optional
COMPUTER_COVER	material	T2_HELPFUL	true	optional
COMPUTER_COVER	color_family	T2_HELPFUL	true	optional
SCREEN_FILTER	screen_size_inches	T2_HELPFUL	false	optional
SCREEN_FILTER	privacy_filter_type	T2_HELPFUL	true	optional
SCREEN_FILTER	compatible_model_text	T2_HELPFUL	true	optional
CLEANING_KIT	cleaning_item_type	T1_REQUIRED_OR_IMPORTANT	false	optional
CLEANING_KIT	material	T2_HELPFUL	true	optional
CLEANING_KIT	included_accessories	T2_HELPFUL	true	optional
