query	expected_categoryCode	expected_computer_accessory_type	intent	note
клавиатура	TECH.COMPUTER_ACCESSORIES	KEYBOARD	route	
компьютерная клавиатура	TECH.COMPUTER_ACCESSORIES	KEYBOARD	route	
механическая клавиатура	TECH.COMPUTER_ACCESSORIES	KEYBOARD	route	
беспроводная клавиатура	TECH.COMPUTER_ACCESSORIES	KEYBOARD	route	
клава	TECH.COMPUTER_ACCESSORIES	KEYBOARD	route	
keyboard	TECH.COMPUTER_ACCESSORIES	KEYBOARD	route	
мышь	TECH.COMPUTER_ACCESSORIES	MOUSE	route	
компьютерная мышь	TECH.COMPUTER_ACCESSORIES	MOUSE	route	
игровая мышь	TECH.COMPUTER_ACCESSORIES	MOUSE	route	
беспроводная мышь	TECH.COMPUTER_ACCESSORIES	MOUSE	route	
mouse	TECH.COMPUTER_ACCESSORIES	MOUSE	route	
mx master	TECH.COMPUTER_ACCESSORIES	MOUSE	route	
комплект клавиатура мышь	TECH.COMPUTER_ACCESSORIES	KEYBOARD_MOUSE_SET	route	
набор клавиатура мышь	TECH.COMPUTER_ACCESSORIES	KEYBOARD_MOUSE_SET	route	
keyboard mouse combo	TECH.COMPUTER_ACCESSORIES	KEYBOARD_MOUSE_SET	route	
комплект logitech	TECH.COMPUTER_ACCESSORIES	KEYBOARD_MOUSE_SET	route	
веб камера	TECH.COMPUTER_ACCESSORIES	WEBCAM	route	
веб-камера	TECH.COMPUTER_ACCESSORIES	WEBCAM	route	
webcam	TECH.COMPUTER_ACCESSORIES	WEBCAM	route	
камера для компьютера	TECH.COMPUTER_ACCESSORIES	WEBCAM	route	
камера для стрима	TECH.COMPUTER_ACCESSORIES	WEBCAM	route	
logitech c920	TECH.COMPUTER_ACCESSORIES	WEBCAM	route	
док станция	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	route	
док-станция	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	route	
docking station	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	route	
док для ноутбука	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	route	
thunderbolt dock	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	route	
usb c dock	TECH.COMPUTER_ACCESSORIES	DOCKING_STATION	route	
usb хаб	TECH.COMPUTER_ACCESSORIES	USB_HUB	route	
usb hub	TECH.COMPUTER_ACCESSORIES	USB_HUB	route	
юсб хаб	TECH.COMPUTER_ACCESSORIES	USB_HUB	route	
концентратор usb	TECH.COMPUTER_ACCESSORIES	USB_HUB	route	
type c hub	TECH.COMPUTER_ACCESSORIES	USB_HUB	route	
usb c hub	TECH.COMPUTER_ACCESSORIES	USB_HUB	route	
подставка для ноутбука	TECH.COMPUTER_ACCESSORIES	LAPTOP_STAND	route	
laptop stand	TECH.COMPUTER_ACCESSORIES	LAPTOP_STAND	route	
держатель ноутбука	TECH.COMPUTER_ACCESSORIES	LAPTOP_STAND	route	
алюминиевая подставка для ноутбука	TECH.COMPUTER_ACCESSORIES	LAPTOP_STAND	route	
кронштейн для монитора	TECH.COMPUTER_ACCESSORIES	MONITOR_ARM	route	
рука для монитора	TECH.COMPUTER_ACCESSORIES	MONITOR_ARM	route	
monitor arm	TECH.COMPUTER_ACCESSORIES	MONITOR_ARM	route	
vesa arm	TECH.COMPUTER_ACCESSORIES	MONITOR_ARM	route	
настольный кронштейн монитора	TECH.COMPUTER_ACCESSORIES	MONITOR_ARM	route	
коврик для мыши	TECH.COMPUTER_ACCESSORIES	MOUSE_PAD	route	
mouse pad	TECH.COMPUTER_ACCESSORIES	MOUSE_PAD	route	
игровой коврик	TECH.COMPUTER_ACCESSORIES	MOUSE_PAD	route	
desk mat	TECH.COMPUTER_ACCESSORIES	MOUSE_PAD	route	
коврик на стол	TECH.COMPUTER_ACCESSORIES	MOUSE_PAD	route	
стилус	TECH.COMPUTER_ACCESSORIES	STYLUS_PEN	route	
stylus	TECH.COMPUTER_ACCESSORIES	STYLUS_PEN	route	
