attributeCode	valueCode	label_ru	aliases_ru	priority	status
computer_accessory_type	KEYBOARD	Клавиатура	keyboard	100	head
computer_accessory_type	MOUSE	Мышь	mouse	100	head
computer_accessory_type	KEYBOARD_MOUSE_SET	Комплект клавиатура + мышь	keyboard_mouse_set	100	head
computer_accessory_type	WEBCAM	Веб-камера	webcam	100	head
computer_accessory_type	DOCKING_STATION	Док-станция	docking_station	100	head
computer_accessory_type	USB_HUB	USB-хаб	usb_hub	100	head
computer_accessory_type	LAPTOP_STAND	Подставка для ноутбука	laptop_stand	100	head
computer_accessory_type	MONITOR_ARM	Кронштейн/рука для монитора	monitor_arm	100	head
computer_accessory_type	MOUSE_PAD	Коврик для мыши	mouse_pad	100	head
computer_accessory_type	STYLUS_PEN	Стилус	stylus_pen	100	head
computer_accessory_type	ADAPTER_DONGLE	Адаптер / донгл	adapter_dongle	100	head
computer_accessory_type	COOLING_PAD	Охлаждающая подставка	cooling_pad	100	head
computer_accessory_type	COMPUTER_COVER	Чехол/накладка/защита для компьютера	computer_cover	100	head
computer_accessory_type	SCREEN_FILTER	Защитный/privacy-фильтр экрана	screen_filter	100	head
computer_accessory_type	CLEANING_KIT	Набор для чистки	cleaning_kit	100	head
connection_type	WIRED	Проводное	проводной, проводная, кабельное	95	head
connection_type	WIRELESS_2_4GHZ	Беспроводное 2.4 GHz	радиоканал, usb ресивер, 2.4g	90	head
connection_type	BLUETOOTH	Bluetooth	блютуз, bt	92	head
connection_type	DUAL_WIRELESS	Bluetooth + 2.4 GHz	dual wireless, два подключения	85	head
connection_type	USB_RECEIVER	USB receiver	донгл, ресивер	70	head
connection_type	UNIVERSAL	Универсальное	универсальное подключение	55	head
compatible_device_type	LAPTOP	Ноутбук	ноут, laptop	80	head
compatible_device_type	DESKTOP_PC	Desktop PC	пк, системный блок	80	head
compatible_device_type	MAC	Mac	macbook, imac, mac mini	80	head
compatible_device_type	WINDOWS_PC	Windows PC	виндовс пк	80	head
compatible_device_type	MONITOR	Монитор	display	80	head
compatible_device_type	TABLET	Планшет	ipad, tablet	80	head
compatible_device_type	CHROMEBOOK	Chromebook	хромбук	80	head
compatible_device_type	UNIVERSAL	Универсальное	для компьютера	80	head
keyboard_layout	QWERTY	QWERTY		60	head
keyboard_layout	ISO	ISO	европейская	60	head
keyboard_layout	ANSI	ANSI	американская	60	head
keyboard_layout	JIS	JIS	японская	60	head
keyboard_layout	ORTHOLINEAR	Ортолинейная	ortho	60	head
keyboard_layout	SPLIT	Split	раздельная	60	head
keyboard_language	RU	Русская	кириллица, русские буквы	70	head
keyboard_language	EN	Английская	us, uk, english	70	head
keyboard_language	RU_EN	Русская + английская	двуязычная, рус-англ	70	head
keyboard_language	DE	Немецкая	qwertz	70	head
keyboard_language	FR	Французская	azerty	70	head
keyboard_language	ES	Испанская	spanish	70	head
key_switch_type	MEMBRANE	Мембранные	мембранка	80	head
key_switch_type	SCISSOR	Ножничные	scissor	80	head
key_switch_type	MECHANICAL_LINEAR	Механические linear	red, silent red, linear	80	head
key_switch_type	MECHANICAL_TACTILE	Механические tactile	brown, tactile	80	head
key_switch_type	MECHANICAL_CLICKY	Механические clicky	blue, clicky	80	head
key_switch_type	OPTICAL	Оптические	optical switches	80	head
key_switch_type	LOW_PROFILE	Низкопрофильные	low profile	80	head
keyboard_size	FULL_SIZE	Полноразмерная	100%, full size	80	head
keyboard_size	TKL	TKL	tenkeyless, 80%	80	head
keyboard_size	SEVENTY_FIVE	75%	75 процентов	80	head
keyboard_size	SIXTY_FIVE	65%	65 процентов	80	head
keyboard_size	SIXTY	60%	60 процентов	80	head
keyboard_size	COMPACT	Компактная	mini	80	head
keyboard_size	NUMPAD_ONLY	Нампад	numeric keypad	80	head
backlight_type	NONE	Без подсветки		65	head
backlight_type	WHITE	Белая подсветка	одноцветная	65	head
backlight_type	RGB	RGB	цветная, подсветка rgb	65	head
backlight_type	PER_KEY_RGB	Per-key RGB	на каждую клавишу	65	head
backlight_type	ZONE_RGB	Зональная RGB		65	head
mouse_sensor_type	OPTICAL	Оптический		70	head
mouse_sensor_type	LASER	Лазерный		70	head
mouse_sensor_type	HERO	Logitech HERO	hero sensor	70	head
mouse_sensor_type	PAW3395	PixArt PAW3395	3395	70	head
mouse_sensor_type	BLUE_TRACK	BlueTrack		70	head
mouse_sensor_type	TRACKBALL	Трекбол		70	head
ergonomic_hand	RIGHT_HAND	Правая рука	правша	75	head
ergonomic_hand	LEFT_HAND	Левая рука	левша	75	head
ergonomic_hand	AMBIDEXTROUS	Симметричная	универсальная	75	head
ergonomic_hand	VERTICAL	Вертикальная	эргономичная	75	head
webcam_resolution	HD_720P	HD 720p	720	85	head
webcam_resolution	FHD_1080P	Full HD 1080p	1080, full hd	85	head
webcam_resolution	QHD_1440P	QHD 1440p	2k	85	head
webcam_resolution	UHD_4K	4K UHD	ultra hd, 2160p	85	head
max_display_resolution	FHD_60HZ	1080p 60Hz	full hd	80	head
max_display_resolution	QHD_60HZ	1440p 60Hz	2k	80	head
max_display_resolution	UHD_4K_30HZ	4K 30Hz		80	head
max_display_resolution	UHD_4K_60HZ	4K 60Hz		80	head
max_display_resolution	DUAL_4K	Dual 4K	два монитора 4к	80	head
ethernet_speed	NONE	Нет Ethernet		70	head
ethernet_speed	FE_100M	100 Мбит/с	fast ethernet	70	head
ethernet_speed	GE_1G	1 Гбит/с	gigabit	70	head
ethernet_speed	TWO_POINT_FIVE_G	2.5 Гбит/с	2.5g	70	head
ethernet_speed	TEN_G	10 Гбит/с	10g	70	head
mount_type	CLAMP	Зажим на стол	clamp	75	head
mount_type	GROMMET	Через отверстие	grommet	75	head
mount_type	VESA_ARM	VESA arm	кронштейн vesa	75	head
mount_type	DESK_STAND	Настольная подставка		75	head
mount_type	FOLDABLE_STAND	Складная подставка	foldable	75	head
mount_type	MAGNETIC	Магнитное крепление		75	head
stylus_protocol	MPP	Microsoft Pen Protocol	surface pen	75	head
stylus_protocol	AES	Wacom AES		75	head
stylus_protocol	USI	Universal Stylus Initiative	chromebook stylus	75	head
stylus_protocol	APPLE_PENCIL	Apple Pencil		75	head
stylus_protocol	PASSIVE	Пассивный стилус	емкостный	75	head
laptop_size_supported	UP_TO_13	До 13 дюймов	13	80	head
laptop_size_supported	UP_TO_14	До 14 дюймов	14	80	head
laptop_size_supported	UP_TO_15_6	До 15.6 дюйма	15.6	80	head
laptop_size_supported	UP_TO_17	До 17 дюймов	17	80	head
laptop_size_supported	UNIVERSAL	Универсальный		80	head
privacy_filter_type	TWO_WAY_PRIVACY	2-way privacy	антишпион	70	head
privacy_filter_type	FOUR_WAY_PRIVACY	4-way privacy		70	head
privacy_filter_type	MATTE_ANTI_GLARE	Матовый антиблик	anti-glare	70	head
privacy_filter_type	BLUE_LIGHT	Blue light filter		70	head
cover_form_factor	HARD_SHELL	Жёсткая накладка	hard shell	70	head
cover_form_factor	KEYBOARD_COVER	Накладка на клавиатуру		70	head
cover_form_factor	PALMREST_PROTECTOR	Защита palmrest		70	head
cover_form_factor	SCREEN_PROTECTOR	Плёнка экрана		70	head
cover_form_factor	SOFT_SLEEVE	Мягкий чехол	sleeve	70	head
cleaning_item_type	MICROFIBER_CLOTH	Салфетка микрофибра	микрофибра	75	head
cleaning_item_type	SCREEN_SPRAY	Спрей для экрана		75	head
cleaning_item_type	AIR_DUSTER	Воздушный баллон	сжатый воздух	75	head
cleaning_item_type	BRUSH	Кисточка		75	head
cleaning_item_type	KEYCAP_PULLER	Съёмник клавиш	keycap puller	75	head
cleaning_item_type	FULL_KIT	Набор	комплект	75	head
battery_type	LI_ION	Li-ion	литий-ионный	60	head
battery_type	AA_AAA	AA/AAA	батарейки	60	head
battery_type	INTEGRATED	Встроенный аккумулятор		60	head
battery_type	NONE	Без батареи		60	head
material	PLASTIC	Пластик		60	head
material	ALUMINUM	Алюминий	металл	60	head
material	STEEL	Сталь		60	head
material	RUBBER	Резина		60	head
material	FABRIC	Ткань		60	head
material	GLASS	Стекло		60	head
material	TEMPERED_GLASS	Закалённое стекло		60	head
material	MICROFIBER	Микрофибра		60	head
connector_type	USB_C	USB-C	type-c, usb c	90	head
connector_type	USB_A	USB-A	usb	90	head
connector_type	THUNDERBOLT_3	Thunderbolt 3	tb3	90	head
connector_type	THUNDERBOLT_4	Thunderbolt 4	tb4	90	head
connector_type	HDMI	HDMI		90	head
connector_type	DISPLAYPORT	DisplayPort	dp	90	head
connector_type	MINI_DISPLAYPORT	Mini DisplayPort	mini dp	90	head
connector_type	VGA	VGA	d-sub	90	head
connector_type	DVI	DVI		90	head
connector_type	RJ45	RJ-45 Ethernet	ethernet	90	head
connector_type	AUDIO_3_5MM	3.5 мм аудио	jack	90	head
connector_type	SD_CARD	SD card		90	head
connector_type	MICROSD	microSD		90	head
