alias	target_category_code	target_attribute	target_value	locale	match_type	priority	negative_guards	notes_ru
ноутбук	TECH.COMPUTERS	computer_type	LAPTOP	ru,en	phrase_or_token	95		type alias
ноут	TECH.COMPUTERS	computer_type	LAPTOP	ru,en	phrase_or_token	90		type alias
лаптоп	TECH.COMPUTERS	computer_type	LAPTOP	ru,en	phrase_or_token	86		type alias
laptop	TECH.COMPUTERS	computer_type	LAPTOP	ru,en	phrase_or_token	86		type alias
ультрабук	TECH.COMPUTERS	computer_type	ULTRABOOK	ru,en	phrase_or_token	90		type alias
тонкий ноутбук	TECH.COMPUTERS	computer_type	ULTRABOOK	ru,en	phrase_or_token	80		type alias
игровой ноутбук	TECH.COMPUTERS	computer_type	GAMING_LAPTOP	ru,en	phrase_or_token	94		type alias
ноутбук для игр	TECH.COMPUTERS	computer_type	GAMING_LAPTOP	ru,en	phrase_or_token	88		type alias
геймерский ноутбук	TECH.COMPUTERS	computer_type	GAMING_LAPTOP	ru,en	phrase_or_token	88		type alias
ноутбук трансформер	TECH.COMPUTERS	computer_type	TWO_IN_ONE_LAPTOP	ru,en	phrase_or_token	90		type alias
2 in 1 laptop	TECH.COMPUTERS	computer_type	TWO_IN_ONE_LAPTOP	ru,en	phrase_or_token	86		type alias
ноутбук 2в1	TECH.COMPUTERS	computer_type	TWO_IN_ONE_LAPTOP	ru,en	phrase_or_token	86		type alias
chromebook	TECH.COMPUTERS	computer_type	CHROMEBOOK	ru,en	phrase_or_token	88		type alias
хромбук	TECH.COMPUTERS	computer_type	CHROMEBOOK	ru,en	phrase_or_token	88		type alias
компьютер	TECH.COMPUTERS	computer_type	DESKTOP_PC	ru,en	phrase_or_token	78		type alias
пк	TECH.COMPUTERS	computer_type	DESKTOP_PC	ru,en	phrase_or_token	80		type alias
системный блок	TECH.COMPUTERS	computer_type	DESKTOP_PC	ru,en	phrase_or_token	94		type alias
desktop	TECH.COMPUTERS	computer_type	DESKTOP_PC	ru,en	phrase_or_token	78		type alias
mini pc	TECH.COMPUTERS	computer_type	MINI_PC	ru,en	phrase_or_token	90		type alias
мини пк	TECH.COMPUTERS	computer_type	MINI_PC	ru,en	phrase_or_token	90		type alias
мини компьютер	TECH.COMPUTERS	computer_type	MINI_PC	ru,en	phrase_or_token	86		type alias
моноблок	TECH.COMPUTERS	computer_type	ALL_IN_ONE	ru,en	phrase_or_token	92		type alias
all-in-one	TECH.COMPUTERS	computer_type	ALL_IN_ONE	ru,en	phrase_or_token	86		type alias
aio	TECH.COMPUTERS	computer_type	ALL_IN_ONE	ru,en	phrase_or_token	80		type alias
рабочая станция	TECH.COMPUTERS	computer_type	WORKSTATION	ru,en	phrase_or_token	90		type alias
workstation	TECH.COMPUTERS	computer_type	WORKSTATION	ru,en	phrase_or_token	88		type alias
тонкий клиент	TECH.COMPUTERS	computer_type	THIN_CLIENT	ru,en	phrase_or_token	88		type alias
thin client	TECH.COMPUTERS	computer_type	THIN_CLIENT	ru,en	phrase_or_token	86		type alias
i3	TECH.COMPUTERS	cpu_family	INTEL_CORE_I3	ru,en	phrase_or_token	60		spec alias
i5	TECH.COMPUTERS	cpu_family	INTEL_CORE_I5	ru,en	phrase_or_token	60		spec alias
i7	TECH.COMPUTERS	cpu_family	INTEL_CORE_I7	ru,en	phrase_or_token	60		spec alias
i9	TECH.COMPUTERS	cpu_family	INTEL_CORE_I9	ru,en	phrase_or_token	60		spec alias
core ultra	TECH.COMPUTERS	cpu_family	INTEL_CORE_ULTRA	ru,en	phrase_or_token	60		spec alias
ryzen 5	TECH.COMPUTERS	cpu_family	AMD_RYZEN_5	ru,en	phrase_or_token	60		spec alias
ryzen 7	TECH.COMPUTERS	cpu_family	AMD_RYZEN_7	ru,en	phrase_or_token	60		spec alias
