computer_type	attribute_code	importance	ui_surface	facet	required_policy	notes_ru
LAPTOP	brand	P0	initial	primary	required_or_strongly_recommended	
LAPTOP	condition	P0	initial	primary	required_or_strongly_recommended	
LAPTOP	model_name_text	P0	initial	secondary	required_or_strongly_recommended	
LAPTOP	cpu_model_text	P0	initial	secondary	required_or_strongly_recommended	
LAPTOP	ram_gb	P0	initial	primary	required_or_strongly_recommended	
LAPTOP	storage_capacity_gb	P0	initial	primary	required_or_strongly_recommended	
LAPTOP	storage_type	P0	expanded	secondary	required_or_strongly_recommended	
ULTRABOOK	brand	P0	initial	primary	required_or_strongly_recommended	
ULTRABOOK	condition	P0	initial	primary	required_or_strongly_recommended	
ULTRABOOK	model_name_text	P0	initial	secondary	required_or_strongly_recommended	
ULTRABOOK	cpu_model_text	P0	initial	secondary	required_or_strongly_recommended	
ULTRABOOK	ram_gb	P0	initial	primary	required_or_strongly_recommended	
ULTRABOOK	storage_capacity_gb	P0	initial	primary	required_or_strongly_recommended	
ULTRABOOK	storage_type	P0	expanded	secondary	required_or_strongly_recommended	
GAMING_LAPTOP	brand	P0	initial	primary	required_or_strongly_recommended	
GAMING_LAPTOP	condition	P0	initial	primary	required_or_strongly_recommended	
GAMING_LAPTOP	model_name_text	P0	initial	secondary	required_or_strongly_recommended	
GAMING_LAPTOP	cpu_model_text	P0	initial	secondary	required_or_strongly_recommended	
GAMING_LAPTOP	ram_gb	P0	initial	primary	required_or_strongly_recommended	
GAMING_LAPTOP	storage_capacity_gb	P0	initial	primary	required_or_strongly_recommended	
GAMING_LAPTOP	storage_type	P0	expanded	secondary	required_or_strongly_recommended	
TWO_IN_ONE_LAPTOP	brand	P0	initial	primary	required_or_strongly_recommended	
TWO_IN_ONE_LAPTOP	condition	P0	initial	primary	required_or_strongly_recommended	
TWO_IN_ONE_LAPTOP	model_name_text	P0	initial	secondary	required_or_strongly_recommended	
TWO_IN_ONE_LAPTOP	cpu_model_text	P0	initial	secondary	required_or_strongly_recommended	
TWO_IN_ONE_LAPTOP	ram_gb	P0	initial	primary	required_or_strongly_recommended	
TWO_IN_ONE_LAPTOP	storage_capacity_gb	P0	initial	primary	required_or_strongly_recommended	
TWO_IN_ONE_LAPTOP	storage_type	P0	expanded	secondary	required_or_strongly_recommended	
CHROMEBOOK	brand	P0	initial	primary	required_or_strongly_recommended	
CHROMEBOOK	condition	P0	initial	primary	required_or_strongly_recommended	
CHROMEBOOK	model_name_text	P0	initial	secondary	required_or_strongly_recommended	
CHROMEBOOK	cpu_model_text	P0	initial	secondary	required_or_strongly_recommended	
CHROMEBOOK	ram_gb	P0	initial	primary	required_or_strongly_recommended	
CHROMEBOOK	storage_capacity_gb	P0	initial	primary	required_or_strongly_recommended	
CHROMEBOOK	storage_type	P0	expanded	secondary	required_or_strongly_recommended	
DESKTOP_PC	brand	P0	initial	primary	required_or_strongly_recommended	
DESKTOP_PC	condition	P0	initial	primary	required_or_strongly_recommended	
DESKTOP_PC	model_name_text	P0	initial	secondary	required_or_strongly_recommended	
DESKTOP_PC	cpu_model_text	P0	initial	secondary	required_or_strongly_recommended	
DESKTOP_PC	ram_gb	P0	initial	primary	required_or_strongly_recommended	
DESKTOP_PC	storage_capacity_gb	P0	initial	primary	required_or_strongly_recommended	
DESKTOP_PC	storage_type	P0	expanded	secondary	required_or_strongly_recommended	
MINI_PC	brand	P0	initial	primary	required_or_strongly_recommended	
MINI_PC	condition	P0	initial	primary	required_or_strongly_recommended	
MINI_PC	model_name_text	P0	initial	secondary	required_or_strongly_recommended	
MINI_PC	cpu_model_text	P0	initial	secondary	required_or_strongly_recommended	
MINI_PC	ram_gb	P0	initial	primary	required_or_strongly_recommended	
MINI_PC	storage_capacity_gb	P0	initial	primary	required_or_strongly_recommended	
MINI_PC	storage_type	P0	expanded	secondary	required_or_strongly_recommended	
ALL_IN_ONE	brand	P0	initial	primary	required_or_strongly_recommended	
ALL_IN_ONE	condition	P0	initial	primary	required_or_strongly_recommended	
ALL_IN_ONE	model_name_text	P0	initial	secondary	required_or_strongly_recommended	
ALL_IN_ONE	cpu_model_text	P0	initial	secondary	required_or_strongly_recommended	
