alias	normalized_brand	normalized_family	normalized_model_text	match_scope	locale	priority	notes_ru
MacBook Air 13	APPLE	MACBOOK	MacBook Air 13	model_or_family	ru,en	95	head seed alias, not full registry
MACBOOK	APPLE	MACBOOK	MacBook Air 13	model_or_family	ru,en	95	head seed alias, not full registry
MacBook Air	APPLE	MACBOOK	MacBook Air 13	model_or_family	ru,en	95	head seed alias, not full registry
макбук эйр 13	APPLE	MACBOOK	MacBook Air 13	model_or_family	ru,en	95	head seed alias, not full registry
macbook air m1	APPLE	MACBOOK	MacBook Air 13	model_or_family	ru,en	95	head seed alias, not full registry
macbook air m2	APPLE	MACBOOK	MacBook Air 13	model_or_family	ru,en	95	head seed alias, not full registry
macbook air m3	APPLE	MACBOOK	MacBook Air 13	model_or_family	ru,en	95	head seed alias, not full registry
MacBook Air 15	APPLE	MACBOOK	MacBook Air 15	model_or_family	ru,en	90	head seed alias, not full registry
MACBOOK	APPLE	MACBOOK	MacBook Air 15	model_or_family	ru,en	90	head seed alias, not full registry
MacBook Air	APPLE	MACBOOK	MacBook Air 15	model_or_family	ru,en	90	head seed alias, not full registry
макбук эйр 15	APPLE	MACBOOK	MacBook Air 15	model_or_family	ru,en	90	head seed alias, not full registry
MacBook Pro 14	APPLE	MACBOOK	MacBook Pro 14	model_or_family	ru,en	92	head seed alias, not full registry
MACBOOK	APPLE	MACBOOK	MacBook Pro 14	model_or_family	ru,en	92	head seed alias, not full registry
MacBook Pro	APPLE	MACBOOK	MacBook Pro 14	model_or_family	ru,en	92	head seed alias, not full registry
макбук про 14	APPLE	MACBOOK	MacBook Pro 14	model_or_family	ru,en	92	head seed alias, not full registry
mbp 14	APPLE	MACBOOK	MacBook Pro 14	model_or_family	ru,en	92	head seed alias, not full registry
MacBook Pro 16	APPLE	MACBOOK	MacBook Pro 16	model_or_family	ru,en	92	head seed alias, not full registry
MACBOOK	APPLE	MACBOOK	MacBook Pro 16	model_or_family	ru,en	92	head seed alias, not full registry
MacBook Pro	APPLE	MACBOOK	MacBook Pro 16	model_or_family	ru,en	92	head seed alias, not full registry
макбук про 16	APPLE	MACBOOK	MacBook Pro 16	model_or_family	ru,en	92	head seed alias, not full registry
mbp 16	APPLE	MACBOOK	MacBook Pro 16	model_or_family	ru,en	92	head seed alias, not full registry
iMac 24	APPLE	IMAC	iMac 24	model_or_family	ru,en	75	head seed alias, not full registry
IMAC	APPLE	IMAC	iMac 24	model_or_family	ru,en	75	head seed alias, not full registry
аймак 24	APPLE	IMAC	iMac 24	model_or_family	ru,en	75	head seed alias, not full registry
imac m1	APPLE	IMAC	iMac 24	model_or_family	ru,en	75	head seed alias, not full registry
imac m3	APPLE	IMAC	iMac 24	model_or_family	ru,en	75	head seed alias, not full registry
Mac mini	APPLE	MAC	Mac mini	model_or_family	ru,en	72	head seed alias, not full registry
MAC	APPLE	MAC	Mac mini	model_or_family	ru,en	72	head seed alias, not full registry
мак мини	APPLE	MAC	Mac mini	model_or_family	ru,en	72	head seed alias, not full registry
macmini	APPLE	MAC	Mac mini	model_or_family	ru,en	72	head seed alias, not full registry
Mac Studio	APPLE	MAC	Mac Studio	model_or_family	ru,en	70	head seed alias, not full registry
MAC	APPLE	MAC	Mac Studio	model_or_family	ru,en	70	head seed alias, not full registry
мак студио	APPLE	MAC	Mac Studio	model_or_family	ru,en	70	head seed alias, not full registry
ThinkPad X1 Carbon	LENOVO	THINKPAD	ThinkPad X1 Carbon	model_or_family	ru,en	88	head seed alias, not full registry
THINKPAD	LENOVO	THINKPAD	ThinkPad X1 Carbon	model_or_family	ru,en	88	head seed alias, not full registry
ThinkPad X	LENOVO	THINKPAD	ThinkPad X1 Carbon	model_or_family	ru,en	88	head seed alias, not full registry
тинкпад x1 carbon	LENOVO	THINKPAD	ThinkPad X1 Carbon	model_or_family	ru,en	88	head seed alias, not full registry
x1 carbon	LENOVO	THINKPAD	ThinkPad X1 Carbon	model_or_family	ru,en	88	head seed alias, not full registry
ThinkPad T14	LENOVO	THINKPAD	ThinkPad T14	model_or_family	ru,en	84	head seed alias, not full registry
THINKPAD	LENOVO	THINKPAD	ThinkPad T14	model_or_family	ru,en	84	head seed alias, not full registry
ThinkPad T	LENOVO	THINKPAD	ThinkPad T14	model_or_family	ru,en	84	head seed alias, not full registry
тинкпад т14	LENOVO	THINKPAD	ThinkPad T14	model_or_family	ru,en	84	head seed alias, not full registry
ThinkPad P1	LENOVO	THINKPAD	ThinkPad P1	model_or_family	ru,en	72	head seed alias, not full registry
THINKPAD	LENOVO	THINKPAD	ThinkPad P1	model_or_family	ru,en	72	head seed alias, not full registry
ThinkPad P	LENOVO	THINKPAD	ThinkPad P1	model_or_family	ru,en	72	head seed alias, not full registry
тинкпад p1	LENOVO	THINKPAD	ThinkPad P1	model_or_family	ru,en	72	head seed alias, not full registry
IdeaPad 3	LENOVO	IDEAPAD	IdeaPad 3	model_or_family	ru,en	73	head seed alias, not full registry
IDEAPAD	LENOVO	IDEAPAD	IdeaPad 3	model_or_family	ru,en	73	head seed alias, not full registry
идеапад 3	LENOVO	IDEAPAD	IdeaPad 3	model_or_family	ru,en	73	head seed alias, not full registry
ideapad3	LENOVO	IDEAPAD	IdeaPad 3	model_or_family	ru,en	73	head seed alias, not full registry
IdeaPad 5	LENOVO	IDEAPAD	IdeaPad 5	model_or_family	ru,en	74	head seed alias, not full registry
IDEAPAD	LENOVO	IDEAPAD	IdeaPad 5	model_or_family	ru,en	74	head seed alias, not full registry
идеапад 5	LENOVO	IDEAPAD	IdeaPad 5	model_or_family	ru,en	74	head seed alias, not full registry
ideapad5	LENOVO	IDEAPAD	IdeaPad 5	model_or_family	ru,en	74	head seed alias, not full registry
Yoga 7	LENOVO	YOGA	Yoga 7	model_or_family	ru,en	75	head seed alias, not full registry
YOGA	LENOVO	YOGA	Yoga 7	model_or_family	ru,en	75	head seed alias, not full registry
йога 7	LENOVO	YOGA	Yoga 7	model_or_family	ru,en	75	head seed alias, not full registry
lenovo yoga 7	LENOVO	YOGA	Yoga 7	model_or_family	ru,en	75	head seed alias, not full registry
Yoga 9	LENOVO	YOGA	Yoga 9	model_or_family	ru,en	76	head seed alias, not full registry
