brand	family	line	model_name_text	model_code_hint	computer_type_hint	market_tier	identity_priority	aliases_ru	notes_ru
APPLE	MACBOOK	MacBook Air	MacBook Air 13		LAPTOP	1	95	макбук эйр 13;macbook air m1;macbook air m2;macbook air m3	
APPLE	MACBOOK	MacBook Air	MacBook Air 15		LAPTOP	1	90	макбук эйр 15;macbook air 15	
APPLE	MACBOOK	MacBook Pro	MacBook Pro 14		LAPTOP	1	92	макбук про 14;mbp 14	
APPLE	MACBOOK	MacBook Pro	MacBook Pro 16		LAPTOP	1	92	макбук про 16;mbp 16	
APPLE	IMAC	iMac	iMac 24		ALL_IN_ONE	2	75	аймак 24;imac m1;imac m3	
APPLE	MAC	Mac mini	Mac mini		MINI_PC	2	72	мак мини;macmini	
APPLE	MAC	Mac Studio	Mac Studio		WORKSTATION	2	70	мак студио	
LENOVO	THINKPAD	ThinkPad X	ThinkPad X1 Carbon		ULTRABOOK	1	88	тинкпад x1 carbon;x1 carbon	
LENOVO	THINKPAD	ThinkPad T	ThinkPad T14		LAPTOP	1	84	thinkpad t14;тинкпад т14	
LENOVO	THINKPAD	ThinkPad P	ThinkPad P1		WORKSTATION	2	72	thinkpad p1;тинкпад p1	
LENOVO	IDEAPAD	IdeaPad	IdeaPad 3		LAPTOP	2	73	идеапад 3;ideapad3	
LENOVO	IDEAPAD	IdeaPad	IdeaPad 5		LAPTOP	2	74	идеапад 5;ideapad5	
LENOVO	YOGA	Yoga	Yoga 7		TWO_IN_ONE_LAPTOP	2	75	йога 7;lenovo yoga 7	
LENOVO	YOGA	Yoga	Yoga 9		TWO_IN_ONE_LAPTOP	2	76	йога 9;lenovo yoga 9	
LENOVO	LEGION	Legion	Legion 5		GAMING_LAPTOP	1	84	легион 5;lenovo legion 5	
LENOVO	LEGION	Legion	Legion 7		GAMING_LAPTOP	1	82	легион 7;lenovo legion 7	
DELL	XPS	XPS	XPS 13		ULTRABOOK	1	84	делл xps 13;икспиэс 13	
DELL	XPS	XPS	XPS 15		LAPTOP	2	78	dell xps 15	
DELL	LATITUDE	Latitude	Latitude 5420		LAPTOP	2	72	latitude 5420;делл латитуд	
DELL	LATITUDE	Latitude	Latitude 7420		ULTRABOOK	2	70	latitude 7420	
DELL	PRECISION	Precision	Precision 5550		WORKSTATION	2	69	precision 5550	
DELL	OPTIPLEX	OptiPlex	OptiPlex 3080		DESKTOP_PC	2	70	оптиплекс 3080;optiplex micro	
ALIENWARE	ALIENWARE	m Series	Alienware m15		GAMING_LAPTOP	2	72	алиенвар m15;alienware m15	
HP	PAVILION	Pavilion	Pavilion 15		LAPTOP	2	76	павилион 15;hp pavilion 15	
HP	ENVY	Envy	Envy x360		TWO_IN_ONE_LAPTOP	2	77	энви x360;hp envy x360	
HP	SPECTRE	Spectre	Spectre x360		TWO_IN_ONE_LAPTOP	2	77	спектр x360;spectre x360	
HP	ELITEBOOK	EliteBook	EliteBook 840		LAPTOP	2	78	элитбук 840;elitebook 840	
HP	PROBOOK	ProBook	ProBook 450		LAPTOP	2	74	пробук 450;probook 450	
HP	OMEN	Omen	Omen 16		GAMING_LAPTOP	1	81	омен 16;hp omen 16	
HP	ZBOOK	ZBook	ZBook Studio		WORKSTATION	2	71	zbook studio;збук студио	
ASUS	ZENBOOK	Zenbook	Zenbook 14		ULTRABOOK	1	83	зенбук 14;asus zenbook 14	
ASUS	VIVOBOOK	Vivobook	Vivobook 15		LAPTOP	2	77	вивобук 15;asus vivobook 15	
ASUS	ROG	ROG Zephyrus	ROG Zephyrus G14		GAMING_LAPTOP	1	85	зефирус g14;rog g14	
ASUS	ROG	ROG Strix	ROG Strix G15		GAMING_LAPTOP	1	82	стрикс g15;rog strix	
ASUS	TUF	TUF Gaming	TUF Gaming A15		GAMING_LAPTOP	1	82	асус таф a15;tuf a15	
ASUS	EXPERTBOOK	ExpertBook	ExpertBook B9		ULTRABOOK	2	70	expertbook b9	
ACER	ASPIRE	Aspire	Aspire 5		LAPTOP	2	77	асер аспайр 5;acer aspire 5	
ACER	SWIFT	Swift	Swift 3		ULTRABOOK	2	74	acer swift 3;свифт 3	
ACER	PREDATOR	Predator Helios	Predator Helios 300		GAMING_LAPTOP	2	77	хелиос 300;predator 300	
ACER	NITRO	Nitro	Nitro 5		GAMING_LAPTOP	1	81	нитро 5;acer nitro 5	
MSI	MODERN	Modern	Modern 14		LAPTOP	2	71	msi modern 14	
