query	expected_category_code	expected_computer_type	expected_attributes_json	negative_route	notes_ru
ноутбук lenovo thinkpad t14 i5 16 512	TECH.COMPUTERS	LAPTOP	{}		positive type query
macbook air 13 m2 8 256	TECH.COMPUTERS	LAPTOP	{}		positive type query
игровой ноутбук asus rog g14 rtx 4060	TECH.COMPUTERS	GAMING_LAPTOP	{}		positive type query
ноутбук трансформер hp envy x360	TECH.COMPUTERS	TWO_IN_ONE_LAPTOP	{}		positive type query
chromebook acer 14	TECH.COMPUTERS	CHROMEBOOK	{}		positive type query
системный блок ryzen 5 rtx 3060	TECH.COMPUTERS	DESKTOP_PC	{}		positive type query
мини пк beelink ser 16gb 512	TECH.COMPUTERS	MINI_PC	{}		positive type query
моноблок imac 24 m1	TECH.COMPUTERS	ALL_IN_ONE	{}		positive type query
рабочая станция dell precision xeon quadro	TECH.COMPUTERS	WORKSTATION	{}		positive type query
тонкий клиент hp t630	TECH.COMPUTERS	THIN_CLIENT	{}		positive type query
MacBook Air 13 16 512	TECH.COMPUTERS	LAPTOP	"{""brand"":""APPLE"",""family"":""MACBOOK"",""model_name_text"":""MacBook Air 13""}"		head model query
MacBook Air 15 16 512	TECH.COMPUTERS	LAPTOP	"{""brand"":""APPLE"",""family"":""MACBOOK"",""model_name_text"":""MacBook Air 15""}"		head model query
MacBook Pro 14 16 512	TECH.COMPUTERS	LAPTOP	"{""brand"":""APPLE"",""family"":""MACBOOK"",""model_name_text"":""MacBook Pro 14""}"		head model query
MacBook Pro 16 16 512	TECH.COMPUTERS	LAPTOP	"{""brand"":""APPLE"",""family"":""MACBOOK"",""model_name_text"":""MacBook Pro 16""}"		head model query
iMac 24 16 512	TECH.COMPUTERS	ALL_IN_ONE	"{""brand"":""APPLE"",""family"":""IMAC"",""model_name_text"":""iMac 24""}"		head model query
Mac mini 16 512	TECH.COMPUTERS	MINI_PC	"{""brand"":""APPLE"",""family"":""MAC"",""model_name_text"":""Mac mini""}"		head model query
Mac Studio 16 512	TECH.COMPUTERS	WORKSTATION	"{""brand"":""APPLE"",""family"":""MAC"",""model_name_text"":""Mac Studio""}"		head model query
ThinkPad X1 Carbon 16 512	TECH.COMPUTERS	ULTRABOOK	"{""brand"":""LENOVO"",""family"":""THINKPAD"",""model_name_text"":""ThinkPad X1 Carbon""}"		head model query
ThinkPad T14 16 512	TECH.COMPUTERS	LAPTOP	"{""brand"":""LENOVO"",""family"":""THINKPAD"",""model_name_text"":""ThinkPad T14""}"		head model query
ThinkPad P1 16 512	TECH.COMPUTERS	WORKSTATION	"{""brand"":""LENOVO"",""family"":""THINKPAD"",""model_name_text"":""ThinkPad P1""}"		head model query
IdeaPad 3 16 512	TECH.COMPUTERS	LAPTOP	"{""brand"":""LENOVO"",""family"":""IDEAPAD"",""model_name_text"":""IdeaPad 3""}"		head model query
IdeaPad 5 16 512	TECH.COMPUTERS	LAPTOP	"{""brand"":""LENOVO"",""family"":""IDEAPAD"",""model_name_text"":""IdeaPad 5""}"		head model query
Yoga 7 16 512	TECH.COMPUTERS	TWO_IN_ONE_LAPTOP	"{""brand"":""LENOVO"",""family"":""YOGA"",""model_name_text"":""Yoga 7""}"		head model query
