alias	target_code	target_type	locale	confidence	note
meta quest	VR_HEADSET	gaming_type	ru	0.90	delta_route_alias
meta quest 2	VR_HEADSET	gaming_type	ru	0.90	delta_route_alias
meta quest 3	VR_HEADSET	gaming_type	ru	0.90	delta_route_alias
meta quest 3s	VR_HEADSET	gaming_type	ru	0.90	delta_route_alias
oculus quest	VR_HEADSET	gaming_type	ru	0.90	delta_route_alias
oculus quest 2	VR_HEADSET	gaming_type	ru	0.90	delta_route_alias
quest 3	VR_HEADSET	gaming_type	ru	0.90	delta_route_alias
quest 3s	VR_HEADSET	gaming_type	ru	0.90	delta_route_alias
ps vr2	VR_HEADSET	gaming_type	ru	0.90	delta_route_alias
psvr2	VR_HEADSET	gaming_type	ru	0.90	delta_route_alias
playstation vr2	VR_HEADSET	gaming_type	ru	0.90	delta_route_alias
шлем vr	VR_HEADSET	gaming_type	ru	0.90	delta_route_alias
vr шлем	VR_HEADSET	gaming_type	ru	0.90	delta_route_alias
очки виртуальной реальности	VR_HEADSET	gaming_type	ru	0.90	delta_route_alias
гарнитура виртуальной реальности	VR_HEADSET	gaming_type	ru	0.90	delta_route_alias
pico 4	VR_HEADSET	gaming_type	ru	0.90	delta_route_alias
htc vive	VR_HEADSET	gaming_type	ru	0.90	delta_route_alias
valve index	VR_HEADSET	gaming_type	ru	0.90	delta_route_alias
dualsense	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
dual sense	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
dualsense edge	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
геймпад ps5	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
джойстик ps5	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
контроллер ps5	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
xbox wireless controller	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
xbox elite series 2	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
геймпад xbox	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
контроллер xbox	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
joy con	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
joy-con	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
джойконы	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
nintendo pro controller	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
switch pro controller	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
руль для ps5	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
руль для xbox	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
гоночный руль	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
sim racing wheel	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
педали для руля	GAME_CONTROLLER	gaming_type	ru	0.90	delta_route_alias
