query	expected_category	expected_type	expected_fields	locale	note
meta quest 3s 128gb	TECH.GAMING	VR_HEADSET	gaming_type=VR_HEADSET	ru	delta_gap_smoke
oculus quest 2	TECH.GAMING	VR_HEADSET	gaming_type=VR_HEADSET	ru	delta_gap_smoke
ps vr2 гарнитура	TECH.GAMING	VR_HEADSET	gaming_type=VR_HEADSET	ru	delta_gap_smoke
pico 4 vr	TECH.GAMING	VR_HEADSET	gaming_type=VR_HEADSET	ru	delta_gap_smoke
htc vive pro 2	TECH.GAMING	VR_HEADSET	gaming_type=VR_HEADSET	ru	delta_gap_smoke
dualsense edge ps5	TECH.GAMING	GAME_CONTROLLER	gaming_type=GAME_CONTROLLER	ru	delta_gap_smoke
геймпад xbox elite series 2	TECH.GAMING	GAME_CONTROLLER	gaming_type=GAME_CONTROLLER	ru	delta_gap_smoke
joy con nintendo switch	TECH.GAMING	GAME_CONTROLLER	gaming_type=GAME_CONTROLLER	ru	delta_gap_smoke
руль logitech g923 ps5	TECH.GAMING	GAME_CONTROLLER	gaming_type=GAME_CONTROLLER	ru	delta_gap_smoke
fight stick razer kitsune	TECH.GAMING	GAME_CONTROLLER	gaming_type=GAME_CONTROLLER	ru	delta_gap_smoke
backbone one usb c	TECH.GAMING	GAME_CONTROLLER	gaming_type=GAME_CONTROLLER	ru	delta_gap_smoke
gamesir g8 galileo	TECH.GAMING	GAME_CONTROLLER	gaming_type=GAME_CONTROLLER	ru	delta_gap_smoke
игровая мышь logitech g502 x plus	TECH.GAMING	GAMING_MOUSE	gaming_type=GAMING_MOUSE	ru	delta_gap_smoke
razer deathadder v3 pro mouse	TECH.GAMING	GAMING_MOUSE	gaming_type=GAMING_MOUSE	ru	delta_gap_smoke
hyperx pulsefire haste 2	TECH.GAMING	GAMING_MOUSE	gaming_type=GAMING_MOUSE	ru	delta_gap_smoke
игровая гарнитура astro a50 x	TECH.GAMING	GAMING_HEADSET	gaming_type=GAMING_HEADSET	ru	delta_gap_smoke
turtle beach stealth 700 gen 3	TECH.GAMING	GAMING_HEADSET	gaming_type=GAMING_HEADSET	ru	delta_gap_smoke
logitech g pro x 2 headset	TECH.GAMING	GAMING_HEADSET	gaming_type=GAMING_HEADSET	ru	delta_gap_smoke
зарядная станция dualsense ps5	TECH.GAMING	CONSOLE_ACCESSORY	gaming_type=CONSOLE_ACCESSORY	ru	delta_gap_smoke
xbox expansion card 1tb	TECH.GAMING	CONSOLE_ACCESSORY	gaming_type=CONSOLE_ACCESSORY	ru	delta_gap_smoke
steam deck dock	TECH.GAMING	CONSOLE_ACCESSORY	gaming_type=CONSOLE_ACCESSORY	ru	delta_gap_smoke
quest link cable	TECH.GAMING	CONSOLE_ACCESSORY	gaming_type=CONSOLE_ACCESSORY	ru	delta_gap_smoke
arcade1up street fighter cabinet	TECH.GAMING	ARCADE_EQUIPMENT	gaming_type=ARCADE_EQUIPMENT	ru	delta_gap_smoke
pandora box 12 аркадный автомат	TECH.GAMING	ARCADE_EQUIPMENT	gaming_type=ARCADE_EQUIPMENT	ru	delta_gap_smoke
bartop arcade cabinet	TECH.GAMING	ARCADE_EQUIPMENT	gaming_type=ARCADE_EQUIPMENT	ru	delta_gap_smoke
диск ps5 spider man 2	TECH.GAMING	PHYSICAL_GAME	gaming_type=PHYSICAL_GAME	ru	delta_gap_smoke
картридж nintendo switch zelda	TECH.GAMING	PHYSICAL_GAME	gaming_type=PHYSICAL_GAME	ru	delta_gap_smoke
игра xbox forza horizon 5 диск	TECH.GAMING	PHYSICAL_GAME	gaming_type=PHYSICAL_GAME	ru	delta_gap_smoke
airpods для ps5	TECH.AUDIO		route_to=TECH.AUDIO unless explicit gaming headset	ru	negative_audio_route
rtx 5070 для игр	TECH.PC_COMPONENTS		route_to=TECH.PC_COMPONENTS	ru	negative_pc_component_route
подписка game pass account	BLOCKED		digital_account_service_not_baseline_product	ru	negative_account_service
казино игровые автоматы онлайн	BLOCKED		gambling_service_not_product	ru	negative_gambling
