alias	model_id	action	reason
official playstation ps5 lineup cue	PS5_CONSOLE_1TB	REMOVE	source_note_leaked_as_search_alias
official playstation ps5 lineup cue	PS5_DIGITAL_825GB	REMOVE	source_note_leaked_as_search_alias
official playstation ps5 lineup cue	PS5_PRO_2TB	REMOVE	source_note_leaked_as_search_alias
resale head	PS4_SLIM	REMOVE	source_note_leaked_as_search_alias
resale head	PS4_PRO	REMOVE	source_note_leaked_as_search_alias
official xbox consoles cue	XBOX_SERIES_X_1TB	REMOVE	source_note_leaked_as_search_alias
official xbox consoles cue	XBOX_SERIES_S_512	REMOVE	source_note_leaked_as_search_alias
official xbox consoles cue	XBOX_SERIES_X_2TB	REMOVE	source_note_leaked_as_search_alias
resale head	XBOX_ONE_S	REMOVE	source_note_leaked_as_search_alias
resale head	XBOX_ONE_X	REMOVE	source_note_leaked_as_search_alias
official nintendo switch 2 cue	NINTENDO_SWITCH_2	REMOVE	source_note_leaked_as_search_alias
resale head	NINTENDO_SWITCH_OLED	REMOVE	source_note_leaked_as_search_alias
resale head	NINTENDO_SWITCH_LITE	REMOVE	source_note_leaked_as_search_alias
resale head	STEAM_DECK_OLED	REMOVE	source_note_leaked_as_search_alias
resale head	STEAM_DECK_LCD	REMOVE	source_note_leaked_as_search_alias
gaming handheld head	ROG_ALLY_X	REMOVE	source_note_leaked_as_search_alias
gaming handheld head	ROG_ALLY	REMOVE	source_note_leaked_as_search_alias
gaming handheld head	LENOVO_LEGION_GO	REMOVE	source_note_leaked_as_search_alias
long-tail head	AYANEO_2S	REMOVE	source_note_leaked_as_search_alias
long-tail head	GPD_WIN_4	REMOVE	source_note_leaked_as_search_alias
official meta quest 3s cue	META_QUEST_3S_128	REMOVE	source_note_leaked_as_search_alias
head vr model	META_QUEST_3_512	REMOVE	source_note_leaked_as_search_alias
head vr model	PS_VR2	REMOVE	source_note_leaked_as_search_alias
resale head	VALVE_INDEX	REMOVE	source_note_leaked_as_search_alias
head controller	DUALSENSE	REMOVE	source_note_leaked_as_search_alias
head controller	DUALSENSE_EDGE	REMOVE	source_note_leaked_as_search_alias
head controller	XBOX_WIRELESS_CONTROLLER	REMOVE	source_note_leaked_as_search_alias
head controller	XBOX_ELITE_SERIES_2	REMOVE	source_note_leaked_as_search_alias
head controller	NINTENDO_PRO_CONTROLLER	REMOVE	source_note_leaked_as_search_alias
head controller	JOY_CON_PAIR	REMOVE	source_note_leaked_as_search_alias
head racing wheel	THRUSTMASTER_T300RS	REMOVE	source_note_leaked_as_search_alias
head racing wheel	LOGITECH_G923	REMOVE	source_note_leaked_as_search_alias
head racing base	FANATEC_CSL_DD	REMOVE	source_note_leaked_as_search_alias
head fight stick	RAZER_KITSUNE	REMOVE	source_note_leaked_as_search_alias
head keyboard	RAZER_HUNTSMAN_V3_PRO	REMOVE	source_note_leaked_as_search_alias
head keyboard	LOGITECH_G_PRO_X_TKL	REMOVE	source_note_leaked_as_search_alias
head keyboard	STEELSERIES_APEX_PRO_TKL	REMOVE	source_note_leaked_as_search_alias
head keyboard	CORSAIR_K70_RGB_PRO	REMOVE	source_note_leaked_as_search_alias
head mouse	RAZER_DEATHADDER_V3_PRO	REMOVE	source_note_leaked_as_search_alias
head mouse	LOGITECH_G_PRO_X_SUPERLIGHT_2	REMOVE	source_note_leaked_as_search_alias
head mouse	STEELSERIES_AEROX_5	REMOVE	source_note_leaked_as_search_alias
head headset	RAZER_BLACKSHARK_V2_PRO	REMOVE	source_note_leaked_as_search_alias
head headset	STEELSERIES_ARCTIS_NOVA_PRO	REMOVE	source_note_leaked_as_search_alias
head headset	HYPERX_CLOUD_III	REMOVE	source_note_leaked_as_search_alias
accessory head	PS5_DUALSENSE_CHARGING_STATION	REMOVE	source_note_leaked_as_search_alias
accessory head	XBOX_EXPANSION_CARD_1TB	REMOVE	source_note_leaked_as_search_alias
accessory head	SWITCH_2_CAMERA	REMOVE	source_note_leaked_as_search_alias
accessory head	STEAM_DECK_DOCK	REMOVE	source_note_leaked_as_search_alias
game head sample	MARIO_KART_WORLD	REMOVE	source_note_leaked_as_search_alias
game head sample	ZELDA_TOTK	REMOVE	source_note_leaked_as_search_alias
game head sample	SPIDER_MAN_2_PS5	REMOVE	source_note_leaked_as_search_alias
game head sample	ELDEN_RING_PS5	REMOVE	source_note_leaked_as_search_alias
game head sample	FORZA_HORIZON_5_XBOX	REMOVE	source_note_leaked_as_search_alias
arcade head	ARCADE1UP_CABINET	REMOVE	source_note_leaked_as_search_alias
arcade head	PANDORA_BOX_10TH	REMOVE	source_note_leaked_as_search_alias
