alias	target_code	target_type	locale	confidence	note
home console, стационарная консоль	GAME_CONSOLE	gaming_type	ru	0.85	
home console	GAME_CONSOLE	gaming_type	ru	0.85	
стационарная консоль	GAME_CONSOLE	gaming_type	ru	0.85	
handheld console / gaming handheld	HANDHELD_CONSOLE	gaming_type	ru	0.85	
handheld console / gaming handheld	HANDHELD_CONSOLE	gaming_type	ru	0.85	
VR / mixed reality headset for gaming	VR_HEADSET	gaming_type	ru	0.85	
VR / mixed reality headset for gaming	VR_HEADSET	gaming_type	ru	0.85	
gamepad, joystick, wheel, fight stick	GAME_CONTROLLER	gaming_type	ru	0.85	
gamepad	GAME_CONTROLLER	gaming_type	ru	0.85	
joystick	GAME_CONTROLLER	gaming_type	ru	0.85	
wheel	GAME_CONTROLLER	gaming_type	ru	0.85	
fight stick	GAME_CONTROLLER	gaming_type	ru	0.85	
gaming keyboard	GAMING_KEYBOARD	gaming_type	ru	0.85	
gaming keyboard	GAMING_KEYBOARD	gaming_type	ru	0.85	
gaming mouse	GAMING_MOUSE	gaming_type	ru	0.85	
gaming mouse	GAMING_MOUSE	gaming_type	ru	0.85	
gaming headset	GAMING_HEADSET	gaming_type	ru	0.85	
gaming headset	GAMING_HEADSET	gaming_type	ru	0.85	
charging dock, stand, grip, carrying case	CONSOLE_ACCESSORY	gaming_type	ru	0.85	
charging dock	CONSOLE_ACCESSORY	gaming_type	ru	0.85	
stand	CONSOLE_ACCESSORY	gaming_type	ru	0.85	
grip	CONSOLE_ACCESSORY	gaming_type	ru	0.85	
carrying case	CONSOLE_ACCESSORY	gaming_type	ru	0.85	
disc/cartridge game, code-in-box	PHYSICAL_GAME	gaming_type	ru	0.85	
disc/cartridge game	PHYSICAL_GAME	gaming_type	ru	0.85	
code-in-box	PHYSICAL_GAME	gaming_type	ru	0.85	
arcade cabinet, stick, pinball, coin-op	ARCADE_EQUIPMENT	gaming_type	ru	0.85	
arcade cabinet	ARCADE_EQUIPMENT	gaming_type	ru	0.85	
stick	ARCADE_EQUIPMENT	gaming_type	ru	0.85	
pinball	ARCADE_EQUIPMENT	gaming_type	ru	0.85	
coin-op	ARCADE_EQUIPMENT	gaming_type	ru	0.85	
ps5	GAME_CONSOLE	gaming_type	ru	0.9	
ps 5	GAME_CONSOLE	gaming_type	ru	0.9	
playstation 5	GAME_CONSOLE	gaming_type	ru	0.9	
плейстейшен 5	GAME_CONSOLE	gaming_type	ru	0.9	
xbox series x	GAME_CONSOLE	gaming_type	ru	0.9	
xbox series s	GAME_CONSOLE	gaming_type	ru	0.9	
иксбокс	GAME_CONSOLE	gaming_type	ru	0.9	
нинтендо свитч	GAME_CONSOLE	gaming_type	ru	0.9	
nintendo switch	GAME_CONSOLE	gaming_type	ru	0.9	
steam deck	HANDHELD_CONSOLE	gaming_type	ru	0.9	
стим дек	HANDHELD_CONSOLE	gaming_type	ru	0.9	
rog ally	HANDHELD_CONSOLE	gaming_type	ru	0.9	
lenovo legion go	HANDHELD_CONSOLE	gaming_type	ru	0.9	
портативная консоль	HANDHELD_CONSOLE	gaming_type	ru	0.9	
карманная консоль	HANDHELD_CONSOLE	gaming_type	ru	0.9	
handheld	HANDHELD_CONSOLE	gaming_type	ru	0.9	
vr шлем	VR_HEADSET	gaming_type	ru	0.9	
vr гарнитура	VR_HEADSET	gaming_type	ru	0.9	
очки виртуальной реальности	VR_HEADSET	gaming_type	ru	0.9	
meta quest	VR_HEADSET	gaming_type	ru	0.9	
oculus quest	VR_HEADSET	gaming_type	ru	0.9	
ps vr2	VR_HEADSET	gaming_type	ru	0.9	
psvr2	VR_HEADSET	gaming_type	ru	0.9	
геймпад	GAME_CONTROLLER	gaming_type	ru	0.9	
джойстик	GAME_CONTROLLER	gaming_type	ru	0.9	
контроллер	GAME_CONTROLLER	gaming_type	ru	0.9	
dualsense	GAME_CONTROLLER	gaming_type	ru	0.9	
xbox controller	GAME_CONTROLLER	gaming_type	ru	0.9	
pro controller	GAME_CONTROLLER	gaming_type	ru	0.9	
руль для игр	GAME_CONTROLLER	gaming_type	ru	0.9	
flight stick	GAME_CONTROLLER	gaming_type	ru	0.9	
fight stick	GAME_CONTROLLER	gaming_type	ru	0.9	
игровая клавиатура	GAMING_KEYBOARD	gaming_type	ru	0.9	
механическая клавиатура для игр	GAMING_KEYBOARD	gaming_type	ru	0.9	
razer keyboard	GAMING_KEYBOARD	gaming_type	ru	0.9	
logitech g keyboard	GAMING_KEYBOARD	gaming_type	ru	0.9	
игровая мышь	GAMING_MOUSE	gaming_type	ru	0.9	
мышка для игр	GAMING_MOUSE	gaming_type	ru	0.9	
gaming mouse	GAMING_MOUSE	gaming_type	ru	0.9	
razer mouse	GAMING_MOUSE	gaming_type	ru	0.9	
logitech g mouse	GAMING_MOUSE	gaming_type	ru	0.9	
игровая гарнитура	GAMING_HEADSET	gaming_type	ru	0.9	
гарнитура для ps5	GAMING_HEADSET	gaming_type	ru	0.9	
гарнитура xbox	GAMING_HEADSET	gaming_type	ru	0.9	
gaming headset	GAMING_HEADSET	gaming_type	ru	0.9	
аксессуар для консоли	CONSOLE_ACCESSORY	gaming_type	ru	0.9	
зарядная станция для геймпадов	CONSOLE_ACCESSORY	gaming_type	ru	0.9	
подставка для ps5	CONSOLE_ACCESSORY	gaming_type	ru	0.9	
чехол для switch	CONSOLE_ACCESSORY	gaming_type	ru	0.9	
dock для steam deck	CONSOLE_ACCESSORY	gaming_type	ru	0.9	
игра на диске	PHYSICAL_GAME	gaming_type	ru	0.9	
диск ps5	PHYSICAL_GAME	gaming_type	ru	0.9	
картридж nintendo switch	PHYSICAL_GAME	gaming_type	ru	0.9	
физическая игра	PHYSICAL_GAME	gaming_type	ru	0.9	
игра xbox series	PHYSICAL_GAME	gaming_type	ru	0.9	
аркадный автомат	ARCADE_EQUIPMENT	gaming_type	ru	0.9	
игровой автомат	ARCADE_EQUIPMENT	gaming_type	ru	0.9	
arcade cabinet	ARCADE_EQUIPMENT	gaming_type	ru	0.9	
pinball	ARCADE_EQUIPMENT	gaming_type	ru	0.9	
аркадный стик	ARCADE_EQUIPMENT	gaming_type	ru	0.9	
sony	SONY	brand	ru	0.95	
сони	SONY	brand	ru	0.95	
playstation	SONY	brand	ru	0.95	
ps	SONY	brand	ru	0.95	
microsoft	MICROSOFT	brand	ru	0.95	
майкрософт	MICROSOFT	brand	ru	0.95	
xbox	MICROSOFT	brand	ru	0.95	
иксбокс	MICROSOFT	brand	ru	0.95	
nintendo	NINTENDO	brand	ru	0.95	
нинтендо	NINTENDO	brand	ru	0.95	
valve	VALVE	brand	ru	0.95	
steam deck	VALVE	brand	ru	0.95	
стим дек	VALVE	brand	ru	0.95	
meta	META	brand	ru	0.95	
oculus	META	brand	ru	0.95	
quest	META	brand	ru	0.95	
asus rog	ASUS_ROG	brand	ru	0.95	
rog	ASUS_ROG	brand	ru	0.95	
асус рог	ASUS_ROG	brand	ru	0.95	
logitech g	LOGITECH_G	brand	ru	0.95	
лоджитек g	LOGITECH_G	brand	ru	0.95	
логитек g	LOGITECH_G	brand	ru	0.95	
steelseries	STEELSERIES	brand	ru	0.95	
стилсириес	STEELSERIES	brand	ru	0.95	
hyperx	HYPERX	brand	ru	0.95	
хайпер икс	HYPERX	brand	ru	0.95	
8bitdo	8BITDO	brand	ru	0.95	
8 bit do	8BITDO	brand	ru	0.95	
8битдо	8BITDO	brand	ru	0.95	
