gaming_type	attribute_code	coverage	required	ui	note
GAME_CONSOLE	brand	CORE	recommended	initial_or_expanded	
GAME_CONSOLE	model_name_text	CORE	recommended	initial_or_expanded	
GAME_CONSOLE	platform	CORE	recommended	initial_or_expanded	
GAME_CONSOLE	condition	CORE	yes	initial_or_expanded	
GAME_CONSOLE	price	CORE	yes	initial_or_expanded	
GAME_CONSOLE	availability	CORE	yes	initial_or_expanded	
GAME_CONSOLE	included_accessories	CORE	recommended	initial_or_expanded	
GAME_CONSOLE	storage_capacity_gb	TYPE_SPECIFIC	conditional_or_recommended	expanded	
GAME_CONSOLE	disc_drive	TYPE_SPECIFIC	conditional_or_recommended	expanded	
GAME_CONSOLE	controller_count	TYPE_SPECIFIC	conditional_or_recommended	expanded	
GAME_CONSOLE	account_lock_status	TYPE_SPECIFIC	conditional_or_recommended	expanded	
GAME_CONSOLE	online_ban_status	TYPE_SPECIFIC	conditional_or_recommended	expanded	
HANDHELD_CONSOLE	brand	CORE	recommended	initial_or_expanded	
HANDHELD_CONSOLE	model_name_text	CORE	recommended	initial_or_expanded	
HANDHELD_CONSOLE	platform	CORE	recommended	initial_or_expanded	
HANDHELD_CONSOLE	condition	CORE	yes	initial_or_expanded	
HANDHELD_CONSOLE	price	CORE	yes	initial_or_expanded	
HANDHELD_CONSOLE	availability	CORE	yes	initial_or_expanded	
HANDHELD_CONSOLE	included_accessories	CORE	recommended	initial_or_expanded	
HANDHELD_CONSOLE	storage_capacity_gb	TYPE_SPECIFIC	conditional_or_recommended	expanded	
HANDHELD_CONSOLE	display_type	TYPE_SPECIFIC	conditional_or_recommended	expanded	
HANDHELD_CONSOLE	screen_size_in	TYPE_SPECIFIC	conditional_or_recommended	expanded	
HANDHELD_CONSOLE	battery_type	TYPE_SPECIFIC	conditional_or_recommended	expanded	
VR_HEADSET	brand	CORE	recommended	initial_or_expanded	
VR_HEADSET	model_name_text	CORE	recommended	initial_or_expanded	
VR_HEADSET	platform	CORE	recommended	initial_or_expanded	
VR_HEADSET	condition	CORE	yes	initial_or_expanded	
VR_HEADSET	price	CORE	yes	initial_or_expanded	
VR_HEADSET	availability	CORE	yes	initial_or_expanded	
VR_HEADSET	included_accessories	CORE	recommended	initial_or_expanded	
VR_HEADSET	vr_tracking_type	TYPE_SPECIFIC	conditional_or_recommended	expanded	
VR_HEADSET	vr_standalone_mode	TYPE_SPECIFIC	conditional_or_recommended	expanded	
VR_HEADSET	pc_vr_compatible	TYPE_SPECIFIC	conditional_or_recommended	expanded	
VR_HEADSET	controllers_included	TYPE_SPECIFIC	conditional_or_recommended	expanded	
GAME_CONTROLLER	brand	CORE	recommended	initial_or_expanded	
GAME_CONTROLLER	model_name_text	CORE	recommended	initial_or_expanded	
GAME_CONTROLLER	platform	CORE	recommended	initial_or_expanded	
GAME_CONTROLLER	condition	CORE	yes	initial_or_expanded	
GAME_CONTROLLER	price	CORE	yes	initial_or_expanded	
GAME_CONTROLLER	availability	CORE	yes	initial_or_expanded	
GAME_CONTROLLER	included_accessories	CORE	recommended	initial_or_expanded	
GAME_CONTROLLER	controller_subtype	TYPE_SPECIFIC	conditional_or_recommended	expanded	
GAME_CONTROLLER	connection_type	TYPE_SPECIFIC	conditional_or_recommended	expanded	
GAME_CONTROLLER	compatible_platform	TYPE_SPECIFIC	conditional_or_recommended	expanded	
GAME_CONTROLLER	wireless	TYPE_SPECIFIC	conditional_or_recommended	expanded	
GAME_CONTROLLER	battery_type	TYPE_SPECIFIC	conditional_or_recommended	expanded	
GAMING_KEYBOARD	brand	CORE	recommended	initial_or_expanded	
GAMING_KEYBOARD	model_name_text	CORE	recommended	initial_or_expanded	
GAMING_KEYBOARD	platform	CORE	recommended	initial_or_expanded	
GAMING_KEYBOARD	condition	CORE	yes	initial_or_expanded	
GAMING_KEYBOARD	price	CORE	yes	initial_or_expanded	
GAMING_KEYBOARD	availability	CORE	yes	initial_or_expanded	
GAMING_KEYBOARD	included_accessories	CORE	recommended	initial_or_expanded	
GAMING_KEYBOARD	keyboard_switch_type	TYPE_SPECIFIC	conditional_or_recommended	expanded	
GAMING_KEYBOARD	keyboard_layout	TYPE_SPECIFIC	conditional_or_recommended	expanded	
