alias	model_id	brand	platform	confidence	note
playstation 5 console 1tb	PS5_CONSOLE_1TB	SONY	PLAYSTATION	0.94	generated_from_head_seed
playstation 5 digital edition 825gb	PS5_DIGITAL_825GB	SONY	PLAYSTATION	0.94	generated_from_head_seed
playstation 5 pro 2tb	PS5_PRO_2TB	SONY	PLAYSTATION	0.94	generated_from_head_seed
playstation 4 slim	PS4_SLIM	SONY	PLAYSTATION	0.94	generated_from_head_seed
playstation 4 pro	PS4_PRO	SONY	PLAYSTATION	0.94	generated_from_head_seed
xbox series x 1tb	XBOX_SERIES_X_1TB	MICROSOFT	XBOX	0.94	generated_from_head_seed
xbox series s 512gb	XBOX_SERIES_S_512	MICROSOFT	XBOX	0.94	generated_from_head_seed
xbox series x 2tb galaxy black	XBOX_SERIES_X_2TB	MICROSOFT	XBOX	0.94	generated_from_head_seed
xbox one s	XBOX_ONE_S	MICROSOFT	XBOX	0.94	generated_from_head_seed
xbox one x	XBOX_ONE_X	MICROSOFT	XBOX	0.94	generated_from_head_seed
nintendo switch 2	NINTENDO_SWITCH_2	NINTENDO	NINTENDO	0.94	generated_from_head_seed
nintendo switch oled	NINTENDO_SWITCH_OLED	NINTENDO	NINTENDO	0.94	generated_from_head_seed
nintendo switch lite	NINTENDO_SWITCH_LITE	NINTENDO	NINTENDO	0.94	generated_from_head_seed
steam deck oled	STEAM_DECK_OLED	VALVE	STEAM_DECK	0.94	generated_from_head_seed
steam deck lcd	STEAM_DECK_LCD	VALVE	STEAM_DECK	0.94	generated_from_head_seed
rog ally x	ROG_ALLY_X	ASUS_ROG	PC	0.94	generated_from_head_seed
rog ally	ROG_ALLY	ASUS_ROG	PC	0.94	generated_from_head_seed
lenovo legion go	LENOVO_LEGION_GO	LENOVO	PC	0.94	generated_from_head_seed
ayaneo 2s	AYANEO_2S	AYANEO	PC	0.94	generated_from_head_seed
gpd win 4	GPD_WIN_4	GPD	PC	0.94	generated_from_head_seed
meta quest 3s 128gb	META_QUEST_3S_128	META	META_QUEST	0.94	generated_from_head_seed
meta quest 3 512gb	META_QUEST_3_512	META	META_QUEST	0.94	generated_from_head_seed
playstation vr2	PS_VR2	SONY	PLAYSTATION	0.94	generated_from_head_seed
valve index	VALVE_INDEX	VALVE	PC	0.94	generated_from_head_seed
dualsense wireless controller	DUALSENSE	SONY	PLAYSTATION	0.94	generated_from_head_seed
dualsense edge	DUALSENSE_EDGE	SONY	PLAYSTATION	0.94	generated_from_head_seed
xbox wireless controller	XBOX_WIRELESS_CONTROLLER	MICROSOFT	XBOX	0.94	generated_from_head_seed
xbox elite wireless controller series 2	XBOX_ELITE_SERIES_2	MICROSOFT	XBOX	0.94	generated_from_head_seed
nintendo switch pro controller	NINTENDO_PRO_CONTROLLER	NINTENDO	NINTENDO	0.94	generated_from_head_seed
joy-con pair	JOY_CON_PAIR	NINTENDO	NINTENDO	0.94	generated_from_head_seed
thrustmaster t300 rs	THRUSTMASTER_T300RS	THRUSTMASTER	MULTIPLATFORM	0.94	generated_from_head_seed
logitech g923	LOGITECH_G923	LOGITECH_G	MULTIPLATFORM	0.94	generated_from_head_seed
fanatec csl dd	FANATEC_CSL_DD	FANATEC	PC	0.94	generated_from_head_seed
razer kitsune	RAZER_KITSUNE	RAZER	PLAYSTATION	0.94	generated_from_head_seed
razer huntsman v3 pro	RAZER_HUNTSMAN_V3_PRO	RAZER	PC	0.94	generated_from_head_seed
logitech g pro x tkl	LOGITECH_G_PRO_X_TKL	LOGITECH_G	PC	0.94	generated_from_head_seed
steelseries apex pro tkl	STEELSERIES_APEX_PRO_TKL	STEELSERIES	PC	0.94	generated_from_head_seed
corsair k70 rgb pro	CORSAIR_K70_RGB_PRO	CORSAIR	PC	0.94	generated_from_head_seed
razer deathadder v3 pro	RAZER_DEATHADDER_V3_PRO	RAZER	PC	0.94	generated_from_head_seed
logitech g pro x superlight 2	LOGITECH_G_PRO_X_SUPERLIGHT_2	LOGITECH_G	PC	0.94	generated_from_head_seed
steelseries aerox 5	STEELSERIES_AEROX_5	STEELSERIES	PC	0.94	generated_from_head_seed
razer blackshark v2 pro	RAZER_BLACKSHARK_V2_PRO	RAZER	PC	0.94	generated_from_head_seed
steelseries arctis nova pro	STEELSERIES_ARCTIS_NOVA_PRO	STEELSERIES	MULTIPLATFORM	0.94	generated_from_head_seed
hyperx cloud iii	HYPERX_CLOUD_III	HYPERX	MULTIPLATFORM	0.94	generated_from_head_seed
dualsense charging station	PS5_DUALSENSE_CHARGING_STATION	SONY	PLAYSTATION	0.94	generated_from_head_seed
xbox storage expansion card 1tb	XBOX_EXPANSION_CARD_1TB	MICROSOFT	XBOX	0.94	generated_from_head_seed
