model_id	gaming_type	brand	family	model	platform	release_year	storage_capacity_gb	priority	source_level	aliases	note
PS5_CONSOLE_1TB	GAME_CONSOLE	SONY	PLAYSTATION	PlayStation 5 Console 1TB	PLAYSTATION	2023	1000	HEAD	ps5 1tb; playstation 5 slim; ps5 console	Official PlayStation PS5 lineup cue	
PS5_DIGITAL_825GB	GAME_CONSOLE	SONY	PLAYSTATION	PlayStation 5 Digital Edition 825GB	PLAYSTATION	2020	825	HEAD	ps5 digital; ps5 digital edition	Official PlayStation PS5 lineup cue	
PS5_PRO_2TB	GAME_CONSOLE	SONY	PLAYSTATION	PlayStation 5 Pro 2TB	PLAYSTATION	2024	2000	HEAD	ps5 pro; playstation 5 pro	Official PlayStation PS5 lineup cue	
PS4_SLIM	GAME_CONSOLE	SONY	PLAYSTATION	PlayStation 4 Slim	PLAYSTATION	2016	500	HEAD	ps4 slim; sony ps4 slim	Resale head	
PS4_PRO	GAME_CONSOLE	SONY	PLAYSTATION	PlayStation 4 Pro	PLAYSTATION	2016	1000	HEAD	ps4 pro; sony ps4 pro	Resale head	
XBOX_SERIES_X_1TB	GAME_CONSOLE	MICROSOFT	XBOX	Xbox Series X 1TB	XBOX	2020	1000	HEAD	series x; xbox sx	Official Xbox consoles cue	
XBOX_SERIES_S_512	GAME_CONSOLE	MICROSOFT	XBOX	Xbox Series S 512GB	XBOX	2020	512	HEAD	series s; xbox ss	Official Xbox consoles cue	
XBOX_SERIES_X_2TB	GAME_CONSOLE	MICROSOFT	XBOX	Xbox Series X 2TB Galaxy Black	XBOX	2024	2000	HEAD	series x 2tb; galaxy black xbox	Official Xbox consoles cue	
XBOX_ONE_S	GAME_CONSOLE	MICROSOFT	XBOX	Xbox One S	XBOX	2016	500	HEAD	xbox one s	Resale head	
XBOX_ONE_X	GAME_CONSOLE	MICROSOFT	XBOX	Xbox One X	XBOX	2017	1000	HEAD	xbox one x	Resale head	
NINTENDO_SWITCH_2	HANDHELD_CONSOLE	NINTENDO	SWITCH	Nintendo Switch 2	NINTENDO	2025	256	HEAD	switch 2; нинтендо свитч 2	Official Nintendo Switch 2 cue	
NINTENDO_SWITCH_OLED	HANDHELD_CONSOLE	NINTENDO	SWITCH	Nintendo Switch OLED	NINTENDO	2021	64	HEAD	switch oled; oled switch	Resale head	
NINTENDO_SWITCH_LITE	HANDHELD_CONSOLE	NINTENDO	SWITCH	Nintendo Switch Lite	NINTENDO	2019	32	HEAD	switch lite	Resale head	
STEAM_DECK_OLED	HANDHELD_CONSOLE	VALVE	STEAM_DECK	Steam Deck OLED	STEAM_DECK	2023	512	HEAD	steam deck oled; стим дек oled	Resale head	
STEAM_DECK_LCD	HANDHELD_CONSOLE	VALVE	STEAM_DECK	Steam Deck LCD	STEAM_DECK	2022	256	HEAD	steam deck lcd; стим дек	Resale head	
ROG_ALLY_X	HANDHELD_CONSOLE	ASUS_ROG	ROG_ALLY	ROG Ally X	PC	2024	1000	HEAD	asus rog ally x	Gaming handheld head	
ROG_ALLY	HANDHELD_CONSOLE	ASUS_ROG	ROG_ALLY	ROG Ally	PC	2023	512	HEAD	asus rog ally	Gaming handheld head	
LENOVO_LEGION_GO	HANDHELD_CONSOLE	LENOVO	LEGION_GO	Lenovo Legion Go	PC	2023	512	HEAD	legion go	Gaming handheld head	
AYANEO_2S	HANDHELD_CONSOLE	AYANEO	AYANEO	AYANEO 2S	PC	2023	512	HEAD	aya neo 2s	Long-tail head	
GPD_WIN_4	HANDHELD_CONSOLE	GPD	GPD_WIN	GPD Win 4	PC	2023	512	HEAD	gpd win4	Long-tail head	
META_QUEST_3S_128	VR_HEADSET	META	QUEST	Meta Quest 3S 128GB	META_QUEST	2024	128	HEAD	quest 3s; oculus quest 3s	Official Meta Quest 3S cue	
META_QUEST_3_512	VR_HEADSET	META	QUEST	Meta Quest 3 512GB	META_QUEST	2023	512	HEAD	quest 3; oculus quest 3	Head VR model	
PS_VR2	VR_HEADSET	SONY	PLAYSTATION_VR	PlayStation VR2	PLAYSTATION	2023		HEAD	psvr2; ps vr2	Head VR model	
VALVE_INDEX	VR_HEADSET	VALVE	INDEX	Valve Index	PC	2019		HEAD	valve index	Resale head	
DUALSENSE	GAME_CONTROLLER	SONY	PLAYSTATION	DualSense Wireless Controller	PLAYSTATION	2020		HEAD	dualsense; ps5 controller	Head controller	
DUALSENSE_EDGE	GAME_CONTROLLER	SONY	PLAYSTATION	DualSense Edge	PLAYSTATION	2023		HEAD	dualsense edge	Head controller	
XBOX_WIRELESS_CONTROLLER	GAME_CONTROLLER	MICROSOFT	XBOX	Xbox Wireless Controller	XBOX	2020		HEAD	xbox controller	Head controller	
XBOX_ELITE_SERIES_2	GAME_CONTROLLER	MICROSOFT	XBOX	Xbox Elite Wireless Controller Series 2	XBOX	2019		HEAD	elite series 2	Head controller	
NINTENDO_PRO_CONTROLLER	GAME_CONTROLLER	NINTENDO	SWITCH	Nintendo Switch Pro Controller	NINTENDO	2017		HEAD	pro controller switch	Head controller	
JOY_CON_PAIR	GAME_CONTROLLER	NINTENDO	SWITCH	Joy-Con Pair	NINTENDO	2017		HEAD	joycon; joy-con	Head controller	
THRUSTMASTER_T300RS	GAME_CONTROLLER	THRUSTMASTER	T_SERIES	Thrustmaster T300 RS	MULTIPLATFORM	2014		HEAD	t300rs	Head racing wheel	
LOGITECH_G923	GAME_CONTROLLER	LOGITECH_G	G_SERIES	Logitech G923	MULTIPLATFORM	2020		HEAD	g923	Head racing wheel	
FANATEC_CSL_DD	GAME_CONTROLLER	FANATEC	CSL	Fanatec CSL DD	PC	2021		HEAD	csl dd	Head racing base	
RAZER_KITSUNE	GAME_CONTROLLER	RAZER	KITSUNE	Razer Kitsune	PLAYSTATION	2023		HEAD	razer kitsune	Head fight stick	
