query	expected_category	expected_type	expected_fields	locale	note
ps5 1tb	TECH.GAMING	GAME_CONSOLE	gaming_type=GAME_CONSOLE	ru	
playstation 5 pro	TECH.GAMING	GAME_CONSOLE	gaming_type=GAME_CONSOLE	ru	
xbox series x	TECH.GAMING	GAME_CONSOLE	gaming_type=GAME_CONSOLE	ru	
xbox series s	TECH.GAMING	GAME_CONSOLE	gaming_type=GAME_CONSOLE	ru	
nintendo switch 2	TECH.GAMING	GAME_CONSOLE	gaming_type=GAME_CONSOLE	ru	
sony ps4 pro	TECH.GAMING	GAME_CONSOLE	gaming_type=GAME_CONSOLE	ru	
xbox one x	TECH.GAMING	GAME_CONSOLE	gaming_type=GAME_CONSOLE	ru	
steam deck oled	TECH.GAMING	HANDHELD_CONSOLE	gaming_type=HANDHELD_CONSOLE	ru	
asus rog ally x	TECH.GAMING	HANDHELD_CONSOLE	gaming_type=HANDHELD_CONSOLE	ru	
lenovo legion go	TECH.GAMING	HANDHELD_CONSOLE	gaming_type=HANDHELD_CONSOLE	ru	
nintendo switch oled	TECH.GAMING	HANDHELD_CONSOLE	gaming_type=HANDHELD_CONSOLE	ru	
gpd win 4	TECH.GAMING	HANDHELD_CONSOLE	gaming_type=HANDHELD_CONSOLE	ru	
портативная консоль steam deck	TECH.GAMING	HANDHELD_CONSOLE	gaming_type=HANDHELD_CONSOLE	ru	
meta quest 3s	TECH.GAMING	VR_HEADSET	gaming_type=VR_HEADSET	ru	
oculus quest 3	TECH.GAMING	VR_HEADSET	gaming_type=VR_HEADSET	ru	
ps vr2	TECH.GAMING	VR_HEADSET	gaming_type=VR_HEADSET	ru	
playstation vr2	TECH.GAMING	VR_HEADSET	gaming_type=VR_HEADSET	ru	
valve index vr headset	TECH.GAMING	VR_HEADSET	gaming_type=VR_HEADSET	ru	
vr шлем для ps5	TECH.GAMING	VR_HEADSET	gaming_type=VR_HEADSET	ru	
dualsense ps5	TECH.GAMING	GAME_CONTROLLER	gaming_type=GAME_CONTROLLER	ru	
xbox elite controller series 2	TECH.GAMING	GAME_CONTROLLER	gaming_type=GAME_CONTROLLER	ru	
joy con pair	TECH.GAMING	GAME_CONTROLLER	gaming_type=GAME_CONTROLLER	ru	
руль logitech g923	TECH.GAMING	GAME_CONTROLLER	gaming_type=GAME_CONTROLLER	ru	
thrustmaster t300 rs	TECH.GAMING	GAME_CONTROLLER	gaming_type=GAME_CONTROLLER	ru	
fight stick razer kitsune	TECH.GAMING	GAME_CONTROLLER	gaming_type=GAME_CONTROLLER	ru	
razer huntsman v3 pro	TECH.GAMING	GAMING_KEYBOARD	gaming_type=GAMING_KEYBOARD	ru	
logitech g pro x tkl	TECH.GAMING	GAMING_KEYBOARD	gaming_type=GAMING_KEYBOARD	ru	
steelseries apex pro tkl	TECH.GAMING	GAMING_KEYBOARD	gaming_type=GAMING_KEYBOARD	ru	
игровая механическая клавиатура	TECH.GAMING	GAMING_KEYBOARD	gaming_type=GAMING_KEYBOARD	ru	
razer deathadder v3 pro	TECH.GAMING	GAMING_MOUSE	gaming_type=GAMING_MOUSE	ru	
logitech g pro x superlight 2	TECH.GAMING	GAMING_MOUSE	gaming_type=GAMING_MOUSE	ru	
steelseries aerox 5	TECH.GAMING	GAMING_MOUSE	gaming_type=GAMING_MOUSE	ru	
игровая мышь wireless	TECH.GAMING	GAMING_MOUSE	gaming_type=GAMING_MOUSE	ru	
razer blackshark v2 pro	TECH.GAMING	GAMING_HEADSET	gaming_type=GAMING_HEADSET	ru	
steelseries arctis nova pro	TECH.GAMING	GAMING_HEADSET	gaming_type=GAMING_HEADSET	ru	
hyperx cloud iii	TECH.GAMING	GAMING_HEADSET	gaming_type=GAMING_HEADSET	ru	
гарнитура ps5 gaming	TECH.GAMING	GAMING_HEADSET	gaming_type=GAMING_HEADSET	ru	
dualSense charging station	TECH.GAMING	CONSOLE_ACCESSORY	gaming_type=CONSOLE_ACCESSORY	ru	
xbox expansion card 1tb	TECH.GAMING	CONSOLE_ACCESSORY	gaming_type=CONSOLE_ACCESSORY	ru	
steam deck dock	TECH.GAMING	CONSOLE_ACCESSORY	gaming_type=CONSOLE_ACCESSORY	ru	
чехол для nintendo switch	TECH.GAMING	CONSOLE_ACCESSORY	gaming_type=CONSOLE_ACCESSORY	ru	
подставка для ps5	TECH.GAMING	CONSOLE_ACCESSORY	gaming_type=CONSOLE_ACCESSORY	ru	
диск ps5 spider man 2	TECH.GAMING	PHYSICAL_GAME	gaming_type=PHYSICAL_GAME	ru	
картридж nintendo switch zelda	TECH.GAMING	PHYSICAL_GAME	gaming_type=PHYSICAL_GAME	ru	
elden ring ps5 диск	TECH.GAMING	PHYSICAL_GAME	gaming_type=PHYSICAL_GAME	ru	
forza horizon 5 xbox disc	TECH.GAMING	PHYSICAL_GAME	gaming_type=PHYSICAL_GAME	ru	
игра nintendo switch 2 mario kart world	TECH.GAMING	PHYSICAL_GAME	gaming_type=PHYSICAL_GAME	ru	
аркадный автомат arcade1up	TECH.GAMING	ARCADE_EQUIPMENT	gaming_type=ARCADE_EQUIPMENT	ru	
pandora box arcade	TECH.GAMING	ARCADE_EQUIPMENT	gaming_type=ARCADE_EQUIPMENT	ru	
pinball machine	TECH.GAMING	ARCADE_EQUIPMENT	gaming_type=ARCADE_EQUIPMENT	ru	
аркадный стик для файтингов	TECH.GAMING	ARCADE_EQUIPMENT	gaming_type=ARCADE_EQUIPMENT	ru	
обычная клавиатура офисная	TECH.COMPUTER_ACCESSORIES			ru	generic keyboard not gaming
наушники sony wh-1000xm5	TECH.AUDIO			ru	audio headphones
телевизор samsung 55 oled	TECH.TV_HOME_THEATER			ru	tv
rtx 4070 видеокарта	TECH.PC_COMPONENTS			ru	gpu
ssd samsung 990 pro	TECH.STORAGE_MEMORY			ru	ssd
iphone 15 pro	TECH.PHONES			ru	phone
чехол iphone 15	TECH.PHONE_ACCESSORIES			ru	phone case
камера безопасности wifi	TECH.SMART_HOME_SECURITY			ru	security camera
dash cam xiaomi	TECH.CAR_ELECTRONICS_GPS			ru	dash cam
детская игрушка приставка муляж	TOYS_OR_KIDS			ru	toy conflict
playstation 5 console 1tb	TECH.GAMING	GAME_CONSOLE	brand=SONY;model_id=PS5_CONSOLE_1TB	en	head model smoke
playstation 5 digital edition 825gb	TECH.GAMING	GAME_CONSOLE	brand=SONY;model_id=PS5_DIGITAL_825GB	en	head model smoke
playstation 5 pro 2tb	TECH.GAMING	GAME_CONSOLE	brand=SONY;model_id=PS5_PRO_2TB	en	head model smoke
playstation 4 slim	TECH.GAMING	GAME_CONSOLE	brand=SONY;model_id=PS4_SLIM	en	head model smoke
playstation 4 pro	TECH.GAMING	GAME_CONSOLE	brand=SONY;model_id=PS4_PRO	en	head model smoke
xbox series x 1tb	TECH.GAMING	GAME_CONSOLE	brand=MICROSOFT;model_id=XBOX_SERIES_X_1TB	en	head model smoke
xbox series s 512gb	TECH.GAMING	GAME_CONSOLE	brand=MICROSOFT;model_id=XBOX_SERIES_S_512	en	head model smoke
xbox series x 2tb galaxy black	TECH.GAMING	GAME_CONSOLE	brand=MICROSOFT;model_id=XBOX_SERIES_X_2TB	en	head model smoke
xbox one s	TECH.GAMING	GAME_CONSOLE	brand=MICROSOFT;model_id=XBOX_ONE_S	en	head model smoke
xbox one x	TECH.GAMING	GAME_CONSOLE	brand=MICROSOFT;model_id=XBOX_ONE_X	en	head model smoke
nintendo switch 2	TECH.GAMING	HANDHELD_CONSOLE	brand=NINTENDO;model_id=NINTENDO_SWITCH_2	en	head model smoke
nintendo switch oled	TECH.GAMING	HANDHELD_CONSOLE	brand=NINTENDO;model_id=NINTENDO_SWITCH_OLED	en	head model smoke
nintendo switch lite	TECH.GAMING	HANDHELD_CONSOLE	brand=NINTENDO;model_id=NINTENDO_SWITCH_LITE	en	head model smoke
steam deck oled	TECH.GAMING	HANDHELD_CONSOLE	brand=VALVE;model_id=STEAM_DECK_OLED	en	head model smoke
steam deck lcd	TECH.GAMING	HANDHELD_CONSOLE	brand=VALVE;model_id=STEAM_DECK_LCD	en	head model smoke
rog ally x	TECH.GAMING	HANDHELD_CONSOLE	brand=ASUS_ROG;model_id=ROG_ALLY_X	en	head model smoke
rog ally	TECH.GAMING	HANDHELD_CONSOLE	brand=ASUS_ROG;model_id=ROG_ALLY	en	head model smoke
lenovo legion go	TECH.GAMING	HANDHELD_CONSOLE	brand=LENOVO;model_id=LENOVO_LEGION_GO	en	head model smoke
ayaneo 2s	TECH.GAMING	HANDHELD_CONSOLE	brand=AYANEO;model_id=AYANEO_2S	en	head model smoke
gpd win 4	TECH.GAMING	HANDHELD_CONSOLE	brand=GPD;model_id=GPD_WIN_4	en	head model smoke
meta quest 3s 128gb	TECH.GAMING	VR_HEADSET	brand=META;model_id=META_QUEST_3S_128	en	head model smoke
meta quest 3 512gb	TECH.GAMING	VR_HEADSET	brand=META;model_id=META_QUEST_3_512	en	head model smoke
playstation vr2	TECH.GAMING	VR_HEADSET	brand=SONY;model_id=PS_VR2	en	head model smoke
valve index	TECH.GAMING	VR_HEADSET	brand=VALVE;model_id=VALVE_INDEX	en	head model smoke
dualsense wireless controller	TECH.GAMING	GAME_CONTROLLER	brand=SONY;model_id=DUALSENSE	en	head model smoke
dualsense edge	TECH.GAMING	GAME_CONTROLLER	brand=SONY;model_id=DUALSENSE_EDGE	en	head model smoke
xbox wireless controller	TECH.GAMING	GAME_CONTROLLER	brand=MICROSOFT;model_id=XBOX_WIRELESS_CONTROLLER	en	head model smoke
xbox elite wireless controller series 2	TECH.GAMING	GAME_CONTROLLER	brand=MICROSOFT;model_id=XBOX_ELITE_SERIES_2	en	head model smoke
nintendo switch pro controller	TECH.GAMING	GAME_CONTROLLER	brand=NINTENDO;model_id=NINTENDO_PRO_CONTROLLER	en	head model smoke
joy-con pair	TECH.GAMING	GAME_CONTROLLER	brand=NINTENDO;model_id=JOY_CON_PAIR	en	head model smoke
thrustmaster t300 rs	TECH.GAMING	GAME_CONTROLLER	brand=THRUSTMASTER;model_id=THRUSTMASTER_T300RS	en	head model smoke
