attribute_code	value_code	label_ru	aliases_ru	priority	scope	note
gaming_type	GAME_CONSOLE	Игровая консоль	home console, стационарная консоль	100	TECH.GAMING	
gaming_type	HANDHELD_CONSOLE	Портативная игровая консоль	handheld console / gaming handheld	100	TECH.GAMING	
gaming_type	VR_HEADSET	VR-шлем / гарнитура	VR / mixed reality headset for gaming	100	TECH.GAMING	
gaming_type	GAME_CONTROLLER	Геймпад / контроллер	gamepad, joystick, wheel, fight stick	100	TECH.GAMING	
gaming_type	GAMING_KEYBOARD	Игровая клавиатура	gaming keyboard	100	TECH.GAMING	
gaming_type	GAMING_MOUSE	Игровая мышь	gaming mouse	100	TECH.GAMING	
gaming_type	GAMING_HEADSET	Игровая гарнитура	gaming headset	100	TECH.GAMING	
gaming_type	CONSOLE_ACCESSORY	Аксессуар для консоли	charging dock, stand, grip, carrying case	100	TECH.GAMING	
gaming_type	PHYSICAL_GAME	Физическая игра	disc/cartridge game, code-in-box	100	TECH.GAMING	
gaming_type	ARCADE_EQUIPMENT	Аркадное оборудование	arcade cabinet, stick, pinball, coin-op	100	TECH.GAMING	
condition	NEW	новое		50		
condition	USED	б/у		50		
condition	REFURBISHED	восстановленное		50		
condition	OPEN_BOX	open box		50		
condition	FOR_PARTS	на запчасти		50		
currency	USD	USD		50		
currency	EUR	EUR		50		
currency	RUB	RUB		50		
currency	GBP	GBP		50		
currency	AED	AED		50		
availability	IN_STOCK	в наличии		50		
availability	OUT_OF_STOCK	нет в наличии		50		
availability	PREORDER	предзаказ		50		
availability	LOCAL_ONLY	локально		50		
color_family	BLACK	чёрный		50		
color_family	WHITE	белый		50		
color_family	BLUE	синий		50		
color_family	RED	красный		50		
color_family	GRAY	серый		50		
color_family	SILVER	серебристый		50		
color_family	MULTICOLOR	многоцветный		50		
region	GLOBAL	глобальный		50		
region	EU	Европа		50		
region	US	США		50		
region	JP	Япония		50		
region	CN	Китай		50		
region	RU	Россия		50		
region	UK	Великобритания		50		
platform	PLAYSTATION	PlayStation	ps, плейстейшен, соня	90		
platform	XBOX	Xbox	иксбокс, xbox series	90		
platform	NINTENDO	Nintendo	нинтендо, switch	90		
platform	PC	PC	пк, windows, steam	90		
platform	META_QUEST	Meta Quest	quest, oculus	90		
platform	STEAM_DECK	Steam Deck	steamdeck, стим дек	90		
platform	RETRO	Retro	ретро, old console	90		
platform	MULTIPLATFORM	Multiplatform	универсальный	90		
console_generation	GEN_9	9-е поколение		50		
console_generation	GEN_8	8-е поколение		50		
console_generation	RETRO	ретро		50		
console_generation	CURRENT	актуальное		50		
console_generation	LEGACY	прошлое		50		
media_format	DISC	диск		50		
media_format	DIGITAL_ONLY	digital only		50		
media_format	CARTRIDGE	картридж		50		
media_format	CODE_IN_BOX	код в коробке		50		
media_format	DOWNLOAD_CODE	цифровой код		50		
game_platform	PS5	PS5		50		
game_platform	PS4	PS4		50		
