alias	locale	target_type	target_code	confidence	guard	notes
монитор	ru	category	TECH.MONITORS_DISPLAYS	0.98		
монитор для компьютера	ru	category	TECH.MONITORS_DISPLAYS	0.98		
компьютерный монитор	ru	category	TECH.MONITORS_DISPLAYS	0.98		
дисплей для пк	ru	category	TECH.MONITORS_DISPLAYS	0.98		
экран для компьютера	ru	category	TECH.MONITORS_DISPLAYS	0.98		
игровой монитор	ru	display_type	GAMING_MONITOR	0.96		
геймерский монитор	ru	display_type	GAMING_MONITOR	0.96		
монитор 144 герц	ru	display_type	GAMING_MONITOR	0.96		
монитор 165 гц	ru	display_type	GAMING_MONITOR	0.96		
gaming monitor	ru	display_type	GAMING_MONITOR	0.96		
профессиональный монитор	ru	display_type	PROFESSIONAL_MONITOR	0.94		
монитор для дизайна	ru	display_type	PROFESSIONAL_MONITOR	0.94		
монитор для фотографа	ru	display_type	PROFESSIONAL_MONITOR	0.94		
монитор для цветокоррекции	ru	display_type	PROFESSIONAL_MONITOR	0.94		
монитор для монтажа	ru	display_type	PROFESSIONAL_MONITOR	0.94		
портативный монитор	ru	display_type	PORTABLE_MONITOR	0.95		
переносной монитор	ru	display_type	PORTABLE_MONITOR	0.95		
portable monitor	ru	display_type	PORTABLE_MONITOR	0.95		
usb c монитор	ru	display_type	PORTABLE_MONITOR	0.95		
smart monitor	ru	display_type	SMART_MONITOR	0.94		
смарт монитор	ru	display_type	SMART_MONITOR	0.94		
монитор с smart tv	ru	display_type	SMART_MONITOR	0.94		
монитор с приложениями	ru	display_type	SMART_MONITOR	0.94		
сенсорный монитор	ru	display_type	TOUCHSCREEN_MONITOR	0.94		
тач монитор	ru	display_type	TOUCHSCREEN_MONITOR	0.94		
touchscreen monitor	ru	display_type	TOUCHSCREEN_MONITOR	0.94		
монитор с тачскрином	ru	display_type	TOUCHSCREEN_MONITOR	0.94		
4к	ru	resolution_class	4K_UHD	0.98		
4k	ru	resolution_class	4K_UHD	0.98		
ультра hd	ru	resolution_class	4K_UHD	0.98		
full hd	ru	resolution_class	FHD	0.98		
фулл хд	ru	resolution_class	FHD	0.98		
2к	ru	resolution_class	QHD	0.98		
qhd	ru	resolution_class	QHD	0.98		
1440p	ru	resolution_class	QHD	0.98		
5к	ru	resolution_class	5K	0.98		
6к	ru	resolution_class	6K	0.98		
8к	ru	resolution_class	8K	0.98		
60гц	ru	refresh_rate_hz	60	0.99		
60 гц	ru	refresh_rate_hz	60	0.99		
60hz	ru	refresh_rate_hz	60	0.99		
60 hz	ru	refresh_rate_hz	60	0.99		
75гц	ru	refresh_rate_hz	75	0.99		
75 гц	ru	refresh_rate_hz	75	0.99		
75hz	ru	refresh_rate_hz	75	0.99		
75 hz	ru	refresh_rate_hz	75	0.99		
100гц	ru	refresh_rate_hz	100	0.99		
100 гц	ru	refresh_rate_hz	100	0.99		
100hz	ru	refresh_rate_hz	100	0.99		
100 hz	ru	refresh_rate_hz	100	0.99		
120гц	ru	refresh_rate_hz	120	0.99		
120 гц	ru	refresh_rate_hz	120	0.99		
120hz	ru	refresh_rate_hz	120	0.99		
120 hz	ru	refresh_rate_hz	120	0.99		
144гц	ru	refresh_rate_hz	144	0.99		
144 гц	ru	refresh_rate_hz	144	0.99		
144hz	ru	refresh_rate_hz	144	0.99		
144 hz	ru	refresh_rate_hz	144	0.99		
165гц	ru	refresh_rate_hz	165	0.99		
165 гц	ru	refresh_rate_hz	165	0.99		
165hz	ru	refresh_rate_hz	165	0.99		
165 hz	ru	refresh_rate_hz	165	0.99		
170гц	ru	refresh_rate_hz	170	0.99		
170 гц	ru	refresh_rate_hz	170	0.99		
170hz	ru	refresh_rate_hz	170	0.99		
170 hz	ru	refresh_rate_hz	170	0.99		
180гц	ru	refresh_rate_hz	180	0.99		
180 гц	ru	refresh_rate_hz	180	0.99		
180hz	ru	refresh_rate_hz	180	0.99		
180 hz	ru	refresh_rate_hz	180	0.99		
200гц	ru	refresh_rate_hz	200	0.99		
200 гц	ru	refresh_rate_hz	200	0.99		
200hz	ru	refresh_rate_hz	200	0.99		
200 hz	ru	refresh_rate_hz	200	0.99		
240гц	ru	refresh_rate_hz	240	0.99		
240 гц	ru	refresh_rate_hz	240	0.99		
240hz	ru	refresh_rate_hz	240	0.99		
240 hz	ru	refresh_rate_hz	240	0.99		
280гц	ru	refresh_rate_hz	280	0.99		
280 гц	ru	refresh_rate_hz	280	0.99		
280hz	ru	refresh_rate_hz	280	0.99		
280 hz	ru	refresh_rate_hz	280	0.99		
360гц	ru	refresh_rate_hz	360	0.99		
360 гц	ru	refresh_rate_hz	360	0.99		
360hz	ru	refresh_rate_hz	360	0.99		
360 hz	ru	refresh_rate_hz	360	0.99		
24 дюймов	ru	screen_size_in	24	0.97		
"24"""	ru	screen_size_in	24	0.97		
24 inch	ru	screen_size_in	24	0.97		
24 inches	ru	screen_size_in	24	0.97		
24 монитор	ru	screen_size_in	24	0.97		
27 дюймов	ru	screen_size_in	27	0.97		
"27"""	ru	screen_size_in	27	0.97		
27 inch	ru	screen_size_in	27	0.97		
27 inches	ru	screen_size_in	27	0.97		
27 монитор	ru	screen_size_in	27	0.97		
32 дюймов	ru	screen_size_in	32	0.97		
"32"""	ru	screen_size_in	32	0.97		
32 inch	ru	screen_size_in	32	0.97		
32 inches	ru	screen_size_in	32	0.97		
32 монитор	ru	screen_size_in	32	0.97		
34 дюймов	ru	screen_size_in	34	0.97		
"34"""	ru	screen_size_in	34	0.97		
34 inch	ru	screen_size_in	34	0.97		
34 inches	ru	screen_size_in	34	0.97		
34 монитор	ru	screen_size_in	34	0.97		
49 дюймов	ru	screen_size_in	49	0.97		
"49"""	ru	screen_size_in	49	0.97		
49 inch	ru	screen_size_in	49	0.97		
49 inches	ru	screen_size_in	49	0.97		
49 монитор	ru	screen_size_in	49	0.97		
делл	ru	brand	DELL	0.96		
dell	ru	brand	DELL	0.96		
самсунг	ru	brand	SAMSUNG	0.96		
samsung	ru	brand	SAMSUNG	0.96		
лж	ru	brand	LG	0.96		
эльджи	ru	brand	LG	0.96		
lg	ru	brand	LG	0.96		
асус	ru	brand	ASUS	0.96		
asus	ru	brand	ASUS	0.96		
асер	ru	brand	ACER	0.96		
acer	ru	brand	ACER	0.96		
